date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_63,aVWAP_QQEMOD_bear_dot_c0_108,aVWAP_QQEMOD_bear_dot_c0_148,aVWAP_QQEMOD_bear_dot_c0_244,aVWAP_QQEMOD_bear_dot_c0_275,aVWAP_QQEMOD_bear_dot_c0_315,aVWAP_QQEMOD_bear_dot_c0_370,aVWAP_QQEMOD_bear_dot_c0_407,aVWAP_QQEMOD_bear_dot_c0_452,aVWAP_QQEMOD_bear_dot_c0_479,aVWAP_QQEMOD_bear_dot_c0_496,aVWAP_QQEMOD_bear_dot_c0_520,aVWAP_QQEMOD_bear_dot_c0_535,aVWAP_QQEMOD_bear_dot_c0_560,aVWAP_QQEMOD_bear_dot_c0_575,aVWAP_QQEMOD_bear_dot_c0_644,aVWAP_QQEMOD_bear_dot_c0_684,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2023-09-21 00:00:00+00:00,6.88,9.8991,4.8,9.09,299092,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.193033333333333,,,,,,,,,,#000000
2023-09-22 00:00:00+00:00,7.56,7.56,5.7,5.7,139055,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.112727978813808,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2023-09-25 00:00:00+00:00,7.8,8.0,6.7002,7.02,82578,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.174153211259942,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2023-09-26 00:00:00+00:00,6.96,7.26,6.52,7.25,49893,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.151347961216318,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2023-09-27 00:00:00+00:00,6.74,6.81,6.5,6.74,22407,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.133664383345278,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2023-09-28 00:00:00+00:00,5.5,6.74,5.035,6.74,1043946,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.256574106036902,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2023-09-29 00:00:00+00:00,4.95,5.41,4.8,5.41,412749,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.014279341048208,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2023-10-02 00:00:00+00:00,5.29,5.31,4.77,4.85,268626,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.911045715753098,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2023-10-03 00:00:00+00:00,4.92,5.24,4.77,5.13,148757,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.854706185459896,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2023-10-04 00:00:00+00:00,4.9,4.9509,4.75,4.79,45550,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8368001972151875,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
