date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_72,aVWAP_QQEMOD_bear_dot_c0_129,aVWAP_QQEMOD_bear_dot_c0_173,aVWAP_QQEMOD_bear_dot_c0_216,aVWAP_QQEMOD_bear_dot_c0_242,aVWAP_QQEMOD_bear_dot_c0_318,aVWAP_QQEMOD_bear_dot_c0_398,aVWAP_QQEMOD_bear_dot_c0_484,aVWAP_QQEMOD_bear_dot_c0_539,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2024-04-22 00:00:00+00:00,98.32,101.44,60.8,60.8,426162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2024-04-23 00:00:00+00:00,80.0,115.92,62.5352,81.44,141965,,,,,,,,,,,,,,,,,,,,86.15173333333334,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-04-24 00:00:00+00:00,83.76,87.52,70.24,78.0,48450,,,,,,,,,,,,,,,,,,,,84.7153786343863,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-04-25 00:00:00+00:00,83.52,91.0128,82.4,85.52,71997,,,,,,,,,,,,,,,,,,,,84.97023417323395,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-04-26 00:00:00+00:00,18.64,100.0,13.6,85.6,2625283,,,,,,,,,,,,,,,,,,,,47.79579690024974,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-04-29 00:00:00+00:00,13.36,15.2,12.08,14.0,443726,,,,,,,,,,,,,,,,,,,,43.23401093503344,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-04-30 00:00:00+00:00,12.88,13.6,11.44,13.28,234247,,,,,,,,,,,,,,,,,,,,41.22413360503559,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-05-01 00:00:00+00:00,11.76,12.72,11.28,11.84,183555,,,,,,,,,,,,,,,,,,,,39.78945760846982,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-05-02 00:00:00+00:00,11.2,11.44,10.56,11.2,195218,,,,,,,,,,,,,,,,,,,,38.36791123419855,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2024-05-03 00:00:00+00:00,10.72,12.0,10.56,11.6,120542,,,,,,,,,,,,,,,,,,,,37.55911765023372,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
