date,Close,High,Low,Open,Volume,aVWAP_QQEMOD_bear_dot_c0_66,aVWAP_QQEMOD_bear_dot_c0_218,aVWAP_QQEMOD_bear_dot_c0_316,aVWAP_QQEMOD_bear_dot_c0_334,aVWAP_price_maxima_minima_valley_c0_1,aVWAP_price_maxima_minima_valley_c0_2,aVWAP_price_maxima_minima_valley_c0_3,aVWAP_price_maxima_minima_valley_c0_4,aVWAP_price_maxima_minima_valley_c0_5,aVWAP_price_maxima_minima_valley_c0_6,aVWAP_price_maxima_minima_valley_c0_7,aVWAP_price_maxima_minima_valley_c0_8,aVWAP_price_maxima_minima_valley_c0_9,aVWAP_price_maxima_minima_valley_c0_10,aVWAP_price_maxima_minima_peak_c0_1,aVWAP_price_maxima_minima_peak_c0_2,aVWAP_price_maxima_minima_peak_c0_3,aVWAP_price_maxima_minima_peak_c0_4,aVWAP_price_maxima_minima_peak_c0_5,aVWAP_price_maxima_minima_peak_c0_6,aVWAP_price_maxima_minima_peak_c0_7,aVWAP_price_maxima_minima_peak_c0_8,aVWAP_price_maxima_minima_peak_c0_9,aVWAP_price_maxima_minima_peak_c0_10,color
2025-02-13 00:00:00+00:00,2.7,9.8,2.53,8.05,685400,,,,,,,,,,,,,,,,,,,,,,,,,#000000
2025-02-14 00:00:00+00:00,3.0492,3.7,2.6,3.05,1302526,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-18 00:00:00+00:00,7.5,9.89,4.1,4.33,57930736,,,,,,,,,,,,,,,7.163333333333334,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-19 00:00:00+00:00,6.15,7.77,6.1,6.5,1589810,,,,,,,,,,,,,,,7.150245299833103,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-20 00:00:00+00:00,5.59,6.4,5.4,6.0,535396,,,,,,,,,,,,,,,7.138178207689535,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-21 00:00:00+00:00,3.77,5.5,3.7,5.28,635261,,,,,,,,,,,,,,,7.108714939846115,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-24 00:00:00+00:00,3.43,3.8828,3.25,3.77,188519,,,,,,,,,,,,,,,7.097605082927284,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-25 00:00:00+00:00,3.36,3.44,3.22,3.43,112302,,,,,,,,,,,,,,,7.090686365718901,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-26 00:00:00+00:00,2.91,3.36,2.82,3.36,262397,,,,,,,,,,,,,,,7.073291508288031,,,,,,,,,,"rgba(38, 166, 154, 0.5)"
2025-02-27 00:00:00+00:00,1.85,2.88,1.81,2.88,491299,,,,,,,,,,,,,,,7.034356514498495,,,,,,,,,,#000000
2025-02-28 00:00:00+00:00,2.24,2.85,1.76,1.85,2114432,,,,,,,,,,,,,,,6.877048472904773,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-03 00:00:00+00:00,2.02,2.61,2.0001,2.3,491310,,,,,,,,,,,,,,,6.841416785030723,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-04 00:00:00+00:00,2.11,2.175,1.94,2.05,230183,,,,,,,,,,,,,,,6.824428241074793,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-05 00:00:00+00:00,2.29,2.33,2.03,2.07,118100,,,,,,,,,,,,,,,6.816017440662248,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-06 00:00:00+00:00,2.11,2.28,2.05,2.17,89675,,,,,,,,,,,,,,,6.809554594866467,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-07 00:00:00+00:00,2.13,2.27,2.05,2.12,56873,,,,,,,,,,,,,,,6.8054679642170655,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-10 00:00:00+00:00,1.93,2.09,1.91,2.09,185205,,,,,,,,,,,,,,,6.791715887580097,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-11 00:00:00+00:00,1.99,2.03,1.95,2.0036,49773,,,,,,,,,,,,,,,6.788043620563792,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-12 00:00:00+00:00,2.09,2.1681,1.99,1.99,67510,,,,,,,,,,,,,,,6.783167738882687,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-13 00:00:00+00:00,2.13,2.15,2.01,2.04,33413,,,,,,,,,,,,,,,6.780765394765121,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-14 00:00:00+00:00,2.25,2.28,2.032,2.08,69334,,,,,,,,,,,,,,,6.775884573912201,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-17 00:00:00+00:00,2.23,2.364,2.18,2.364,49795,,,,,,,,,,,,,,,6.77243949727328,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-18 00:00:00+00:00,2.2,2.2984,2.1,2.23,70094,,,,,,,,,,,,,,,6.767536162263905,,,,,,,,,,"rgba(239, 83, 80, 0.5)"
2025-03-19 00:00:00+00:00,2.28,2.48,2.17,2.17,271183,,,,,,,,,,,,,,,6.74912116911782,,,,,,,,,2.31,"rgba(239, 83, 80, 0.5)"
2025-03-20 00:00:00+00:00,2.08,2.2989,2.06,2.15,88195,,,,,,,,,,,,,,,6.742945284389659,,,,,,,,,2.269826362492974,"rgba(239, 83, 80, 0.5)"
