date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_186,Gap_Up_aVWAP_182,Gap_Up_aVWAP_165,Gap_Up_aVWAP_152,Gap_Up_aVWAP_127,Gap_Up_aVWAP_69,Gap_Down_aVWAP_147,Gap_Down_aVWAP_145,Gap_Down_aVWAP_120,Gap_Down_aVWAP_105,Gap_Down_aVWAP_92,Gap_Down_aVWAP_91,Gap_Down_aVWAP_68,Gap_Down_aVWAP_58,aVWAP_OB_bull_171,aVWAP_OB_bull_120,aVWAP_OB_bull_95,aVWAP_OB_bear_66,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,21.3115541756,21.3548351548,21.2423046088,21.3115541756,158131,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,158131.0,False,False,False,False
2022-01-07 00:00:00+00:00,20.972923794,21.1903674337,20.9505908087,21.1903674337,216045,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-216045,-16003.333333333332,False,False,False,False,162420.92592592593,False,False,False,False
2022-01-14 00:00:00+00:00,20.9047129707,21.0258997126,20.8890452563,20.8890452563,182979,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-399024,-44375.234567901236,False,False,False,False,163943.7462277092,False,False,False,False
2022-01-21 00:00:00+00:00,20.8960567749,20.9047129707,20.7402452496,20.8181510123,209867,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-608891,-86191.21719250115,False,False,False,False,167345.46872936038,False,False,False,False
2022-01-28 00:00:00+00:00,20.8052532805,20.9211597428,20.7219806764,20.8960567749,343182,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-952073,-150330.60851157515,False,False,False,False,180370.39697162996,False,False,False,False
2022-02-04 00:00:00+00:00,20.5845941085,20.8707321058,20.5686397475,20.7662138372,353401,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1305474,-235896.78565886588,False,False,False,False,193187.47867743517,False,False,False,False
2022-02-11 00:00:00+00:00,20.4718730793,20.6106066537,20.3513482865,20.5802586843,531925,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1837399,-354526.5793137647,False,False,False,False,218279.14692355107,False,False,False,False
2022-02-18 00:00:00+00:00,20.4138651035,20.4285188373,20.2897852628,20.3966101152,139901,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1977300,-474732.01788311545,False,False,False,False,212473.3582625473,False,False,False,False
2022-02-25 00:00:00+00:00,20.3418103532,20.3947025285,20.2551885777,20.3746728687,160137,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2137437,-597895.3498917735,False,False,False,False,208596.59098384008,False,False,False,False
2022-03-04 00:00:00+00:00,20.4902729847,20.6553069765,20.3643259909,20.4198479889,194689,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",1.0,20.75801,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.095577007625329,-45.18308735997918,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1942748,-697514.0647146051,False,False,False,False,207566.3990591112,False,False,False,False
