date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_888,Gap_Up_aVWAP_882,Gap_Up_aVWAP_834,Gap_Up_aVWAP_810,Gap_Up_aVWAP_798,Gap_Up_aVWAP_792,Gap_Up_aVWAP_762,Gap_Up_aVWAP_756,Gap_Up_aVWAP_750,Gap_Up_aVWAP_720,Gap_Down_aVWAP_876,Gap_Down_aVWAP_840,Gap_Down_aVWAP_828,Gap_Down_aVWAP_786,Gap_Down_aVWAP_780,Gap_Down_aVWAP_768,Gap_Down_aVWAP_738,Gap_Down_aVWAP_684,Gap_Down_aVWAP_672,Gap_Down_aVWAP_654,aVWAP_OB_bull_786,aVWAP_OB_bull_539,aVWAP_OB_bull_253,aVWAP_OB_bear_837,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-10 15:00:00+00:00,50.96,51.305,50.96,51.17,1834.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",1.0,52.046665,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1834.0,False,False,False,False
2025-02-10 16:00:00+00:00,51.17,51.17,50.9,50.98,1582.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1582.0,-24.527131782945737,False,False,False,False,1830.093023255814,False,False,False,False
2025-02-10 17:00:00+00:00,50.98,50.99,50.77,50.96,961.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2543.0,-63.57322276305511,False,False,False,False,1816.6187128177394,False,False,False,False
2025-02-10 18:00:00+00:00,50.96,50.98,50.87,50.915,2914.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5457.0,-147.19224256517828,False,False,False,False,1833.6323761849062,False,False,False,False
2025-02-10 19:00:00+00:00,50.91,50.92,50.685,50.69,2414.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7871.0,-266.94120004478793,False,False,False,False,1842.6303238409541,False,False,False,False
2025-02-10 20:00:00+00:00,50.7,50.775,50.61,50.67,10005.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17876.0,-539.949863609985,False,False,False,False,1969.1786909131874,False,False,False,False
2025-02-11 15:00:00+00:00,50.67,50.8,50.51,50.62,2073.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19949.0,-840.8653696005279,False,False,False,False,1970.7883236122077,False,False,False,False
2025-02-11 16:00:00+00:00,50.62,50.665,50.56,50.595,2536.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-22485.0,-1176.433348366411,False,False,False,False,1979.55129533915,False,False,False,False
2025-02-11 17:00:00+00:00,50.595,50.715,50.59,50.68,6694.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75590039987614,-43.91968964011147,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-15791.0,-1403.0157770739086,False,False,False,False,2052.643523318388,False,False,False,False
2025-02-11 18:00:00+00:00,50.68,50.745,50.59,50.635,1874.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53215506553894,-40.926414465007525,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17665.0,-1655.1395634758635,False,False,False,False,2049.873856290196,False,False,False,False
