date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_28,Gap_Down_aVWAP_32,Gap_Down_aVWAP_13,Gap_Down_aVWAP_6,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-09 00:00:00+00:00,15.089,15.21,14.91,14.985,131171,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,131171.0,False,False,False,False
2025-06-10 00:00:00+00:00,14.6,15.2599,14.54,15.18,39626,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-39626,-1553.9607843137255,False,False,False,False,127581.0,False,False,False,False
2025-06-11 00:00:00+00:00,14.26,14.82,14.22,14.76,77732,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-117358,-6095.295655517109,False,False,False,False,125626.13725490196,False,False,False,False
2025-06-12 00:00:00+00:00,14.8,14.98,14.39,14.39,112064,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.362964916908474,-36.83394882616723,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5294,-6063.872296477222,False,False,False,False,125094.28873510189,False,False,False,False
2025-06-13 00:00:00+00:00,15.35,15.42,14.67,14.8,76089,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.114644449116156,-23.19285175036066,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,70795,-3049.798873085959,False,False,False,False,123172.51270627437,False,False,False,False
2025-06-16 00:00:00+00:00,15.03,15.785,15.0,15.55,90424,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.07396830522706,-18.18727891588541,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19629,-3699.9636231610193,False,False,False,False,121888.25730602833,False,False,False,False
2025-06-17 00:00:00+00:00,14.11,14.95,13.83,14.95,105597,,,,14.296666666666667,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71519848883726,-18.18727891588541,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-125226,-8465.690539899802,False,False,False,False,121249.38447049781,False,False,False,False
2025-06-18 00:00:00+00:00,13.8,14.28,13.74,13.91,114863,,,,14.11083792978318,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.537062628926556,-18.18727891588541,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-240089,-17548.95757755079,False,False,False,False,120998.93802067437,False,False,False,False
2025-06-20 00:00:00+00:00,13.86,14.03,13.74,13.79,220393,,,,13.993770092676396,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.65234731781794,-18.18727891588541,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-19696,-17633.155319607624,False,False,False,False,124896.7443728048,False,False,False,False
2025-06-23 00:00:00+00:00,13.89,14.38,13.72,13.99,148117,,,,13.994498536993962,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.36311984458386,-18.18727891588541,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,128421,-11905.541385505365,False,False,False,False,125807.34263269481,False,False,False,False
