date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_181,Gap_Up_aVWAP_168,Gap_Up_aVWAP_159,Gap_Up_aVWAP_103,Gap_Up_aVWAP_85,Gap_Up_aVWAP_29,Gap_Down_aVWAP_24,aVWAP_OB_bull_155,aVWAP_OB_bull_74,aVWAP_OB_bull_39,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,23.2553191511,23.4018247316,22.1955954519,22.5423253258,46213193,,,,,,,,,,,#000000,-1.0,22.280306,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,46213193.0,False,False,False,False
2022-01-07 00:00:00+00:00,24.8082783048,25.5115050914,23.2699697092,23.5678643896,86383125,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,86383125,6398750.0,False,False,False,False,49188743.51851852,False,False,False,False
2022-01-14 00:00:00+00:00,24.7985112661,25.5603402849,22.9232398352,24.7203749565,73823118,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.80875884495232,49.139414802285444,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,12560007,6855139.407407408,False,False,False,False,51013511.998628266,False,False,False,False
2022-01-21 00:00:00+00:00,18.8015495027,24.4371308341,18.7820154253,24.310159331,107819417,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.54432425254039,28.475483561313126,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-95259410,-708901.2894375855,False,False,False,False,55221356.81354469,False,False,False,False
2022-01-28 00:00:00+00:00,19.0847936251,19.3875718248,17.5611355874,17.9615841742,149800060,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,18.677833679099997,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.850448302642434,14.575769401337936,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,54540650,3383658.0653355685,False,False,False,False,62227186.67920805,False,False,False,False
2022-02-04 00:00:00+00:00,21.7316611135,22.1516437777,18.8796858123,19.0066573154,95530983,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,19.551312978796595,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.99971684208789,11.305759295774969,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,150071633,14249433.986421824,False,False,False,False,64694134.554822266,False,False,False,False
2022-02-11 00:00:00+00:00,23.1804385211,24.4334351979,21.4282009808,21.9665979904,96752439,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,20.53068158778531,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.82411316805635,11.305759295774969,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,246824072,31477184.950390577,False,False,False,False,67068823.77298358,False,False,False,False
2022-02-18 00:00:00+00:00,23.5817890191,24.981621244,22.4707333721,23.2783288864,69579489,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,21.06265107162017,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.54319398747619,11.305759295774969,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,316403561,52582842.43554683,False,False,False,False,67254798.9749848,False,False,False,False
2022-02-25 00:00:00+00:00,26.3422973227,26.3422973227,21.4282009808,23.562210946,76131395,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,21.63100770637094,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.38249419927564,11.305759295774969,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,392534956,77764480.47735818,False,False,False,False,67912324.60646741,False,False,False,False
2022-03-04 00:00:00+00:00,30.7571528012,30.8844102762,25.7941112766,25.892001642,116836195,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,23.083022520805848,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.28398086581032,3.6281137945942987,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,509371151,109735344.96051684,False,False,False,False,71536315.00598834,False,False,False,False
2022-03-11 00:00:00+00:00,32.6366478164,33.4442433307,27.8987541322,30.84525413,143316882,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,24.662593974037968,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.61713010411307,7.355263816214766,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,652688033,149954062.59307116,False,False,False,False,76853394.0425818,False,False,False,False
2022-03-18 00:00:00+00:00,32.264664428,34.0658471509,29.9936079512,32.2157192453,112978518,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,25.639652952708932,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.18823757363573,9.466512356473935,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,539709515,178824836.84543628,False,False,False,False,79529329.1505387,False,False,False,False
2022-03-25 00:00:00+00:00,37.6388454871,38.0304069486,32.793272401,32.8911627664,87318848,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,26.60787965848466,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.89345116181372,12.76891954034923,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,627028363,212025098.04207063,False,False,False,False,80106330.5467951,False,False,False,False
2022-04-01 00:00:00+00:00,37.0319252218,38.4218705197,34.1598219016,37.1983388429,66216055,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",1.0,33.932163,,31.896952160945013,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.80214543999719,14.42302925348568,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,560812308,237861187.66858393,False,False,False,False,79077421.2470325,False,False,False,False
2022-04-08 00:00:00+00:00,35.1915863527,37.4245634773,34.2077881807,36.9144567833,52988948,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,31.897572560527934,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.05873510414189,14.42302925348568,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,507823360,257858385.6190592,False,False,False,False,77144941.7472523,False,False,False,False
2022-04-15 00:00:00+00:00,36.2585913353,37.7954700717,34.2420498086,35.1132740604,41012598,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,32.05018618160288,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.96005464195557,14.42302925348568,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,548835958,279412279.86949927,False,False,False,False,74468471.84004843,False,False,False,False
2022-04-22 00:00:00+00:00,32.8813737298,37.5507441583,32.7316014708,36.2879584449,68229982,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,31.977546333611933,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6078087874958,14.42302925348568,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,480605976,294315516.6199067,False,False,False,False,74006361.48152633,False,False,False,False
2022-04-29 00:00:00+00:00,29.8467724032,33.6449185798,29.8174052936,32.0003604414,81787331,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,31.473950236729372,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.89412085684206,14.42302925348568,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,398818645,302056489.0925062,False,False,False,False,74582729.59400587,False,False,False,False
