date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_864,Gap_Up_aVWAP_810,Gap_Up_aVWAP_804,Gap_Up_aVWAP_768,Gap_Up_aVWAP_708,Gap_Up_aVWAP_684,Gap_Up_aVWAP_648,Gap_Up_aVWAP_642,Gap_Up_aVWAP_624,Gap_Up_aVWAP_564,Gap_Down_aVWAP_852,Gap_Down_aVWAP_828,Gap_Down_aVWAP_756,Gap_Down_aVWAP_750,Gap_Down_aVWAP_738,Gap_Down_aVWAP_732,Gap_Down_aVWAP_696,Gap_Down_aVWAP_660,Gap_Down_aVWAP_636,Gap_Down_aVWAP_576,aVWAP_OB_bull_372,aVWAP_OB_bear_720,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,3.105,3.145,3.06,3.135,38072.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,38072.0,False,False,False,False
2025-02-03 16:00:00+00:00,3.135,3.14,3.08,3.09,9698.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-9698.0,-150.35658914728683,False,False,False,False,37632.09302325582,False,False,False,False
2025-02-03 17:00:00+00:00,3.095,3.105,3.065,3.075,9881.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19579.0,-451.57586683492576,False,False,False,False,37201.84351901929,False,False,False,False
2025-02-03 18:00:00+00:00,3.075,3.08,3.045,3.075,13374.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-19579.0,-748.1250782018261,False,False,False,False,36832.41958849186,False,False,False,False
2025-02-03 19:00:00+00:00,3.075,3.075,3.06,3.065,15487.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-35066.0,-1280.1851545087745,False,False,False,False,36501.48285068579,False,False,False,False
2025-02-03 20:00:00+00:00,3.065,3.09,3.055,3.09,57755.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.491535042088325,-39.65761846212051,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,22689.0,-908.5698807954602,False,False,False,False,36830.9947444736,False,False,False,False
2025-02-04 15:00:00+00:00,3.16,3.18,3.13,3.175,42240.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.57432178430461,-22.272602496651153,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,64929.0,112.16763673625235,False,False,False,False,36914.855291070904,False,False,False,False
2025-02-04 16:00:00+00:00,3.175,3.175,3.13,3.17,45041.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09549885057231,-12.576239462890022,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,19888.0,418.7696888798763,False,False,False,False,37040.84203074422,False,False,False,False
2025-02-04 17:00:00+00:00,3.175,3.175,3.14,3.155,13631.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.929505430161434,-8.866644989525525,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,6257.0,509.2848875018937,False,False,False,False,36677.89874344586,False,False,False,False
2025-02-04 18:00:00+00:00,3.155,3.165,3.15,3.165,9868.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7867383727033,-5.502913072434133,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,16125.0,751.3889977731822,False,False,False,False,36262.24139858624,False,False,False,False
2025-02-04 19:00:00+00:00,3.165,3.205,3.165,3.17,31244.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,3.1799999999999993,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.50763660937342,-2.698359257913822,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,47369.0,1474.1426567224353,False,False,False,False,36184.43920636009,False,False,False,False
