date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_903,Gap_Up_aVWAP_882,Gap_Up_aVWAP_851,Gap_Up_aVWAP_728,Gap_Up_aVWAP_606,Gap_Up_aVWAP_479,Gap_Up_aVWAP_437,Gap_Up_aVWAP_389,Gap_Up_aVWAP_316,Gap_Up_aVWAP_272,Gap_Down_aVWAP_875,Gap_Down_aVWAP_863,Gap_Down_aVWAP_810,Gap_Down_aVWAP_758,Gap_Down_aVWAP_742,Gap_Down_aVWAP_648,Gap_Down_aVWAP_569,Gap_Down_aVWAP_561,Gap_Down_aVWAP_474,Gap_Down_aVWAP_466,aVWAP_OB_bull_816,aVWAP_OB_bull_573,aVWAP_OB_bear_888,aVWAP_OB_bear_735,aVWAP_OB_bear_389,aVWAP_OB_bear_230,aVWAP_OB_bear_149,aVWAP_OB_bear_59,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,265.0915337423,281.1849488753,264.0919427403,274.0378732106,2681081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,1.0,299.74402,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2681081.0,False,False,False,False
2022-01-04 00:00:00+00:00,254.7957464213,266.5909202454,246.2992229039,266.5909202454,3334792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3334792,-130776.15686274509,False,False,False,False,2706716.725490196,False,False,False,False
2022-01-05 00:00:00+00:00,227.4069529652,252.8965235174,223.5265406953,251.5970552147,4517206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7851998,-433569.17031910806,False,False,False,False,2777716.304882738,False,False,False,False
2022-01-06 00:00:00+00:00,224.5081390593,237.6027811861,207.9149284254,229.5060940695,5911272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-13763270,-956302.536188947,False,False,False,False,2900600.84194616,False,False,False,False
2022-01-07 00:00:00+00:00,229.8059713701,242.9006134969,224.3082208589,236.0034355828,4948099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.610355277638584,-45.77384099549796,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-8815171,-1264493.4563384,False,False,False,False,2980894.8873600364,False,False,False,False
2022-01-10 00:00:00+00:00,227.7068302658,228.6094609407,212.4130879346,224.1083026585,3778400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.421802824481167,-43.452811592983295,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-12593571,-1708771.0070702275,False,False,False,False,3012169.597659643,False,False,False,False
2022-01-11 00:00:00+00:00,227.8067893661,237.4028629857,220.8096523517,223.9083844581,3587075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.382166249476345,-41.97208509759142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9006496,-1994956.300910611,False,False,False,False,3034714.907555343,False,False,False,False
2022-01-12 00:00:00+00:00,227.1070756646,233.5024588957,220.4098159509,228.5065030675,2747209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.589957787748165,-41.16040596231488,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-11753705,-2377652.328325881,False,False,False,False,3023440.1660825848,False,False,False,False
2022-01-13 00:00:00+00:00,206.5155010225,231.4053169734,205.1660531697,226.4073619632,4100498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.575189335413127,-41.16040596231488,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-15854203,-2906144.511528788,False,False,False,False,3065677.7281969935,False,False,False,False
2022-01-14 00:00:00+00:00,205.6158691207,210.7137832311,195.020204499,203.2168507157,5699664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.848934947558186,-41.16040596231488,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-21553867,-3637427.7463707966,False,False,False,False,3168971.307483386,False,False,False,False
