date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_884,Gap_Up_aVWAP_754,Gap_Up_aVWAP_632,Gap_Up_aVWAP_548,Gap_Up_aVWAP_519,Gap_Up_aVWAP_473,Gap_Up_aVWAP_386,Gap_Up_aVWAP_337,Gap_Up_aVWAP_257,Gap_Up_aVWAP_204,Gap_Down_aVWAP_904,Gap_Down_aVWAP_837,Gap_Down_aVWAP_785,Gap_Down_aVWAP_773,Gap_Down_aVWAP_648,Gap_Down_aVWAP_599,Gap_Down_aVWAP_111,aVWAP_OB_bear_765,aVWAP_OB_bear_731,aVWAP_OB_bear_635,aVWAP_OB_bear_558,aVWAP_OB_bear_386,aVWAP_OB_bear_295,aVWAP_OB_bear_149,aVWAP_OB_bear_44,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,23.8,24.7,23.8,24.0,116066,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,1.0,26.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,116066.0,False,False,False,False
2022-01-04 00:00:00+00:00,23.9,24.148,23.2,23.8,87643,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,87643,3436.9803921568628,False,False,False,False,114951.37254901962,False,False,False,False
2022-01-05 00:00:00+00:00,22.7,24.771,22.6,23.9,181455,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.01408450704221,-73.94366197183115,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-93812,-376.705113417916,False,False,False,False,117559.35793925414,False,False,False,False
2022-01-06 00:00:00+00:00,22.9,23.6,21.9,22.9,139994,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.86859544753472,-73.94366197183115,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,46182,1449.1264596572964,False,False,False,False,118439.14782398927,False,False,False,False
2022-01-07 00:00:00+00:00,23.3,24.2,22.7,22.8,173890,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.52802462330484,-73.94366197183115,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,220072,10022.572480847206,False,False,False,False,120613.69104657792,False,False,False,False
2022-01-10 00:00:00+00:00,22.4,23.3,22.2,23.1,140528,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.65096851148702,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,79544,12748.902971794376,False,False,False,False,121394.64433886898,False,False,False,False
2022-01-11 00:00:00+00:00,22.6,22.9,22.0,22.4,114468,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.502680835839826,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,194012,19857.259717998517,False,False,False,False,121123.01122754079,False,False,False,False
2022-01-12 00:00:00+00:00,22.0,23.1,22.0,23.1,102333,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.146029137409656,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,91679,22673.79855258681,False,False,False,False,120386.14804214703,False,False,False,False
2022-01-13 00:00:00+00:00,21.4,22.6,21.4,22.1,158923,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67187314528497,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-67244,19147.610374053995,False,False,False,False,121897.39713853342,False,False,False,False
2022-01-14 00:00:00+00:00,21.3,21.4,20.3,21.1,176348,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.464716212842248,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-243592,8844.096241738152,False,False,False,False,124032.71489780663,False,False,False,False
2022-01-18 00:00:00+00:00,20.1,21.1,20.1,21.0,125912,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35433518947001,-73.94366197183115,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-369504,-5993.084003035892,False,False,False,False,124106.4123527946,False,False,False,False
2022-01-19 00:00:00+00:00,19.4,20.4,19.1,20.3,259674,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.886585661605427,-73.94366197183115,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-629178,-30431.70815977958,False,False,False,False,129422.78833895954,False,False,False,False
2022-01-20 00:00:00+00:00,18.7,20.0,18.7,19.4,304165,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.010610821685436,-73.94366197183115,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-933343,-65839.99411429802,False,False,False,False,136275.4240903729,False,False,False,False
2022-01-21 00:00:00+00:00,17.9,18.7,17.7,18.2,256182,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.591233476100271,-73.94366197183115,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1189525,-109906.07277648241,False,False,False,False,140977.64275349551,False,False,False,False
