date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_444,Gap_Up_aVWAP_443,Gap_Up_aVWAP_441,Gap_Up_aVWAP_436,Gap_Up_aVWAP_433,Gap_Up_aVWAP_419,Gap_Up_aVWAP_418,Gap_Up_aVWAP_411,Gap_Up_aVWAP_410,Gap_Up_aVWAP_409,Gap_Down_aVWAP_445,Gap_Down_aVWAP_435,Gap_Down_aVWAP_431,Gap_Down_aVWAP_425,Gap_Down_aVWAP_424,Gap_Down_aVWAP_423,Gap_Down_aVWAP_422,Gap_Down_aVWAP_421,Gap_Down_aVWAP_420,Gap_Down_aVWAP_399,aVWAP_OB_bull_343,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,12.955,12.96,12.485,12.74,38003.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,38003.0,False,False,False,False
2023-12-15 17:00:00+00:00,12.735,12.815,12.605,12.67,15792.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-15792.0,-244.8372093023256,False,False,False,False,37658.64341085272,False,False,False,False
2023-12-18 17:00:00+00:00,12.27,12.355,11.945,11.945,19558.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-35350.0,-789.1032990805841,False,False,False,False,37378.0132804519,False,False,False,False
2023-12-19 17:00:00+00:00,12.355,12.665,12.335,12.645,31754.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.669606632563056,-34.99735403069325,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3596.0,-832.6210773894122,False,False,False,False,37290.81927610381,False,False,False,False
2023-12-20 17:00:00+00:00,12.645,12.745,12.295,12.3,20552.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.163923666393494,-29.25264509819964,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24148.0,-1194.0998203756228,False,False,False,False,37031.302698179716,False,False,False,False
2023-12-21 17:00:00+00:00,12.685,12.695,12.525,12.68,8668.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.459561404330486,-21.86965756832819,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-15480.0,-1415.5866448659233,False,False,False,False,36591.56157107615,False,False,False,False
2023-12-22 17:00:00+00:00,12.31,12.315,12.045,12.05,21803.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.74059115467923,-21.727658167269922,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-37283.0,-1971.670572852498,False,False,False,False,36362.281546718375,False,False,False,False
2023-12-25 17:00:00+00:00,12.05,12.05,12.05,12.05,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.594610988245066,-21.42928976772861,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-37283.0,-2519.133044591219,False,False,False,False,35798.525243668475,False,False,False,False
2023-12-26 17:00:00+00:00,12.1,12.23,12.02,12.165,6407.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.44795504389286,-19.83594100518234,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-30876.0,-2958.774392737091,False,False,False,False,35342.842681751135,False,False,False,False
2023-12-27 17:00:00+00:00,12.095,12.12,11.915,11.995,13842.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.41180996374291,-19.750741738969253,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-44718.0,-3606.2042471132604,False,False,False,False,35009.496283584456,False,False,False,False
