date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_443,Gap_Up_aVWAP_441,Gap_Up_aVWAP_438,Gap_Up_aVWAP_436,Gap_Up_aVWAP_431,Gap_Up_aVWAP_430,Gap_Up_aVWAP_428,Gap_Up_aVWAP_426,Gap_Up_aVWAP_425,Gap_Up_aVWAP_424,Gap_Down_aVWAP_445,Gap_Down_aVWAP_442,Gap_Down_aVWAP_439,Gap_Down_aVWAP_427,Gap_Down_aVWAP_423,Gap_Down_aVWAP_421,Gap_Down_aVWAP_419,Gap_Down_aVWAP_417,Gap_Down_aVWAP_411,Gap_Down_aVWAP_410,aVWAP_OB_bull_423,aVWAP_OB_bear_248,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-19 17:00:00+00:00,104.475,104.74,104.085,104.355,28601.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",-1.0,104.4625,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,28601.0,False,False,False,False
2023-12-20 17:00:00+00:00,104.665,104.79,102.51,102.555,41399.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-41399.0,-641.8449612403101,False,False,False,False,28799.41860465116,False,False,False,False
2023-12-21 17:00:00+00:00,102.5,103.255,102.06,103.255,23591.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.14492753623178,-65.21739130434767,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-17808.0,-907.9868998257316,False,False,False,False,28718.667928610055,False,False,False,False
2023-12-22 17:00:00+00:00,103.775,103.905,103.16,103.5,11478.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.38967020574471,-55.88263014816285,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6330.0,-992.0491184330846,False,False,False,False,28451.3707514223,False,False,False,False
2023-12-25 17:00:00+00:00,103.5,103.5,103.5,103.5,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.55283198542,-49.26728070082879,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6330.0,-1074.8080468294709,False,False,False,False,28010.26422814443,False,False,False,False
2023-12-26 17:00:00+00:00,103.67,104.11,103.635,103.725,8427.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.952261453012895,-42.22558956524361,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2097.0,-1025.6327282739753,False,False,False,False,27706.647728483276,False,False,False,False
2023-12-27 17:00:00+00:00,103.7,103.96,103.44,103.835,8971.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.27477563532385,-36.057165292918434,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,11068.0,-838.1345464402702,False,False,False,False,27416.172569902137,False,False,False,False
2023-12-28 17:00:00+00:00,103.975,104.295,103.92,104.2,8886.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.88442278528804,-28.633822763211867,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,19954.0,-515.7758713016615,False,False,False,False,27128.883072694352,False,False,False,False
2023-12-29 17:00:00+00:00,103.62,103.93,103.42,103.735,9680.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.45067759713538,-26.702698567574142,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,10274.0,-348.49252445977527,False,False,False,False,26858.357753737848,False,False,False,False
2024-01-01 17:00:00+00:00,103.735,103.735,103.735,103.735,0.0,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.82818080503361,-24.643294228251513,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,10274.0,-183.80271787900358,False,False,False,False,26441.949106393073,False,False,False,False
