date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_35,aVWAP_OB_bull_158,aVWAP_OB_bull_145,aVWAP_OB_bull_100,aVWAP_OB_bull_75,aVWAP_OB_bull_39,aVWAP_OB_bear_176,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,60.65,63.47,60.58,62.13,620282,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,620282.0,False,False,False,False
2022-01-07 00:00:00+00:00,60.32,62.84,60.05,60.69,885534,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-885534,-65595.11111111111,False,False,False,False,639930.2962962963,False,False,False,False
2022-01-14 00:00:00+00:00,59.65,60.9,58.9187,60.0,843086,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1728620,-188782.13991769546,False,False,False,False,654978.8669410151,False,False,False,False
2022-01-21 00:00:00+00:00,57.97,59.288,55.93,59.02,1002515,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2731135,-377104.57399786613,False,False,False,False,680722.2842046436,False,False,False,False
2022-01-28 00:00:00+00:00,57.88,59.35,55.6606,57.88,1624465,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4355600,-671807.938886913,False,False,False,False,750629.1520413365,False,False,False,False
2022-02-04 00:00:00+00:00,58.33,62.74,55.31,57.03,2323870,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.79333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.603976617164375,-45.647803354086804,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2031730,-772542.9063767713,False,False,False,False,867165.5111493857,False,False,False,False
2022-02-11 00:00:00+00:00,59.38,60.9,56.49,58.78,1619211,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.84671733178531,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.775129671540899,-36.22172021080988,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-412519,-745874.4688673808,False,False,False,False,922872.5843975793,False,False,False,False
2022-02-18 00:00:00+00:00,59.37,59.77,57.5,59.16,1295272,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.85494703837892,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.006678814354665,-29.940514783017637,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1707791,-817127.5452475748,False,False,False,False,950457.7262940549,False,False,False,False
2022-02-25 00:00:00+00:00,58.58,59.6789,56.26,59.48,855853,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,58.759171649908126,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.901301958722428,-27.9013733487119,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2563644,-946499.1344884952,False,False,False,False,943449.9687907916,False,False,False,False
2022-03-04 00:00:00+00:00,59.09,61.24,57.7601,58.14,1487291,,,,,,,,"rgba(239, 83, 80, 0.5)",1.0,63.33625,,58.87769887621578,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.307218829710415,-24.34759143919365,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1076353,-956117.9393411994,False,False,False,False,983734.4896211033,False,False,False,False
