date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_77,Gap_Up_aVWAP_57,Gap_Up_aVWAP_31,Gap_Down_aVWAP_168,Gap_Down_aVWAP_121,Gap_Down_aVWAP_98,Gap_Down_aVWAP_76,Gap_Down_aVWAP_66,Gap_Down_aVWAP_56,Gap_Down_aVWAP_8,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-27 00:00:00+00:00,36.992339875,37.8057839979,36.8470819959,37.3796942193,634574,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,634574.0,False,False,False,False
2024-12-30 00:00:00+00:00,38.5611249692,38.9872147479,36.8180304201,37.1957009058,485738,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,485738,19048.549019607843,False,False,False,False,628737.2941176471,False,False,False,False
2024-12-31 00:00:00+00:00,38.7451182827,39.2583627888,38.3480800799,38.6676474139,457265,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,943003,55282.05690119185,False,False,False,False,622012.890426759,False,False,False,False
2025-01-02 00:00:00+00:00,38.5320733934,39.292256294,38.1350351905,38.9775308893,460749,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.76492299918156,46.1178460825831,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,482254,72026.05466977257,False,False,False,False,615688.8162923764,False,False,False,False
2025-01-03 00:00:00+00:00,38.1059836147,38.7741698585,37.5007424518,38.6482796967,462971,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.58491024529845,37.9381164471246,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,19283,69957.69958468345,False,False,False,False,609699.8823201263,False,False,False,False
2025-01-06 00:00:00+00:00,38.3287123627,38.6629991617,37.5893497581,38.0478804631,457291,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.64686841840077,34.068630099101426,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,476574,85903.43685587234,False,False,False,False,603723.0634056116,False,False,False,False
2025-01-07 00:00:00+00:00,39.4617238196,39.5876139814,37.8445194324,38.222189918,726572,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.97197112898499,34.068630099101426,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1203146,129716.87070466166,False,False,False,False,608540.6687622543,False,False,False,False
2025-01-08 00:00:00+00:00,39.1421564856,40.236432508,38.9339535255,39.0743694753,755999,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.25409586202096,33.00486457489892,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,447147,142165.11106918473,False,False,False,False,614323.3484186365,False,False,False,False
2025-01-10 00:00:00+00:00,36.8373981373,38.2028222008,36.4694115103,38.0962997561,532711,,,,,,,,,,37.1698772828,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.17026342508726,21.34267312786639,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-85564,133234.55769392257,False,False,False,False,611122.8641669252,False,False,False,False
2025-01-13 00:00:00+00:00,37.3022233504,37.3312749262,36.2466827624,36.7211918341,343773,,,,,,,,,,37.087583256097915,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.29267300434719,15.881787882319955,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,258209,138135.51621572953,False,False,False,False,600638.5557682223,False,False,False,False
