date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_446,Gap_Up_aVWAP_441,Gap_Up_aVWAP_438,Gap_Up_aVWAP_434,Gap_Up_aVWAP_427,Gap_Up_aVWAP_419,Gap_Up_aVWAP_418,Gap_Up_aVWAP_410,Gap_Up_aVWAP_405,Gap_Up_aVWAP_404,Gap_Down_aVWAP_443,Gap_Down_aVWAP_442,Gap_Down_aVWAP_440,Gap_Down_aVWAP_429,Gap_Down_aVWAP_423,Gap_Down_aVWAP_421,Gap_Down_aVWAP_420,Gap_Down_aVWAP_412,Gap_Down_aVWAP_407,Gap_Down_aVWAP_393,aVWAP_OB_bull_349,aVWAP_OB_bull_304,aVWAP_OB_bull_2,aVWAP_OB_bear_164,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,15.025,15.29,14.825,14.985,61185.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,61185.0,False,False,False,False
2023-12-15 17:00:00+00:00,14.67,14.855,14.605,14.815,18400.0,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-18400.0,-285.27131782945736,False,False,False,False,60521.666666666664,False,False,False,False
2023-12-18 17:00:00+00:00,14.56,14.73,14.475,14.675,12223.0,,,,,,,,,,,,,,,,,,,,,,,14.626666666666667,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-30623.0,-755.6237004987681,False,False,False,False,59772.85012919896,False,False,False,False
2023-12-19 17:00:00+00:00,15.24,15.285,15.06,15.22,36491.0,,,,,,,,,,,,,,,,,,,,,,,15.047403586922307,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.601950695031135,-29.658244374471977,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,5868.0,-652.9318601809578,False,False,False,False,59411.89121246719,False,False,False,False
2023-12-20 17:00:00+00:00,15.455,15.66,14.99,15.005,33319.0,,,,,,,,,,,,,,,,,,,,,,,15.116829406052036,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.44168959616844,-22.158596405150277,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-27451.0,-1068.405784829315,False,False,False,False,59007.350263436696,False,False,False,False
2023-12-21 17:00:00+00:00,14.85,15.17,14.67,15.09,17432.0,,,,,,,,,,,,,,,,,,,,,,,15.092264816769719,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.490309655408964,-16.228485108143033,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-10019.0,-1207.1746873901009,False,False,False,False,58362.771189584964,False,False,False,False
2023-12-22 17:00:00+00:00,15.3,15.36,15.09,15.105,14207.0,,,,,,,,,,,,,,,,,,,,,,,15.103855083045957,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.1191805387771,-12.249595130398937,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,4188.0,-1123.5285682057581,False,False,False,False,57678.185589746434,False,False,False,False
2023-12-25 17:00:00+00:00,15.105,15.105,15.105,15.105,0.0,,,,,,,,,,,,,,,,,,,,,,,15.103855083045957,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.8717611276892,-9.593509353210393,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4188.0,-1041.179288078537,False,False,False,False,56783.950154246486,False,False,False,False
2023-12-26 17:00:00+00:00,15.345,15.43,15.25,15.26,18830.0,,,,,,,,,,,,,,,,,,,,,,,15.133624259759602,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.102999815991794,-5.208540394005148,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,23018.0,-668.1687564804201,False,False,False,False,56195.51681852173,False,False,False,False
2023-12-27 17:00:00+00:00,15.35,15.47,15.3,15.375,7717.0,,,,,,,,,,,,,,,,,,,,,,,15.147275357357657,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.176711651116904,-0.771350760614979,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,30735.0,-181.2979230466152,False,False,False,False,55443.91190660666,False,False,False,False
