date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_889,Gap_Up_aVWAP_840,Gap_Up_aVWAP_632,Gap_Up_aVWAP_532,Gap_Up_aVWAP_490,Gap_Up_aVWAP_462,Gap_Up_aVWAP_461,Gap_Up_aVWAP_386,Gap_Up_aVWAP_334,Gap_Up_aVWAP_282,Gap_Down_aVWAP_816,Gap_Down_aVWAP_653,Gap_Down_aVWAP_649,Gap_Down_aVWAP_610,Gap_Down_aVWAP_569,Gap_Down_aVWAP_566,Gap_Down_aVWAP_530,Gap_Down_aVWAP_450,Gap_Down_aVWAP_404,Gap_Down_aVWAP_396,aVWAP_OB_bull_746,aVWAP_OB_bear_340,aVWAP_OB_bear_216,aVWAP_OB_bear_153,aVWAP_OB_bear_106,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,11.6047232242,11.7017662059,11.4915064123,11.6855923756,1060692,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,-1.0,10.954456,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1060692.0,False,False,False,False
2022-01-04 00:00:00+00:00,11.5562017334,11.6613316302,11.5238540729,11.6370708848,1445680,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-1445680,-56693.333333333336,False,False,False,False,1075789.568627451,False,False,False,False
2022-01-05 00:00:00+00:00,11.4187241761,11.6128101394,11.4187241761,11.531940988,1553356,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2999036,-172079.3202614379,False,False,False,False,1094517.663975394,False,False,False,False
2022-01-06 00:00:00+00:00,11.3863765155,11.5562017334,11.3378550247,11.4025503458,3598136,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-6597172,-424043.73907471483,False,False,False,False,1192698.7751920451,False,False,False,False
2022-01-07 00:00:00+00:00,11.4672456669,11.5481148183,11.3378550247,11.3944634306,1688336,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.353947882580645,-40.50888110763441,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4908836,-599917.9453855103,False,False,False,False,1212135.5291060826,False,False,False,False
2022-01-10 00:00:00+00:00,11.3378550247,11.4510718366,11.2488989581,11.4348980063,3025642,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.59690050293337,-38.11139386578778,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7934478,-887547.7514488237,False,False,False,False,1283253.429925452,False,False,False,False
2022-01-11 00:00:00+00:00,11.2812466187,11.3944634306,11.240812043,11.3702026852,8405613,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.785701757027176,-37.56133549658877,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-16340091,-1493529.8396273013,False,False,False,False,1562561.648359748,False,False,False,False
2022-01-12 00:00:00+00:00,11.2731597036,11.3378550247,11.2327251279,11.3216811944,3878209,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.450459997221671,-37.33034974498698,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-20218300,-2227834.5517987795,False,False,False,False,1653371.348424072,False,False,False,False
2022-01-13 00:00:00+00:00,11.3378550247,11.3944634306,11.2650727884,11.2893335338,1767193,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.450130835317474,-32.97130432319386,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-18451107,-2864041.3144733375,False,False,False,False,1657834.9426035201,False,False,False,False
2022-01-14 00:00:00+00:00,11.1922905522,11.3621157701,11.1356821462,11.297420449,1732588,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.849601545380278,-32.954961734776724,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-20183695,-3543243.4197881087,False,False,False,False,1660766.435050441,False,False,False,False
