date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_828,Gap_Up_aVWAP_827,Gap_Up_aVWAP_760,Gap_Up_aVWAP_684,Gap_Up_aVWAP_491,Gap_Up_aVWAP_319,Gap_Up_aVWAP_205,Gap_Up_aVWAP_185,Gap_Up_aVWAP_152,Gap_Up_aVWAP_88,Gap_Down_aVWAP_849,Gap_Down_aVWAP_826,Gap_Down_aVWAP_789,Gap_Down_aVWAP_751,Gap_Down_aVWAP_648,Gap_Down_aVWAP_595,Gap_Down_aVWAP_470,Gap_Down_aVWAP_343,Gap_Down_aVWAP_301,Gap_Down_aVWAP_298,aVWAP_OB_bear_776,aVWAP_OB_bear_685,aVWAP_OB_bear_281,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,12.66,12.897,12.0,12.18,38406,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,38406.0,False,False,False,False
2022-01-04 00:00:00+00:00,12.66,12.96,12.18,12.84,23238,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,37811.17647058823,False,False,False,False
2022-01-05 00:00:00+00:00,11.94,13.02,11.82,12.6,40651,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-40651,-1594.1568627450981,False,False,False,False,37922.542099192615,False,False,False,False
2022-01-06 00:00:00+00:00,11.76,12.36,11.58,11.94,19332,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-59983,-3883.915417147251,False,False,False,False,37193.50123255761,False,False,False,False
2022-01-07 00:00:00+00:00,11.7,12.12,11.64,11.76,28481,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-88464,-7200.781479219908,False,False,False,False,36851.834517555355,False,False,False,False
2022-01-10 00:00:00+00:00,11.4,11.7,10.92,11.52,44424,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-132888,-12129.692009446579,False,False,False,False,37148.78218353358,False,False,False,False
2022-01-11 00:00:00+00:00,11.46,11.55,11.22,11.28,44512,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9815313321775343,-48.18359627883726,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-88376,-15119.743303193773,False,False,False,False,37437.535823395,False,False,False,False
2022-01-12 00:00:00+00:00,11.28,11.67,11.25,11.46,38170,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9775819777262047,-47.380634927760845,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-126546,-19489.400428558725,False,False,False,False,37466.259908752065,False,False,False,False
2022-01-13 00:00:00+00:00,11.1,11.4612,11.1,11.4,25719,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3884448479987,-47.12814994824215,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-152265,-24696.286686262305,False,False,False,False,37005.58304958532,False,False,False,False
2022-01-14 00:00:00+00:00,11.16,11.28,10.62,10.98,45617,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.356677989617761,-45.41957102599701,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-106648,-27910.079365232414,False,False,False,False,37343.285675091785,False,False,False,False
2022-01-18 00:00:00+00:00,10.56,11.1,10.56,11.04,29180,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.527114705145401,-45.41957102599701,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-135828,-32142.15468424291,False,False,False,False,37023.15682508819,False,False,False,False
2022-01-19 00:00:00+00:00,10.08,10.62,10.02,10.5,30981,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.161702381691887,-45.41957102599701,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-166809,-37423.20744172358,False,False,False,False,36786.209498614146,False,False,False,False
2022-01-20 00:00:00+00:00,9.78,10.38,9.78,10.26,42970,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705250642208028,-45.41957102599701,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-209779,-44182.25813028344,False,False,False,False,37028.711086903786,False,False,False,False
2022-01-21 00:00:00+00:00,9.06,9.654,9.06,9.54,46187,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.052562046451854,-44.69202310164323,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-255966,-52487.50290948801,False,False,False,False,37387.85967173109,False,False,False,False
2022-01-24 00:00:00+00:00,9.18,9.3,8.46,8.58,51646,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1765978221882945,-44.69202310164323,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-204320,-58441.71848166495,False,False,False,False,37947.00242970242,False,False,False,False
