date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_118,Gap_Up_aVWAP_100,Gap_Up_aVWAP_40,Gap_Down_aVWAP_19,Gap_Down_aVWAP_17,aVWAP_OB_bull_171,aVWAP_OB_bull_111,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,3.6548244441,3.8087936441,3.5916426386,3.7228663886,4980246,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4980246.0,False,False,False,False
2022-01-07 00:00:00+00:00,3.3243349997,3.6742649997,3.2562930553,3.5965027775,5362896,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-5362896,-397251.55555555556,False,False,False,False,5008590.444444445,False,False,False,False
2022-01-14 00:00:00+00:00,3.4312580553,3.6450069636,3.2562930553,3.3437755553,4702962,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.354579900486206,-68.38644975121551,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-659934,-416709.5144032922,False,False,False,False,4985951.300411523,False,False,False,False
2022-01-21 00:00:00+00:00,3.440978333,3.8069467913,3.3632161108,3.4020972219,5385953,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.126797981931691,-62.527696257791234,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,4726019,-35766.661484529846,False,False,False,False,5015581.055936595,False,False,False,False
2022-01-28 00:00:00+00:00,3.0618874997,3.4701391664,2.9938455553,3.3632161108,7545872,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.1752907404666666,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27012900211569,-61.92509850548162,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2819853,-241995.27915234247,False,False,False,False,5203010.014756107,False,False,False,False
2022-02-04 00:00:00+00:00,3.1396497219,3.3291951386,3.0327266664,3.1007686108,5716679,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.1717992233889047,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.839807342062425,-58.75064792816083,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2896826,-9489.999215131946,False,False,False,False,5241059.569218617,False,False,False,False
2022-02-11 00:00:00+00:00,3.4312580553,3.4944398608,3.1689077581,3.1882511108,7068255,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.2389221544809024,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.040451705939535,-50.15122169509651,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,9965081,729367.1118378408,False,False,False,False,5376407.378906126,False,False,False,False
2022-02-18 00:00:00+00:00,3.4798594441,3.6694048608,3.3048944442,3.4798594441,5897699,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.294191764722746,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.669468528005815,-43.201416964999325,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,15862780,1850360.6591091119,False,False,False,False,5415021.573061228,False,False,False,False
2022-02-25 00:00:00+00:00,3.6256636108,3.7811880552,3.3632161108,3.4992999997,6167957,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.350514946666667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.44413163523507,-36.17865741853231,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,22030737,3345203.351026955,False,False,False,False,5470794.567649284,False,False,False,False
2022-03-04 00:00:00+00:00,3.8686705552,3.9172719441,3.5479985914,3.6742649997,6402324,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,3.421052517037783,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.819682209978794,-28.647402350588358,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,28433061,5203563.176876809,False,False,False,False,5539796.747823412,False,False,False,False
2022-03-11 00:00:00+00:00,4.0047544441,4.0825166663,3.6742649997,3.8881111108,13189747,,,,,,,,#000000,1.0,4.0096726,,3.7341399475025883,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.185507722529735,-22.14382347188976,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,41622808,7901285.015626675,False,False,False,False,6106459.729466123,False,False,False,False
2022-03-18 00:00:00+00:00,3.8686705552,3.9610131941,3.5041601386,3.8395097219,9894278,,,,,,,,#000000,0.0,0.0,,3.721988473115974,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.80122354878451,-19.201166384013685,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,31728530,9666266.125580255,False,False,False,False,6387038.86061678,False,False,False,False
2022-03-25 00:00:00+00:00,3.7617474997,3.9950341663,3.7325866663,3.9075516663,6805275,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,3.730764388559014,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.321832648484,-18.099301348325238,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,24923255,10796413.449611347,False,False,False,False,6418019.315385907,False,False,False,False
2022-04-01 00:00:00+00:00,3.615943333,3.7423069441,3.4215377775,3.7423069441,5662171,,,,,,,,#000000,0.0,0.0,,3.709513323467771,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.064579186042494,-18.099301348325238,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,19261084,11423426.082973469,False,False,False,False,6362030.551283247,False,False,False,False
2022-04-08 00:00:00+00:00,3.6062230552,3.742792958,3.4020972219,3.6353838886,4667283,,,,,,,,#000000,0.0,0.0,,3.6955965291251056,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.06286317322697,-18.099301348325238,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,14593801,11658268.66941988,False,False,False,False,6236493.695632637,False,False,False,False
