date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_912,Gap_Up_aVWAP_899,Gap_Up_aVWAP_898,Gap_Up_aVWAP_892,Gap_Up_aVWAP_890,Gap_Up_aVWAP_886,Gap_Up_aVWAP_877,Gap_Up_aVWAP_873,Gap_Up_aVWAP_859,Gap_Up_aVWAP_857,Gap_Down_aVWAP_917,Gap_Down_aVWAP_897,Gap_Down_aVWAP_889,Gap_Down_aVWAP_848,Gap_Down_aVWAP_826,Gap_Down_aVWAP_824,Gap_Down_aVWAP_816,Gap_Down_aVWAP_815,Gap_Down_aVWAP_803,Gap_Down_aVWAP_780,aVWAP_OB_bull_457,aVWAP_OB_bull_315,aVWAP_OB_bull_253,aVWAP_OB_bear_765,aVWAP_OB_bear_1,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,111.7105219879,114.8315855964,111.0234954074,114.8315855964,396317,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,396317.0,False,False,False,False
2022-01-04 00:00:00+00:00,113.1238338106,113.3692004465,111.6418193298,111.775789513,29140,,,,,,,,,,,,,,,,,,,,,,,,,112.7116178623,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,-1.0,113.3692,111.64182,490.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,29140,1142.7450980392157,False,False,False,False,381917.90196078434,False,False,False,False
2022-01-05 00:00:00+00:00,109.3746316142,113.1630924723,109.3746316142,113.1630924723,22112,,,,,,,,,,,,,,,,,,,,,,,,,111.81674629137169,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.17428807739421,-49.302847690423164,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,7028,1373.539407920031,False,False,False,False,367807.8665897732,False,False,False,False
2022-01-06 00:00:00+00:00,109.2764849598,109.9929555366,108.5804288871,109.2274116327,30743,,,,,,,,,,,,,,,,,,,,,,,,,110.86685845573139,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.445187366339916,-49.302847690423164,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-23715,389.67511741336307,False,False,False,False,354589.63652742916,False,False,False,False
2022-01-07 00:00:00+00:00,105.9100547154,109.3059289561,105.8462593901,109.3059289561,31974,,,,,,,,,,,,,,,,,,,,,,,,,109.78783217917352,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.61086978113921,-49.302847690423164,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-55689,-1809.4886126812787,False,False,False,False,341938.0429381183,False,False,False,False
2022-01-10 00:00:00+00:00,105.0633435283,105.2132134695,102.9165817576,105.2132134695,20731,,,,,,,,,,,,,,,,,,,,,,,,,108.95826601440952,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.21491103413813,-49.302847690423164,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-76420,-4735.391020027111,False,False,False,False,329341.688313094,False,False,False,False
2022-01-11 00:00:00+00:00,105.9296840463,105.9983867044,103.4956470183,105.1248814806,12788,,,,,,,,,,,,,,,,,,,,,,,,,108.62730933873232,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.473369064245638,-49.302847690423164,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-63632,-7045.061960418205,False,False,False,False,316927.81818316877,False,False,False,False
2022-01-12 00:00:00+00:00,106.5774519651,107.4809900651,105.8752126531,107.4809900651,19260,,,,,,,,,,,,,,,,,,,,,,,,,108.39829360962494,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.122800308388246,-49.302847690423164,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-44372,-8508.863452166512,False,False,False,False,305254.5704112798,False,False,False,False
2022-01-13 00:00:00+00:00,105.44876544,107.3135518727,105.1935841386,106.9994825788,77516,,,,,,,,,,,,,,,,,,,,,,,,,107.63254190186599,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.596335070405807,-49.302847690423164,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-121888,-12955.104101101158,False,False,False,False,296323.64608142566,False,False,False,False
2022-01-14 00:00:00+00:00,103.3975003639,104.6635922051,102.1346473623,104.6635922051,23889,,,,,,,,,,,,,,,,,,,,,,,,,107.25535008815989,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.825274702226054,-49.302847690423164,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-145777,-18163.805901057975,False,False,False,False,285639.93447038933,False,False,False,False
