date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_24,Gap_Down_aVWAP_19,aVWAP_OB_bull_167,aVWAP_OB_bull_136,aVWAP_OB_bull_106,aVWAP_OB_bull_66,aVWAP_OB_bear_33,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,16.5,17.14,16.17,17.0,2327908,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2327908.0,False,False,False,False
2022-01-07 00:00:00+00:00,15.09,17.24,14.0,16.6,7298591,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-7298591,-540636.3703703703,False,False,False,False,2696106.7407407407,False,False,False,False
2022-01-14 00:00:00+00:00,11.72,14.87,11.48,14.87,7525984,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-14824575,-1598705.8984910834,False,False,False,False,3053875.426611797,False,False,False,False
2022-01-21 00:00:00+00:00,9.33,11.6,9.25,11.44,10186639,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25011214,-3332965.7578621143,False,False,False,False,3582228.283899812,False,False,False,False
2022-01-28 00:00:00+00:00,8.86,9.87,8.18,8.75,11232978,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,8.969999999999999,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-36244192,-5770834.368390847,False,False,False,False,4148950.4850924187,False,False,False,False
2022-02-04 00:00:00+00:00,10.28,11.035,8.8,8.84,6455657,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,9.359899704622016,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.234676014350778,-45.05159533018403,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-29788535,-7549923.304065598,False,False,False,False,4319817.634344832,False,False,False,False
2022-02-11 00:00:00+00:00,10.8,11.55,10.06,10.485,5119245,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,9.683879416309919,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.538781150456707,-40.252261952110004,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24669290,-8818024.54080148,False,False,False,False,4379034.476245215,False,False,False,False
2022-02-18 00:00:00+00:00,9.13,11.1,8.905,10.57,4935708,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,9.688822892037852,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.052511145936972,-38.25010739452313,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-29604998,-10357800.352593964,False,False,False,False,4420269.552078903,False,False,False,False
2022-02-25 00:00:00+00:00,9.95,9.97,8.5,8.9,3936725,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,9.662045279929316,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.917234552457142,-34.96805757923947,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-25668273,-11491909.437587004,False,False,False,False,4384451.437110095,False,False,False,False
2022-03-04 00:00:00+00:00,8.04,10.44,7.7,9.96,9085424,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,9.453578269949263,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.287656441936786,-34.08923241557344,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-34753697,-13215004.81258056,False,False,False,False,4732671.626953792,False,False,False,False
