date,Close,High,Low,Open,Volume,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-05-09 00:00:00+00:00,17.25,19.45,16.11,18.5,4518127,#000000,-1.0,16.455,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4518127.0,False,False,False,False
2025-05-16 00:00:00+00:00,16.43,17.56,16.3927,17.56,545889,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-545889,-40436.22222222222,False,False,False,False,4223887.148148148,False,False,False,False
2025-05-23 00:00:00+00:00,16.54,16.95,16.02,16.34,350475,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.590468937003574,-58.97617234250893,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-195414,-51916.05761316872,False,False,False,False,3936967.729766804,False,False,False,False
2025-05-30 00:00:00+00:00,16.57,16.95,16.3,16.61,276017,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.039916586049276,-55.519012591778036,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,80603,-42099.83112330437,False,False,False,False,3665786.194228522,False,False,False,False
2025-06-06 00:00:00+00:00,17.0,17.45,16.285,16.48,817137,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.99314011855055,-44.962655624954145,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,897740,27517.93414508854,False,False,False,False,3454775.142804187,False,False,False,False
2025-06-13 00:00:00+00:00,16.46,17.53,15.775,17.21,869272,"rgba(239, 83, 80, 0.5)",0.0,0.0,,16.588333333333335,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.647547595383337,-41.60951521286514,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,28468,27588.3093936005,False,False,False,False,3263256.391485358,False,False,False,False
2025-06-20 00:00:00+00:00,16.63,16.94,16.14,16.62,1098435,"rgba(239, 83, 80, 0.5)",0.0,0.0,,16.578099098764874,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.193100588681055,-37.33606313895396,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1126903,109019.02721629676,False,False,False,False,3102899.2513753315,False,False,False,False
2025-06-27 00:00:00+00:00,17.82,18.0,16.425,16.55,945731,"rgba(239, 83, 80, 0.5)",0.0,0.0,,16.84976546895226,,0.0,0.0,0.0,0.0,1.0,17.615,16.94,9.0,36.99157521149125,-27.125064180239722,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,2072634,254471.98816323775,False,False,False,False,2943109.0105327144,False,False,False,False
2025-07-04 00:00:00+00:00,17.81,19.17,17.615,17.92,1182083,"rgba(239, 83, 80, 0.5)",0.0,0.0,,17.718666782769112,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.63536181659336,-20.128510719931807,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,890551,301588.9520029979,False,False,False,False,2812662.639382143,False,False,False,False
2025-07-11 00:00:00+00:00,17.34,18.48,17.03,17.81,608128,#000000,0.0,0.0,,17.644285758613112,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.172069941895984,-17.99538118833152,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,282423,300169.25185462774,False,False,False,False,2649363.777205688,False,False,False,False
