date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_176,Gap_Up_aVWAP_137,Gap_Up_aVWAP_117,Gap_Up_aVWAP_66,Gap_Up_aVWAP_40,Gap_Up_aVWAP_22,Gap_Down_aVWAP_140,Gap_Down_aVWAP_106,Gap_Down_aVWAP_63,aVWAP_OB_bear_119,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.1890815086,11.529674234,10.7790581634,10.9339558716,28682610,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,28682610.0,False,False,False,False
2022-01-07 00:00:00+00:00,12.4920445833,12.5558259925,11.1799698787,11.2255280282,52195701,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,52195701,3866348.222222222,False,False,False,False,30424320.444444448,False,False,False,False
2022-01-14 00:00:00+00:00,13.5307703911,13.626442505,12.1761443749,12.4373748039,53864054,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,106059755,11436230.205761315,False,False,False,False,32160597.004115228,False,False,False,False
2022-01-21 00:00:00+00:00,12.8018399996,13.9863518857,12.6560539214,13.7676727683,53554112,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.64970108739229,43.05167055917552,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,52505643,14478408.931260476,False,False,False,False,33745301.81862521,False,False,False,False
2022-01-28 00:00:00+00:00,13.1571935655,13.6856680993,11.8524081648,12.2733654658,66092340,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.27017073195226,39.21312287388605,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,118597983,22190969.973389328,False,False,False,False,36141378.72094927,False,False,False,False
2022-02-04 00:00:00+00:00,14.0865798146,14.5950087626,13.0114074872,13.1754168253,49811034,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.75673918943966,38.1819133484709,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,168409017,33021936.419804934,False,False,False,False,37153945.77865673,False,False,False,False
2022-02-11 00:00:00+00:00,14.4510450103,14.5421613092,12.8109516295,14.0319100352,75111130,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1368334222842,37.94284156356214,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,243520147,48614396.462782346,False,False,False,False,39965589.05431178,False,False,False,False
2022-02-18 00:00:00+00:00,14.0045751455,14.733505537,13.8633448822,14.4145984907,60912906,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.02007267854708,35.25988581344831,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,182607241,58539792.3544281,False,False,False,False,41517242.1613998,False,False,False,False
2022-02-25 00:00:00+00:00,13.9316821064,14.4874915298,13.3758726829,14.4510450103,61777401,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.38571634637216,33.066730711199185,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,120829840,63153869.9578038,False,False,False,False,43017994.667962775,False,False,False,False
2022-03-04 00:00:00+00:00,14.6332776081,14.6332776081,13.8679006971,13.9772402558,89994797,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.72975984553085,32.74255067370916,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,210824637,74092445.29426277,False,False,False,False,46497757.80366924,False,False,False,False
