date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_102,aVWAP_OB_bull_117,aVWAP_OB_bull_95,aVWAP_OB_bull_64,aVWAP_OB_bull_41,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.5565272993,11.6319615506,11.533897024,11.594244425,396130,,,,,,#000000,1.0,11.259226,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,396130.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.6395049758,11.6771466672,11.5565272993,11.5565272993,353257,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,353257,26167.185185185182,False,False,False,False,392954.2222222222,False,False,False,False
2022-01-14 00:00:00+00:00,11.9487854061,12.0393065077,11.6244181255,11.6319615506,286213,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,639470,71597.02331961591,False,False,False,False,385047.46502057614,False,False,False,False
2022-01-21 00:00:00+00:00,11.741341215,11.9638722564,11.6806624491,11.8507208794,420952,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.57231755749628,40.1425814410707,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,218518,82480.05862927399,False,False,False,False,387707.0602042372,False,False,False,False
2022-01-28 00:00:00+00:00,11.5668897629,11.6882472948,11.2710807788,11.6806624491,298577,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.63398962144291,29.284828726701065,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-80059,70440.12836043889,False,False,False,False,381104.83352244186,False,False,False,False
2022-02-04 00:00:00+00:00,11.6048139916,11.7489260608,11.5365503799,11.5517200714,271382,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.91960440716846,22.793844996914203,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,191323,79394.41514855452,False,False,False,False,372977.2162244832,False,False,False,False
2022-02-11 00:00:00+00:00,11.23315655,11.7337563693,11.2104020128,11.5972291459,224359,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.143967513162856,13.499257497895556,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-33036,71066.23624866159,False,False,False,False,361968.45946711407,False,False,False,False
2022-02-18 00:00:00+00:00,11.2592696529,11.3508084306,11.0822939682,11.263495933,385451,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9636516788072,7.777492222756678,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,352415,91906.8854154274,False,False,False,False,363707.90691399446,False,False,False,False
2022-02-25 00:00:00+00:00,11.1601026438,11.1791732224,10.8473451534,11.0914485605,389010,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.88358340588222,3.055789196908407,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-36595,82388.22723650685,False,False,False,False,365582.1360314764,False,False,False,False
2022-03-04 00:00:00+00:00,11.1372179493,11.2575151597,11.1143332549,11.1601026438,345619,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.33351081450479,-0.3175186228197475,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-382214,47973.24744121004,False,False,False,False,364103.38521433,False,False,False,False
