date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_132,Gap_Up_aVWAP_131,Gap_Up_aVWAP_129,Gap_Up_aVWAP_128,Gap_Up_aVWAP_113,Gap_Up_aVWAP_112,Gap_Up_aVWAP_107,Gap_Up_aVWAP_95,Gap_Up_aVWAP_94,Gap_Up_aVWAP_92,Gap_Down_aVWAP_137,Gap_Down_aVWAP_134,Gap_Down_aVWAP_126,Gap_Down_aVWAP_124,Gap_Down_aVWAP_123,Gap_Down_aVWAP_118,Gap_Down_aVWAP_115,Gap_Down_aVWAP_106,Gap_Down_aVWAP_99,Gap_Down_aVWAP_86,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-18 17:00:00+00:00,8.25,8.5,6.86,7.56,48492.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,48492.0,False,False,False,False
2025-02-19 17:00:00+00:00,6.47,6.92,6.12,6.265,3053.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,6.86,5.78,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-3053.0,-47.333333333333336,False,False,False,False,47787.51937984496,False,False,False,False
2025-02-20 17:00:00+00:00,5.54,5.78,5.49,5.49,1180.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,6.12,4.615,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-4233.0,-112.22739018087856,False,False,False,False,47064.922180157446,False,False,False,False
2025-02-21 17:00:00+00:00,4.615,4.615,3.77,3.77,885.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5118.0,-189.83626785249285,False,False,False,False,46348.95439441857,False,False,False,False
2025-02-24 17:00:00+00:00,3.515,3.7,3.34,3.34,255.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5373.0,-270.19539548268676,False,False,False,False,45634.31944256712,False,False,False,False
2025-02-25 17:00:00+00:00,3.34,3.34,3.34,3.34,0.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5373.0,-349.3086451651257,False,False,False,False,44926.810614000184,False,False,False,False
2025-02-26 17:00:00+00:00,3.34,3.34,2.875,2.88,14.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5387.0,-427.4123871005501,False,False,False,False,44230.487968821886,False,False,False,False
2025-02-27 17:00:00+00:00,2.345,2.35,1.84,1.88,1862.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-7249.0,-533.173435362557,False,False,False,False,43573.61218635953,False,False,False,False
2025-02-28 17:00:00+00:00,2.69,2.69,2.06,2.23,1852.0,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.090210123575929,-47.21881088878166,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-5397.0,-608.5815991553856,False,False,False,False,42926.76548579582,False,False,False,False
2025-03-03 17:00:00+00:00,2.34,2.34,2.1,2.12,4236.0,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.05227316928143,-45.63836675506127,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-9633.0,-748.4950627343718,False,False,False,False,42326.90865655867,False,False,False,False
