date,Close,High,Low,Open,Volume,aVWAP_OB_bear_31,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.19,9.75,7.91,8.08,1028584,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1028584.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.05,10.13,7.5,9.17,620247,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-620247,-45944.22222222222,False,False,False,False,998336.8148148148,False,False,False,False
2022-01-14 00:00:00+00:00,8.35,9.27,7.33,8.05,462843,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.284038542103048,-65.71009635525762,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-157404,-54200.502057613165,False,False,False,False,958670.6063100137,False,False,False,False
2022-01-21 00:00:00+00:00,6.85,8.2321,6.31,8.21,295039,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.373491736796772,-64.33656427437745,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-452443,-83699.94634964182,False,False,False,False,909512.709546309,False,False,False,False
2022-01-28 00:00:00+00:00,6.12,8.0,5.84,6.78,596506,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.516998806524834,-63.644187725114044,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1048949,-155199.87624966836,False,False,False,False,886327.0273576935,False,False,False,False
2022-02-04 00:00:00+00:00,5.6,6.57,5.28,6.16,361782,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.295998317898134,-63.12640244313641,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1410731,-248202.18171265587,False,False,False,False,847471.8401460125,False,False,False,False
2022-02-11 00:00:00+00:00,6.68,7.5,5.29,5.81,365121,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.596233010507902,-56.28597896776863,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1045610,-307269.42751171836,False,False,False,False,811742.1482833449,False,False,False,False
2022-02-18 00:00:00+00:00,5.73,6.9,5.6,6.76,164066,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.537213511596377,-52.78159173887376,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1209676,-374114.3588071466,False,False,False,False,763766.1372993935,False,False,False,False
2022-02-25 00:00:00+00:00,5.27,5.76,4.81,5.71,179115,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,5.6,5.37,0.0,18.037366825045975,-50.630263451738074,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1388791,-449275.5914880987,False,False,False,False,720458.6456475866,False,False,False,False
2022-03-04 00:00:00+00:00,3.95,5.37,3.71,5.24,723937,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.78349448226108,-50.10778187596585,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2112728,-572494.2884149062,False,False,False,False,720716.3015255431,False,False,False,False
2022-03-11 00:00:00+00:00,4.05,5.0,3.74,3.99,395604,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.00430391317803,-49.025100798809575,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1717124,-657281.6744582464,False,False,False,False,696633.9088199473,False,False,False,False
2022-03-18 00:00:00+00:00,4.42,4.68,3.61,4.16,345922,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.630283448982816,-46.56208709109234,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1371202,-710164.6615354134,False,False,False,False,670655.2489073585,False,False,False,False
2022-03-25 00:00:00+00:00,3.64,5.1,3.41,4.59,342001,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.947198189386384,-45.36864354799544,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1713203,-784463.7977179753,False,False,False,False,646310.4897290356,False,False,False,False
2022-04-01 00:00:00+00:00,3.34,4.0,3.28,3.55,293454,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88386049922132,-44.525042626382735,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2006657,-874996.6275166438,False,False,False,False,620172.9719713293,False,False,False,False
2022-04-08 00:00:00+00:00,2.79,3.55,2.645,3.44,624439,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,3.28,3.028,16.0,19.34480116556289,-44.17406778137069,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2631096,-1005078.062515411,False,False,False,False,620488.9740475272,False,False,False,False
2022-04-15 00:00:00+00:00,2.3,3.028,2.26,2.7,294715,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.56288275707857,-44.106082607478584,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2925811,-1147354.5764031583,False,False,False,False,596357.5685625252,False,False,False,False
2022-04-22 00:00:00+00:00,2.17,3.13,2.12,2.39,1001776,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.902497354370354,-43.95392282281924,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3927587,-1353297.7188918132,False,False,False,False,626388.5634838197,False,False,False,False
2022-04-29 00:00:00+00:00,2.18,2.42,1.62,2.3,581431,,"rgba(239, 83, 80, 0.5)",-1.0,1.407525,,2.0733333333333337,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.473056978238215,-43.59948674517423,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3346156,-1500916.850825753,False,False,False,False,623058.3735961294,False,False,False,False
