date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_876,Gap_Up_aVWAP_858,Gap_Up_aVWAP_852,Gap_Up_aVWAP_834,Gap_Up_aVWAP_786,Gap_Up_aVWAP_780,Gap_Up_aVWAP_774,Gap_Up_aVWAP_726,Gap_Up_aVWAP_720,Gap_Up_aVWAP_690,Gap_Down_aVWAP_816,Gap_Down_aVWAP_768,Gap_Down_aVWAP_750,Gap_Down_aVWAP_738,Gap_Down_aVWAP_714,Gap_Down_aVWAP_708,Gap_Down_aVWAP_702,Gap_Down_aVWAP_696,Gap_Down_aVWAP_678,Gap_Down_aVWAP_666,aVWAP_OB_bull_833,aVWAP_OB_bull_114,aVWAP_OB_bull_6,aVWAP_OB_bear_727,aVWAP_OB_bear_665,aVWAP_OB_bear_560,aVWAP_OB_bear_372,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,21.55,21.735,21.165,21.45,7295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,7295.0,False,False,False,False
2025-02-03 16:00:00+00:00,21.44,21.64,21.35,21.555,8522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,8522.0,132.12403100775194,False,False,False,False,7314.023255813953,False,False,False,False
2025-02-03 17:00:00+00:00,21.555,21.84,21.525,21.62,6387.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,14909.0,361.22288324018984,False,False,False,False,7299.650802235442,False,False,False,False
2025-02-03 18:00:00+00:00,21.62,21.725,21.545,21.59,3641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.14316702819943,44.72885032537948,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,11268.0,530.3202028798768,False,False,False,False,7242.9275339837295,False,False,False,False
2025-02-03 19:00:00+00:00,21.585,21.705,21.53,21.57,5287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0393833534107,38.68685499637766,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,5981.0,614.8268664011189,False,False,False,False,7212.603076092509,False,False,False,False
2025-02-03 20:00:00+00:00,21.565,21.625,21.32,21.375,25581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.68752146275308,22.783824970370745,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,-19600.0,301.4186979297837,False,False,False,False,7497.384423749989,False,False,False,False
2025-02-04 15:00:00+00:00,21.465,21.57,21.28,21.36,6849.0,,,,,,,,,,,,,,,,,,,,,,,21.403333333333336,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,1.0,21.57,21.28,0.0,0.0,0.0,0.0,0.0,55.959449681425234,12.731960620247435,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,-26449.0,-113.31647568153073,False,False,False,False,7487.3319520639425,False,False,False,False
2025-02-04 16:00:00+00:00,21.36,21.595,21.335,21.58,6755.0,,,,,,,,,,,,,,,,,,,,,,,21.45298784671175,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.50547842979486,12.731960620247435,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-19694.0,-416.8929644306543,False,False,False,False,7475.977968311013,False,False,False,False
2025-02-04 17:00:00+00:00,21.585,21.75,21.56,21.71,3810.0,,,,,,,,,,,,,,,,,,,,,,,21.50119712109031,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.471942890969544,12.731960620247435,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-15884.0,-656.6930735092487,False,False,False,False,7419.141100585261,False,False,False,False
2025-02-04 18:00:00+00:00,21.705,21.715,21.57,21.57,11637.0,,,,,,,,,,,,,,,,,,,,,,,21.548118538661893,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.186242454108665,12.731960620247435,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-27521.0,-1073.1939560905007,False,False,False,False,7484.534261816497,False,False,False,False
