date,Open,High,Low,Close,Volume,Gap_Up_aVWAP_361,Gap_Up_aVWAP_353,Gap_Up_aVWAP_351,Gap_Up_aVWAP_349,Gap_Up_aVWAP_345,Gap_Up_aVWAP_342,Gap_Up_aVWAP_329,Gap_Up_aVWAP_325,Gap_Up_aVWAP_323,Gap_Up_aVWAP_322,Gap_Down_aVWAP_358,Gap_Down_aVWAP_355,Gap_Down_aVWAP_354,Gap_Down_aVWAP_350,Gap_Down_aVWAP_348,Gap_Down_aVWAP_339,Gap_Down_aVWAP_337,Gap_Down_aVWAP_336,Gap_Down_aVWAP_331,Gap_Down_aVWAP_321,aVWAP_OB_bull_309,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-20 17:00:00+00:00,6.97,6.995,6.82,6.825,20122.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,20122.0,False,False,False,False
2023-12-21 17:00:00+00:00,6.965,7.0,6.93,6.99,38919.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,38919.0,603.3953488372093,False,False,False,False,20413.42635658915,False,False,False,False
2023-12-22 17:00:00+00:00,7.025,7.065,7.005,7.03,32395.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,71314.0,1699.6837930412837,False,False,False,False,20599.187188269938,False,False,False,False
2023-12-25 17:00:00+00:00,7.03,7.03,7.03,7.03,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,71314.0,2778.9755171801785,False,False,False,False,20279.819945040945,False,False,False,False
2023-12-26 17:00:00+00:00,7.135,7.235,7.135,7.205,52336.0,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,123650.0,4652.9448890068425,False,False,False,False,20776.814984652712,False,False,False,False
2023-12-27 17:00:00+00:00,7.125,7.135,7.075,7.085,24171.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.16371323198703,41.147341908788334,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,99479.0,6123.1162860765035,False,False,False,False,20829.438008146466,False,False,False,False
2023-12-28 17:00:00+00:00,7.035,7.065,6.945,6.96,24827.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.56859014499005,30.40190833657182,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,74652.0,7185.579599470666,False,False,False,False,20891.41571344652,False,False,False,False
2023-12-29 17:00:00+00:00,6.945,6.975,6.93,6.93,38246.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.03914261569822,22.89587412200541,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,36406.0,7638.609373122284,False,False,False,False,21160.479035718665,False,False,False,False
2024-01-01 17:00:00+00:00,6.93,6.93,6.93,6.93,0.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.68617759617034,18.278920865602302,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,36406.0,8084.615429352945,False,False,False,False,20832.409593304423,False,False,False,False
2024-01-02 17:00:00+00:00,7.005,7.07,6.9,6.915,34759.0,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 1.0)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.807016681097295,14.735013839659132,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1647.0,7984.807438200186,False,False,False,False,21048.325723640788,False,False,False,False
