date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_170,Gap_Down_aVWAP_88,aVWAP_OB_bull_159,aVWAP_OB_bull_122,aVWAP_OB_bull_95,aVWAP_OB_bull_63,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,130.4582174666,132.0702258567,129.575905182,129.575905182,4446928,,,,,,,#000000,1.0,128.13564,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4446928.0,False,False,False,False
2022-01-07 00:00:00+00:00,127.1006615297,130.3914478883,125.3264984495,130.2292931982,9664078,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-9664078,-715857.6296296295,False,False,False,False,4833383.555555555,False,False,False,False
2022-01-14 00:00:00+00:00,120.7575515922,127.9209734916,119.8323160074,126.1563489225,12648929,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-22313007,-2315646.4718792867,False,False,False,False,5412312.847736625,False,False,False,False
2022-01-21 00:00:00+00:00,119.8418545185,122.3886370047,118.5255399751,119.7655464291,12739820,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-35052827,-4740622.807295635,False,False,False,False,5955091.15531169,False,False,False,False
2022-01-28 00:00:00+00:00,118.6113865758,120.1375483652,115.0153678593,117.895998237,17252233,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,117.92143426676667,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-52305060,-8263914.451199662,False,False,False,False,6791916.477140453,False,False,False,False
2022-02-04 00:00:00+00:00,123.7717211264,124.7255722449,118.6781561541,118.8116953106,15182332,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,120.01398051674393,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.954329271002182,-40.59004811100575,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-37122728,-10401604.34370339,False,False,False,False,7413428.738093011,False,False,False,False
2022-02-11 00:00:00+00:00,120.1184713429,124.6683411778,118.7640027547,123.8051059156,13057034,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,120.34968706871064,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.983825530596016,-36.2438854646144,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-50179762,-13348134.5404661,False,False,False,False,7831473.572308343,False,False,False,False
2022-02-18 00:00:00+00:00,117.1996869205,121.2058616179,116.4747600705,120.0612402758,12937726,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,119.89438127340566,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.381303331165924,-34.481514044571156,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-63117488,-17034753.31524639,False,False,False,False,8209714.492878095,False,False,False,False
2022-02-25 00:00:00+00:00,122.5412531837,122.8655625639,115.3206002172,117.1996869205,15622812,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,119.96781812502843,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.114829309264557,-28.573374569494618,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-47494676,-19291043.884487398,False,False,False,False,8758832.826738978,False,False,False,False
2022-03-04 00:00:00+00:00,129.4375967699,129.5902129488,120.5810891353,120.5810891353,16920144,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,121.18950512133902,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.98796689331522,-20.775420052842414,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-30574532,-20126857.818969816,False,False,False,False,9363374.395128682,False,False,False,False
