date,Close,High,Low,Open,Volume,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-12-27 00:00:00+00:00,36.992339875,37.8057839979,36.8470819959,37.3796942193,634574,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,634574.0,False,False,False,False
2025-01-03 00:00:00+00:00,38.1059836147,39.292256294,36.8180304201,37.1957009058,1866723,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1866723,138275.77777777778,False,False,False,False,725844.2962962963,False,False,False,False
2025-01-10 00:00:00+00:00,36.8373981373,40.236432508,36.4694115103,38.0478804631,2472573,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.29570429568976,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-605850,83155.34979423869,False,False,False,False,855231.6076817558,False,False,False,False
2025-01-17 00:00:00+00:00,38.4061832315,39.2148822637,36.2466827624,36.7211918341,1879267,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.69594072320177,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,1273417,171322.87943910988,False,False,False,False,931086.0811868109,False,False,False,False
2025-01-24 00:00:00+00:00,41.4469148338,41.8923723297,38.8032214344,38.9291115962,2119271,"rgba(38, 166, 154, 0.5)",0.0,0.0,,40.71416953263334,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.65112451744643,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,3392688,409942.5179991758,False,False,False,False,1019099.7788766767,False,False,False,False
2025-01-31 00:00:00+00:00,40.4010581044,41.6309081473,38.6676474139,41.417863258,2695406,"rgba(38, 166, 154, 0.5)",0.0,0.0,,40.44491037236908,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.85175949324984,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,697282,431226.924073311,False,False,False,False,1143270.610070997,False,False,False,False
2025-02-07 00:00:00+00:00,40.139593922,41.1079797826,38.5127056762,38.861324586,2259587,"rgba(38, 166, 154, 0.5)",0.0,0.0,,40.27727876784281,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.08657966488025,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1562305,283557.8926604731,False,False,False,False,1225960.7130287008,False,False,False,False
2025-02-14 00:00:00+00:00,40.0233876187,41.1559148827,38.493337959,40.3235872355,2426181,"rgba(38, 166, 154, 0.5)",0.0,0.0,,40.17860202410863,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.76685885081491,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-3988486,-32889.8030921545,False,False,False,False,1314865.9194710192,False,False,False,False
2025-02-21 00:00:00+00:00,40.9530380449,41.6309081473,39.7139883363,40.1202262048,2600765,"rgba(38, 166, 154, 0.5)",1.0,41.833904,,40.30483959358368,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.35261693489497,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-1387721,-133247.66952977268,False,False,False,False,1410117.7032139066,False,False,False,False
2025-02-28 00:00:00+00:00,39.1905757786,41.369443965,38.4739702418,41.1079797826,3578974,"rgba(38, 166, 154, 0.5)",0.0,0.0,,40.16176381367334,,0.0,0.0,0.0,0.0,-1.0,39.7139883363,39.5747491301,22.0,67.75692583876678,-20.669330669396082,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,-4966695,-491280.8051201599,False,False,False,False,1570773.7251980617,False,False,False,False
