date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_57,Gap_Up_aVWAP_45,Gap_Up_aVWAP_44,Gap_Up_aVWAP_38,Gap_Up_aVWAP_34,Gap_Up_aVWAP_33,Gap_Up_aVWAP_31,Gap_Up_aVWAP_24,Gap_Up_aVWAP_23,Gap_Up_aVWAP_15,Gap_Down_aVWAP_60,Gap_Down_aVWAP_53,Gap_Down_aVWAP_52,Gap_Down_aVWAP_40,Gap_Down_aVWAP_18,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-06-04 00:00:00+00:00,19.85,20.23,19.09,20.23,12855,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,12855.0,False,False,False,False
2025-06-05 00:00:00+00:00,17.2848,20.47,17.14,19.6,13582,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-13582,-532.6274509803922,False,False,False,False,12883.509803921568,False,False,False,False
2025-06-06 00:00:00+00:00,18.48,18.48,18.075,18.245,10019,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.295078249036056,-72.59015649807212,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-3563,-651.4655901576317,False,False,False,False,12771.176086120722,False,False,False,False
2025-06-09 00:00:00+00:00,19.3824,19.3824,18.13,18.13,2220,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.66513659379139,-60.30967982796005,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1343,-678.5845866220383,False,False,False,False,12357.404474900302,False,False,False,False
2025-06-10 00:00:00+00:00,19.8851,19.93,19.35,19.6,7809,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.95180100864741,-49.998702043351216,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,6466,-398.40479891137016,False,False,False,False,12179.035671963036,False,False,False,False
2025-06-11 00:00:00+00:00,19.982,20.43,19.9,20.296,4041,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.1814611924222,-42.411559727784905,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,10507,29.258134379271837,False,False,False,False,11859.897018160564,False,False,False,False
2025-06-12 00:00:00+00:00,19.605,20.05,19.585,19.67,9182,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.23893726070553,-38.42748238144199,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,1325,80.07154087420236,False,False,False,False,11754.881448820934,False,False,False,False
2025-06-13 00:00:00+00:00,19.4634,19.8,19.29,19.44,3413,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.643223702733884,-35.58934615420385,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-2088,-4.950872493413414,False,False,False,False,11427.74884298482,False,False,False,False
2025-06-16 00:00:00+00:00,20.3557,20.625,20.28,20.28,13017,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.144963343775515,-29.599451080827293,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,10929,423.831514663191,False,False,False,False,11490.072417769728,False,False,False,False
2025-06-17 00:00:00+00:00,19.6127,20.28,19.32,20.28,4341,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.997246319321825,-27.899802850847237,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,6588,665.5636121273797,False,False,False,False,11209.71663668072,False,False,False,False
2025-06-18 00:00:00+00:00,19.8995,20.06,19.73,19.73,3412,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.963529637850854,-24.956232571889718,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,10000,1031.6199410635609,False,False,False,False,10903.923827399123,False,False,False,False
2025-06-20 00:00:00+00:00,19.727,20.34,19.727,20.34,5780,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.89674824938353,-22.935469736605633,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,4220,1156.6544531787154,False,False,False,False,10702.985638089353,False,False,False,False
2025-06-23 00:00:00+00:00,19.8395,20.2938,19.72,19.72,7876,,,,,,,,,,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.313639720731736,-20.441629677320485,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,12096,1585.648396191315,False,False,False,False,10592.123456203495,False,False,False,False
2025-06-24 00:00:00+00:00,20.5433,20.686,20.2,20.2,4401,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.17729724555823,-15.769971832438543,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,16497,2170.407282615185,False,False,False,False,10349.33430105826,False,False,False,False
2025-06-25 00:00:00+00:00,21.1308,21.32,20.8,21.15,2995,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.81805181044746,-10.62296689575166,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,19492,2849.685428394982,False,False,False,False,10060.929034350092,False,False,False,False
2025-06-26 00:00:00+00:00,21.8802,21.89,21.61,21.665,1434,,,,,,,,,,21.7934,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.034806423698676,-5.199350778017482,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,20926,3558.5605096343943,False,False,False,False,9722.61809182656,False,False,False,False
2025-06-27 00:00:00+00:00,20.6996,21.72,20.6996,21.5285,3024,,,,,,,,,,21.28216446837147,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.90212812717574,-5.199350778017482,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,17902,4121.0483327859865,False,False,False,False,9459.927186264735,False,False,False,False
2025-06-30 00:00:00+00:00,21.6087,21.97,21.5,21.5,7628,,,,,,,,,,21.54139751778918,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,21.6929,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71776881379743,-4.207129081931136,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,25530,4960.615064833595,False,False,False,False,9388.086904450432,False,False,False,False
2025-07-01 00:00:00+00:00,20.5654,21.37,20.5654,21.37,3152,,,,,,,,,,21.39498868617929,,,,,20.8336,"rgba(38, 166, 154, 0.5)",0.0,0.0,,21.44164641929499,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9285447205566,-4.207129081931136,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,22378,5643.6497681734545,False,False,False,False,9143.534476824925,False,False,False,False
