date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_160,Gap_Up_aVWAP_98,Gap_Up_aVWAP_87,Gap_Down_aVWAP_24,Gap_Down_aVWAP_19,aVWAP_OB_bull_171,aVWAP_OB_bull_93,aVWAP_OB_bull_24,aVWAP_OB_bear_90,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,42.48,43.59,42.465,42.71,20724696,,,,,,,,,,#000000,-1.0,43.55875,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,20724696.0,False,False,False,False
2022-01-07 00:00:00+00:00,42.11,44.63,42.07,42.59,31681676,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-31681676,-2346790.814814815,False,False,False,False,21536324.148148146,False,False,False,False
2022-01-14 00:00:00+00:00,44.86,45.315,41.44,41.9,46761597,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.38383434355868,-113.4595858588967,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,15079921,-1055923.2729766807,False,False,False,False,23404862.87791495,False,False,False,False
2022-01-21 00:00:00+00:00,42.97,45.04,42.685,44.29,39934387,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.47629336591763,-104.42150474865964,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-24854466,-2818778.2897932227,False,False,False,False,24629272.072143473,False,False,False,False
2022-01-28 00:00:00+00:00,42.74,43.95,41.08,42.18,61046522,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.504156262824395,-97.57120809735552,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-85900988,-8973016.046104835,False,False,False,False,27326846.140873585,False,False,False,False
2022-02-04 00:00:00+00:00,42.77,43.565,40.91,42.65,75707059,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,42.415,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.19063142790132,-91.34610863153044,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-10193929,-9063454.042689662,False,False,False,False,30910565.611919984,False,False,False,False
2022-02-11 00:00:00+00:00,43.11,45.0,42.54,42.64,40347086,,,,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,42.80959118508865,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.883695151868004,-84.60611353627928,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,30153157,-6158519.891379317,False,False,False,False,31609567.122148134,False,False,False,False
2022-02-18 00:00:00+00:00,42.55,44.26,42.19,43.0,37152521,,,,,,,,,,#000000,0.0,0.0,,42.85576520400881,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.65202633239707,-80.28934037529339,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-6999364,-6220804.640166035,False,False,False,False,32020156.29828531,False,False,False,False
2022-02-25 00:00:00+00:00,45.1,45.17,42.285,42.55,38369613,,,,,,,,,,#000000,1.0,49.017143,,43.653494657877246,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5900580802627,-70.75705999254427,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,31370249,-3436282.148301884,False,False,False,False,32490486.42433825,False,False,False,False
2022-03-04 00:00:00+00:00,43.96,44.69,42.98,44.49,46256690,,,,,,,,,,#000000,0.0,0.0,,43.6426167247982,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.95240303684757,-65.57132294480233,False,False,False,False,True,,0,,,False,False,False,False,,,False,False,False,False,-14886441,-4284442.063242485,False,False,False,False,33510205.207720604,False,False,False,False
