date,Close,High,Low,Open,Volume,Gap_Down_aVWAP_91,Gap_Down_aVWAP_34,Gap_Down_aVWAP_24,aVWAP_OB_bull_121,aVWAP_OB_bull_95,aVWAP_OB_bear_67,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,12.0217185723,12.1761557953,11.964820648,12.0217185723,90032,,,,,,,#000000,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,90032.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.6965875764,12.1680275204,11.6803310266,11.9810771978,184261,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,,0,,,False,False,False,False,,,False,False,False,False,-184261,-13648.962962962962,False,False,False,False,97011.92592592593,False,False,False,False
2022-01-14 00:00:00+00:00,11.5083065719,11.7859986003,11.5001504368,11.6640744768,155273,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,-1.0,11.6803310266,11.5817117874,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-339534,-37788.59533607682,False,False,False,False,101327.56104252402,False,False,False,False
2022-01-21 00:00:00+00:00,10.994470063,11.5817117874,10.9536893877,11.4919943018,370391,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-709925,-87576.47716303408,False,False,False,False,121258.1861504852,False,False,False,False
2022-01-28 00:00:00+00:00,10.9292209825,11.2228418447,10.8802841721,11.0270946033,369691,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1079616,-161060.88626206858,False,False,False,False,139660.6168060048,False,False,False,False
2022-02-04 00:00:00+00:00,10.8802841721,11.255466385,10.8802841721,10.9292209825,198614,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1278230,-243814.15394635982,False,False,False,False,144027.5340796341,False,False,False,False
2022-02-11 00:00:00+00:00,10.7090053359,11.0189384682,10.6519123904,10.9536893877,315517,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1593747,-343809.1795799628,False,False,False,False,156730.4574811427,False,False,False,False
2022-02-18 00:00:00+00:00,10.797954431,10.8225138422,10.6014791419,10.6915303161,329516,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.347334820438533,-47.7810350525542,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1264231,-411988.5736851507,False,False,False,False,169529.38655661358,False,False,False,False
2022-02-25 00:00:00+00:00,10.6505979642,10.83970543,10.5932926715,10.797954431,265762,,,,,,,"rgba(239, 83, 80, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7252645495620857,-46.57473826023664,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1529993,-494803.71637513954,False,False,False,False,176657.72829316073,False,False,False,False
2022-03-04 00:00:00+00:00,10.7652085495,11.0353620721,10.6895655632,10.7242761976,201963,,,,,,,"rgba(239, 83, 80, 0.5)",1.0,11.071503,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25267982556292,-43.36694743048108,False,False,False,True,True,,0,,,False,False,False,False,,,False,False,False,False,-1328030,-556524.181828833,False,False,False,False,178532.1928640377,False,False,False,False
