date,Close,High,Low,Open,Volume,Gap_Up_aVWAP_183,Gap_Up_aVWAP_107,Gap_Up_aVWAP_6,Gap_Down_aVWAP_24,aVWAP_OB_bull_4,aVWAP_OB_bear_147,aVWAP_OB_bear_107,aVWAP_OB_bear_57,aVWAP_OB_bear_37,color,Liquidity,Liquidity_Level,StDev,StDev_Mean,StdDev_ZScore,OB,OB_High,OB_Low,OB_Mitigated_Index,FVG,FVG_High,FVG_Low,FVG_Mitigated_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,131.5,156.0,130.0,152.5,571355,,,,,,,,,,#000000,1.0,153.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,571355.0,False,False,False,False
2022-01-07 00:00:00+00:00,133.0,159.0,120.5,132.5,1282338,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1282338,94988.0,False,False,False,False,624020.4074074074,False,False,False,False
2022-01-14 00:00:00+00:00,144.5,157.5,125.0,131.0,3266298,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4548636,424887.85185185185,False,False,False,False,819744.6735253773,False,False,False,False
2022-01-21 00:00:00+00:00,119.0,168.5,118.0,144.46,2485139,,,,,,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.59213029910953,31.653498173376974,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2063497,546266.3072702332,False,False,False,False,943107.2162272012,False,False,False,False
2022-01-28 00:00:00+00:00,104.5,124.0,96.5,110.5,1010382,,,,,108.33333333333333,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,108.33333333333333,,1.0,124.0,96.5,17.0,0.0,0.0,0.0,0.0,64.0471143842031,16.809313722017578,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,1053115,583810.6548798456,False,False,False,False,948090.5335437048,False,False,False,False
2022-02-04 00:00:00+00:00,127.0,130.5,103.0,104.5,1231863,,,,,114.83442732618425,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,114.83442732618425,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.46033425021886,13.732412851235445,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,2284978,709823.0508146719,False,False,False,False,969110.7162441711,False,False,False,False
2022-02-11 00:00:00+00:00,167.0,193.5,140.0,151.0,4759680,,,166.83333333333334,,150.18158584960565,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,158.5074595914695,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.890706388800325,13.732412851235445,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,7044658,1179070.0840876591,False,False,False,False,1249893.6261520102,False,False,False,False
2022-02-18 00:00:00+00:00,159.0,189.5,150.5,168.0,1285448,,,166.7270123422807,,152.68687087773975,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,159.70694161001023,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.15008008593291,13.732412851235445,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,5759210,1518339.7074885732,False,False,False,False,1252527.2834740835,False,False,False,False
2022-02-25 00:00:00+00:00,148.5,181.0,113.0,179.5,1610882,,,162.6815045521971,,151.8427385601469,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,157.26212155617202,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6020989789443,13.732412851235445,False,False,True,False,True,,0,,,False,False,False,False,,,False,False,False,False,4148328,1713153.655082012,False,False,False,False,1279072.077290818,False,False,False,False
2022-03-04 00:00:00+00:00,127.5,154.0,126.5,146.0,574932,,,160.81779918588498,,150.97304174619117,,,,,"rgba(38, 166, 154, 0.5)",0.0,0.0,,155.89542046603808,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.716517728830254,13.732412851235445,False,False,True,False,False,,0,,,False,False,False,False,,,False,False,False,False,3573396,1850949.3843351963,False,False,False,False,1226913.5530470537,False,False,False,False
2022-03-11 00:00:00+00:00,117.0,127.0,105.5,126.5,502964,,,158.26564697017193,,149.39337151672447,,,,,#000000,0.0,0.0,,141.38633949563214,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.81110188779419,10.967356998991875,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,3070432,1941281.4299399967,False,False,False,False,1173287.6602287535,False,False,False,False
2022-03-18 00:00:00+00:00,136.5,140.0,109.0,113.5,529863,,,156.56313096393774,,148.4312116834437,,,,,#000000,0.0,0.0,,142.55020231960987,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.355230197278885,10.832236708488061,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,3600295,2064171.3240185154,False,False,False,False,1125626.5742858828,False,False,False,False
2022-03-25 00:00:00+00:00,137.0,147.75,122.5,137.0,491539,,,155.51442336999165,,147.91166322971583,,,,,#000000,0.0,0.0,,143.43482922859945,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.084310040131854,10.689254561331161,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,4091834,2214368.559276403,False,False,False,False,1078657.1243387803,False,False,False,False
2022-04-01 00:00:00+00:00,130.0,151.5,128.5,134.0,362947,,,154.83834466351493,,147.5814712659952,,,,,#000000,0.0,0.0,,143.72686238372373,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.07421878487889,9.697902952354795,False,False,False,False,False,,0,,,False,False,False,False,,,False,False,False,False,3728887,2326555.110441114,False,False,False,False,1025641.5595729447,False,False,False,False
