date,Open,High,Low,Close,Volume,aVWAP_peak_388,aVWAP_peak_366,aVWAP_peak_325,aVWAP_peak_293,aVWAP_peak_207,aVWAP_peak_153,aVWAP_peak_111,aVWAP_valley_397,aVWAP_valley_336,aVWAP_OB_bull_397,aVWAP_OB_bear_207,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-21 17:00:00+00:00,27.87,27.89,27.87,27.89,100.0,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,100.0,False,False,False,False
2023-12-22 17:00:00+00:00,29.445,29.445,29.25,29.25,400.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,400.0,6.2015503875969,False,False,False,False,104.65116279069767,False,False,False,False
2023-12-25 17:00:00+00:00,29.25,29.25,29.25,29.25,0.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,400.0,12.30695270716904,False,False,False,False,103.02866414277987,False,False,False,False
2023-12-26 17:00:00+00:00,29.25,29.25,28.91,28.91,113.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,91.98813056379822,42.7893175074184,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,287.0,16.565759641941614,False,False,False,False,103.18325849715538,False,False,False,False
2023-12-27 17:00:00+00:00,27.87,27.87,27.61,27.61,200.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,73.7752238809486,26.878413659025853,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,87.0,17.657763368423137,False,False,False,False,104.68429324913747,False,False,False,False
2023-12-28 17:00:00+00:00,26.91,27.11,26.9,27.0,135.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,58.999310701762326,14.929246020687629,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-48.0,16.639813548757658,False,False,False,False,105.15430420651518,False,False,False,False
2023-12-29 17:00:00+00:00,26.92,26.92,26.75,26.75,100.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,48.27630141095481,6.8504573923466126,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-148.0,14.087258299939709,False,False,False,False,105.07439251339092,False,False,False,False
2024-01-01 17:00:00+00:00,26.75,26.75,26.75,26.75,0.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,41.12762855041646,1.7659868025849903,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-148.0,11.574277551103433,False,False,False,False,103.4453321643461,False,False,False,False
2024-01-02 17:00:00+00:00,27.55,27.55,27.55,27.55,0.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,42.81735857345305,1.7659868025849903,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-148.0,9.10025774410958,False,False,False,False,101.84152856489887,False,False,False,False
2024-01-03 17:00:00+00:00,28.0,28.675,28.0,28.35,412.0,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,48.05878861309789,1.7659868025849903,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,264.0,13.052191732572998,False,False,False,False,106.6501870367609,False,False,False,False
2024-01-04 17:00:00+00:00,28.65,28.65,28.37,28.47,618.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,52.068201646257045,-10.297854570436996,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,882.0,26.52425077547884,False,False,False,False,114.57809111371033,False,False,False,False
2024-01-05 17:00:00+00:00,28.47,29.16,28.47,29.015,77.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.86962994400022,-6.153470219920543,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,959.0,40.98123913554893,False,False,False,False,113.99548504993187,False,False,False,False
2024-01-08 17:00:00+00:00,28.32,28.32,28.32,28.32,80.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,55.934356261597145,-6.153470219920543,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,879.0,53.97377806367996,False,False,False,False,113.468423266212,False,False,False,False
2024-01-09 17:00:00+00:00,28.06,28.73,28.06,28.73,140.0,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,56.99873456804881,-5.138695867409574,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1019.0,68.93542491540585,False,False,False,False,113.87976554115446,False,False,False,False
