date,Open,High,Low,Close,Volume,aVWAP_peak_877,aVWAP_peak_805,aVWAP_peak_804,aVWAP_valley_882,aVWAP_valley_851,aVWAP_valley_777,aVWAP_valley_750,aVWAP_valley_709,aVWAP_valley_668,aVWAP_valley_628,aVWAP_valley_627,aVWAP_valley_576,aVWAP_valley_547,aVWAP_valley_493,aVWAP_valley_444,aVWAP_valley_433,aVWAP_valley_432,aVWAP_valley_371,aVWAP_valley_272,aVWAP_valley_249,aVWAP_valley_226,aVWAP_valley_204,aVWAP_valley_154,aVWAP_valley_119,aVWAP_valley_84,aVWAP_OB_bull_851,aVWAP_OB_bull_777,aVWAP_OB_bull_444,aVWAP_OB_bull_272,aVWAP_OB_bull_119,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,16.195,16.195,15.91,15.995,2289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,2289.0,False,False,False,False
2025-02-03 16:00:00+00:00,15.995,16.075,15.955,15.955,1097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1097.0,-17.007751937984494,False,False,False,False,2270.519379844961,False,False,False,False
2025-02-03 17:00:00+00:00,15.955,16.11,15.955,16.04,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,23.50230414746551,-85.25345622119826,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,911.0,-2.6200348536746567,False,False,False,False,2266.449311940388,False,False,False,False
2025-02-03 18:00:00+00:00,16.04,16.1,16.02,16.08,2055.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.84269940927234,-66.39687007082557,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2966.0,43.40508196576216,False,False,False,False,2263.1710280343354,False,False,False,False
2025-02-03 19:00:00+00:00,16.08,16.18,16.08,16.11,5141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,55.40515597116217,-51.53071421723866,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8107.0,168.4220574391612,False,False,False,False,2307.7885314756636,False,False,False,False
2025-02-03 20:00:00+00:00,16.1,16.135,16.06,16.095,8472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,61.83411734299417,-42.632846628367695,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-365.0,160.15194802149978,False,False,False,False,2403.3577015303044,False,False,False,False
2025-02-04 15:00:00+00:00,16.2,16.34,16.16,16.29,2128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.02484385266737,-30.6024142319024,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1763.0,185.0023054165153,False,False,False,False,2399.088589878672,False,False,False,False
2025-02-04 16:00:00+00:00,16.29,16.45,16.29,16.44,1444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,78.33399347169669,-20.141677483846294,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3207.0,231.85498285191815,False,False,False,False,2384.281014841793,False,False,False,False
2025-02-04 17:00:00+00:00,16.43,16.49,16.41,16.465,1145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,83.34549378002379,-11.675284605553038,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4352.0,295.73320017204344,False,False,False,False,2365.067355696959,False,False,False,False
2025-02-04 18:00:00+00:00,16.465,16.48,16.41,16.41,1466.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.71764388277752,-8.353957112322519,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2886.0,335.89237536317455,False,False,False,False,2351.1283269264636,False,False,False,False
2025-02-04 19:00:00+00:00,16.41,16.47,16.4,16.445,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.81602251776116,-4.095078771128101,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3841.0,390.2351292335129,False,False,False,False,2329.482926508999,False,False,False,False
2025-02-04 20:00:00+00:00,16.445,16.5,16.4,16.435,2512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,82.15702887670906,-0.6808079127549291,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1329.0,404.7896233539235,False,False,False,False,2332.3126485786265,False,False,False,False
2025-02-05 15:00:00+00:00,16.64,16.915,16.61,16.91,2634.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,85.44265661051189,6.196659798878343,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3963.0,459.95567570502544,False,False,False,False,2336.989971856477,False,False,False,False
