date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_valley_187,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_157,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_111,aVWAP_OB_bull_157,aVWAP_OB_bull_136,aVWAP_OB_bull_111,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,23.0111348906,23.5456346197,22.5872213123,22.8913332271,7982079,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7982079.0,False,False,False,False
2022-01-07 00:00:00+00:00,20.7164722603,23.0756434786,20.5644163029,22.6885919506,10757306,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10757306,-796837.4814814815,False,False,False,False,8187651.37037037,False,False,False,False
2022-01-14 00:00:00+00:00,21.1864634014,22.1817387591,20.403236988,20.5598085466,9390005,,,,,,,,,,,,,,,,#000000,,,,5.141647343071477,-62.85411835767869,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1367301,-839094.0384087791,False,False,False,False,8276714.602194788,False,False,False,False
2022-01-21 00:00:00+00:00,21.6656700552,23.4624185412,20.9099980243,21.2647952583,14352417,,,,,,,,,,,,,,,,#000000,,,,12.663614236328556,-55.462325189822394,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12985116,184921.5199918712,False,False,False,False,8726766.63166184,False,False,False,False
2022-01-28 00:00:00+00:00,19.4723780632,21.840764794,19.1083653166,21.2417564769,16485145,,,,,,,,,,,,,,,,#000000,,20.140502724599997,,14.024758233430308,-53.992065210038504,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3500029,-88037.77778530441,False,False,False,False,9301461.325612813,False,False,False,False
2022-02-04 00:00:00+00:00,19.647472802,20.7994118734,19.3111065932,19.7396279277,12717576,,,,,,,,,,,,,,,,#000000,,20.04418377006187,,15.864284023991159,-51.88808369560373,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9217547,601264.7983469403,False,False,False,False,9554506.8570489,False,False,False,False
2022-02-11 00:00:00+00:00,21.96978197,22.2186008094,19.8317830535,19.9147226666,11454139,,,,,,,,,,,,,,,,#000000,,20.409265883482902,,24.97607879404751,-42.79473554282521,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20671686,2087962.665136056,False,False,False,False,9695220.349119352,False,False,False,False
2022-02-18 00:00:00+00:00,22.0435060706,22.8452556643,21.1219548134,22.1909542717,13268098,,,,,,,,,,,,,,,,#000000,,20.80154087089994,,31.65671398731063,-36.21590180403335,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33939784,4447356.838088941,False,False,False,False,9959877.95288829,False,False,False,False
2022-02-25 00:00:00+00:00,21.4629287786,23.2138761671,20.6703946975,22.2186008094,14117233,,,,,,,,,,,,,,,,#000000,,21.005047180487665,,35.20295890177175,-32.66227427517164,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19822551,5586260.109341612,False,False,False,False,10267830.178600268,False,False,False,False
2022-03-04 00:00:00+00:00,24.6054185654,24.7627895645,21.5366528792,21.7670406934,15477347,,,,,,,,,,,,,,,,#000000,,21.49240590259998,,43.16438542821851,-24.851441679349747,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282823048045513,0.34282823048045513,False,False,False,False,35299898,7787270.323464456,False,False,False,False,10653720.313518766,False,False,False,False
2022-03-11 00:00:00+00:00,25.3182166202,26.7993554352,23.6611925708,24.4850760367,21172732,,,,,,,,,,,,,,,,#000000,,22.254272479405543,,49.65580210717333,-18.548825529604176,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282401032106,0.3428282352918329,False,False,False,False,56472630,11393593.262467088,False,False,False,False,11432906.364369228,False,False,False,False
2022-03-18 00:00:00+00:00,25.6144443832,26.3133567615,23.1613082207,24.5128473895,16312042,,,,,,,,,,,,,,,,#000000,,22.62841568520159,,54.61263588977761,-13.723171692837255,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.27377316237400506,0.308300698832919,False,False,False,False,72784672,15941080.576358415,False,False,False,False,11794323.818860397,False,False,False,False
2022-03-25 00:00:00+00:00,26.1698714388,26.9844977871,25.1608456211,25.7903296175,11194780,,,,,,,,,,,,,,,,#000000,,22.92282314056635,,58.73669241850078,-9.63858715808199,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282421068209,0.3255644704698699,False,False,False,False,83979452,20980959.941072606,False,False,False,False,11749913.165611478,False,False,False,False
2022-04-01 00:00:00+00:00,26.0217575573,26.0773002629,24.1036827918,25.7347869119,10948237,,,,,,,,,,,,,,,,#000000,,23.112353194398015,,61.339661039923584,-6.921075385140831,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.22604577203838663,0.27580512125412826,False,False,False,False,73031215,24836534.389882043,False,False,False,False,11690529.745936554,False,False,False,False
2022-04-08 00:00:00+00:00,26.4660992018,26.6419844361,24.8923892108,26.3179853203,8952620,,,,,,,,,,,,,,,,#000000,,23.282329685468444,,63.68486309916683,-4.331105456489567,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3056711653602638,0.29073814330719605,False,False,False,False,81983835,29069667.768409297,False,False,False,False,11487721.616607921,False,False,False,False
