date,Close,High,Low,Open,Volume,aVWAP_peak_165,aVWAP_peak_154,aVWAP_peak_146,aVWAP_peak_139,aVWAP_peak_132,aVWAP_peak_121,aVWAP_peak_103,aVWAP_peak_94,aVWAP_peak_88,aVWAP_peak_77,aVWAP_peak_76,aVWAP_peak_67,aVWAP_peak_50,aVWAP_peak_43,aVWAP_peak_34,aVWAP_peak_23,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_162,aVWAP_valley_156,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_124,aVWAP_valley_112,aVWAP_valley_111,aVWAP_valley_105,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_49,aVWAP_valley_39,aVWAP_valley_27,aVWAP_valley_6,aVWAP_OB_bull_171,aVWAP_OB_bull_129,aVWAP_OB_bear_43,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,1.9350533879,2.0509782453,1.8726323109,1.9528879814,1009725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1009725.0,False,False,False,False
2022-01-07 00:00:00+00:00,2.0688128387,2.1401512125,1.9173079675,1.9350533879,601201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,601201,44533.4074074074,False,False,False,False,979463.9629629629,False,False,False,False
2022-01-14 00:00:00+00:00,2.3274144435,2.345249037,1.9796398715,2.0688128387,707596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1308797,138182.5624142661,False,False,False,False,959325.5953360768,False,False,False,False
2022-01-21 00:00:00+00:00,2.122316619,2.3898355206,2.0527617046,2.3630836304,635719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.59119022532515,40.16042200987768,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,673078,177804.44667987604,False,False,False,False,935354.7364222934,False,False,False,False
2022-01-28 00:00:00+00:00,2.0955647289,2.2649933665,1.9439706847,2.0509782453,468857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,81.2764174186917,32.72728717952138,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,204221,179761.22840729263,False,False,False,False,900799.3485391606,False,False,False,False
2022-02-04 00:00:00+00:00,1.9618052781,2.2292350067,1.9319323341,2.1133993223,1003661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,71.7761075986388,24.398859788326888,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-799440,107227.80408082649,False,False,False,False,908418.7301288523,False,False,False,False
2022-02-11 00:00:00+00:00,2.1044820256,2.1401512125,1.8637150142,1.9350533879,1039388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0361160841,,,,,2.0361160841,#000000,,2.0361160841,,67.82064358098872,21.51595219077285,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,239948,117058.92970446897,False,False,False,False,918120.1575267151,False,False,False,False
2022-02-18 00:00:00+00:00,2.0457980729,2.28282796,2.0278524758,2.1401512125,1188106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0802321844367286,,,,,2.0802321844367286,#000000,,2.0802321844367286,,63.71272546215606,18.396122656172025,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-948158,38153.97194858239,False,False,False,False,938119.1088210326,False,False,False,False
2022-02-25 00:00:00+00:00,2.2521724399,2.2521724399,1.9470972887,2.0727164686,847538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0995940335932843,,,,,2.0995940335932843,#000000,,2.0995940335932843,,63.78458603700642,18.396122656172025,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-100620,27874.41847090962,False,False,False,False,931409.3970565116,False,False,False,False
2022-03-04 00:00:00+00:00,2.7097851667,2.7187579653,2.1983356485,2.2342268428,2363497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.291983833496195,,,,,2.291983833496195,#000000,,2.291983833496195,,67.43267129161929,18.396122656172025,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282810531221136,0.34282810531221136,False,False,False,False,2262877,193430.16525084223,False,False,False,False,1037489.9602375107,False,False,False,False
