date,Close,High,Low,Open,Volume,aVWAP_peak_45,aVWAP_valley_46,aVWAP_OB_bull_46,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-05-24 00:00:00+00:00,9.6808524404,9.7432476222,9.6664535523,9.676052811,8469,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,8469.0,False,False,False,False
2024-05-31 00:00:00+00:00,9.6737489889,9.6952513285,9.6616539229,9.6808524404,153,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-153,-11.333333333333332,False,False,False,False,7853.0,False,False,False,False
2024-06-07 00:00:00+00:00,9.7240491047,9.752846881,9.714449846,9.714449846,64201,,,,,,#000000,,,,25.244090428663025,-113.11022607165756,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,64048,4733.802469135801,False,False,False,False,12026.925925925927,False,False,False,False
2024-06-14 00:00:00+00:00,9.7816446572,9.7960435453,9.7384479928,9.7384479928,45,,,,,,#000000,,,,45.00627530274147,-93.04824948756277,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,64093,9130.78006401463,False,False,False,False,11139.375857338822,False,False,False,False
2024-06-21 00:00:00+00:00,9.7912439159,9.7960435453,9.7768450278,9.7768450278,17,,,,,,#000000,,,,59.257818550839374,-77.97070753301546,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,64110,13203.31487408762,False,False,False,False,10315.496164202614,False,False,False,False
2024-06-28 00:00:00+00:00,9.7610062509,9.7960435453,9.7610062509,9.7912439159,7273,,,,,,#000000,,,,63.394546831416505,-72.06485560059683,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56837,16435.43969822928,False,False,False,False,10090.126077965384,False,False,False,False
2024-07-05 00:00:00+00:00,9.7850718481,9.7850718481,9.7465668925,9.751380012,2049,,,,,,#000000,,,,67.54784661960213,-65.44890093563625,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,58886,19579.925646508593,False,False,False,False,9494.487109227208,False,False,False,False
2024-07-12 00:00:00+00:00,9.8091374454,9.8091374454,9.7754456092,9.7802587287,155,,,,,,#000000,,,,71.43583358290806,-58.59124393880468,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,59041,22502.968191211658,False,False,False,False,8802.673249284451,False,False,False,False
2024-07-19 00:00:00+00:00,9.8091374454,9.8139505649,9.7946980871,9.7946980871,686,,,,,,#000000,,,,74.21296712812659,-52.44190817864546,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,59041,25209.489065936723,False,False,False,False,8201.4381937819,False,False,False,False
2024-07-26 00:00:00+00:00,9.8187636843,9.8187636843,9.8091374454,9.8091374454,5054,,,,,,#000000,,,,76.53516760761306,-46.467128290398634,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428277077967969,0.3428277077967969,False,False,False,False,64095,28089.897283274742,False,False,False,False,7968.29462387213,False,False,False,False
