date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_158,aVWAP_peak_149,aVWAP_peak_124,aVWAP_peak_119,aVWAP_peak_102,aVWAP_peak_84,aVWAP_peak_76,aVWAP_peak_57,aVWAP_peak_46,aVWAP_peak_32,aVWAP_peak_14,aVWAP_valley_171,aVWAP_OB_bull_171,aVWAP_OB_bear_158,aVWAP_OB_bear_102,aVWAP_OB_bear_76,aVWAP_OB_bear_57,aVWAP_OB_bear_32,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,12.56,12.895,11.73,12.61,18308714,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,18308714.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.65,12.96,11.51,12.75,19923335,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19923335,-1475802.5925925926,False,False,False,False,18428315.555555556,False,False,False,False
2022-01-14 00:00:00+00:00,10.98,11.74,10.685,11.49,24266312,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-44189647,-4639791.0672153635,False,False,False,False,18860759.736625515,False,False,False,False
2022-01-21 00:00:00+00:00,9.85,11.11,9.77,10.7,19533594,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-63723241,-9016342.9140883,False,False,False,False,18910599.31169029,False,False,False,False
2022-01-28 00:00:00+00:00,9.2,10.22,8.57,9.25,31340930,,,,,,,,,,,,,,,,,,,,,,#000000,,9.33,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-95064171,-15390256.105637314,False,False,False,False,19831364.54786138,False,False,False,False
2022-02-04 00:00:00+00:00,9.73,10.8399,9.21,9.22,29500526,,,,,,,,,,,,,,,,,,,,,,#000000,,9.619292832874786,,4.511775753634286,-45.734961982892585,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-65563645,-19106803.43114566,False,False,False,False,20547598.729501277,False,False,False,False
2022-02-11 00:00:00+00:00,9.27,10.08,9.1091,9.26,23094624,,,,,,,,,,,,,,,,,,,,,,#000000,,9.582718813354955,,7.156771460177605,-43.419667781446016,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-88658269,-24258763.84365339,False,False,False,False,20736267.26805674,False,False,False,False
2022-02-18 00:00:00+00:00,9.62,10.495,9.03,9.08,18687200,,,,,,,,,,,,,,,,,,,,,,#000000,,9.606806573861864,,11.374701046445445,-39.67582707111652,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-69971069,-27644860.521901287,False,False,False,False,20584484.507459942,False,False,False,False
2022-02-25 00:00:00+00:00,9.79,9.8,8.31,9.38,17298890,,,,,,,,,,,,,,,,,,,,,,#000000,,9.43127471315465,,15.433371443234433,-36.18567500545532,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-52672179,-29498735.964723412,False,False,False,False,20341107.136536982,False,False,False,False
2022-03-04 00:00:00+00:00,9.74,11.495,9.65,10.53,32455970,,,,,,,,,,,,,,,,,,,,,,#000000,,9.833807317500467,,18.22601989783719,-33.95572375972259,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.02254411955127956,-0.02254411955127956,False,False,False,False,-85128149,-33619433.22659575,False,False,False,False,21238504.38568239,False,False,False,False
