date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_176,aVWAP_peak_161,aVWAP_peak_154,aVWAP_valley_187,aVWAP_valley_182,aVWAP_valley_175,aVWAP_valley_157,aVWAP_valley_151,aVWAP_valley_136,aVWAP_valley_132,aVWAP_valley_120,aVWAP_valley_108,aVWAP_valley_99,aVWAP_valley_92,aVWAP_valley_84,aVWAP_valley_64,aVWAP_valley_39,aVWAP_OB_bear_154,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,92.2057942519,92.876579621,88.9153200763,89.3141654309,949549,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,949549.0,False,False,False,False
2022-01-07 00:00:00+00:00,91.6619142228,94.6169957138,90.9186115165,91.6256555542,1148847,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1148847,-85099.77777777777,False,False,False,False,964311.8148148148,False,False,False,False
2022-01-14 00:00:00+00:00,90.6557361692,93.3842009814,88.6207183939,91.6800435571,1134865,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2283712,-247959.94238683127,False,False,False,False,976945.3840877914,False,False,False,False
2022-01-21 00:00:00+00:00,80.9384129841,89.6586227826,80.7208609725,89.1238074208,1944391,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4228103,-542785.3540618807,False,False,False,False,1048608.0223035107,False,False,False,False
2022-01-28 00:00:00+00:00,78.518146855,80.929348317,76.460467412,80.0410109363,2952032,,,,,,,,,,,,,,,,,,,,,,#000000,,78.635987528,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7180135,-1034440.8833906302,False,False,False,False,1189602.3910217693,False,False,False,False
2022-02-04 00:00:00+00:00,80.4942442938,82.7513464142,77.4757101328,77.9289434903,3661128,,,,,,,,,,,,,,,,,,,,,,#000000,,79.52422892673836,,4.052926733737235,-46.16871769701402,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3519007,-1218482.8179542874,False,False,False,False,1372678.3620571936,False,False,False,False
2022-02-11 00:00:00+00:00,84.790896523,86.059949924,78.4637588521,81.1197063272,3564488,,,,,,,,,,,,,,,,,,,,,,#000000,,80.77826586656123,,13.037817553203013,-37.84142141730122,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45481,-1124855.868476192,False,False,False,False,1535034.6315344386,False,False,False,False
2022-02-18 00:00:00+00:00,83.8753651408,87.1386453149,82.7876050828,84.9178018631,2116072,,,,,,,,,,,,,,,,,,,,,,#000000,,81.43617934784616,,18.911304109241577,-32.77887386788026,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2070591,-1194910.3226631407,False,False,False,False,1578074.4366059618,False,False,False,False
2022-02-25 00:00:00+00:00,85.7512011216,85.8240491209,79.559121185,82.9556591502,1193331,,,,,,,,,,,,,,,,,,,,,,#000000,,81.63749537504677,,25.106162428388018,-27.51726300911121,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-877260,-1171380.6691325377,False,False,False,False,1549574.922783298,False,False,False,False
2022-03-04 00:00:00+00:00,80.4150851763,85.3277721259,79.3451301872,84.640269133,1371515,,,,,,,,,,,,,,,,,,,,,,#000000,,81.64289524009438,,26.711377751526,-26.673359463347854,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.16058270285398654,-0.16058270285398654,False,False,False,False,-2248775,-1251187.6566042015,False,False,False,False,1536385.2988734238,False,False,False,False
