date,Close,High,Low,Open,Volume,aVWAP_peak_459,aVWAP_peak_428,aVWAP_peak_397,aVWAP_peak_366,aVWAP_peak_351,aVWAP_peak_285,aVWAP_valley_481,aVWAP_valley_466,aVWAP_valley_454,aVWAP_valley_409,aVWAP_OB_bull_466,aVWAP_OB_bull_409,aVWAP_OB_bear_285,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-08-14 00:00:00+00:00,20.1681371296,20.3639442862,20.1681371296,20.3639442862,6100,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6100.0,False,False,False,False
2023-08-15 00:00:00+00:00,19.7765228165,19.7765228165,18.0142584071,19.7765228165,2100,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2100,-82.3529411764706,False,False,False,False,5943.137254901961,False,False,False,False
2023-08-16 00:00:00+00:00,19.7765228165,19.7765228165,19.7765228165,19.7765228165,2100,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2100,-161.47635524798156,False,False,False,False,5792.425990003844,False,False,False,False
2023-08-17 00:00:00+00:00,19.7765228165,19.7765228165,19.7765228165,19.7765228165,0,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2100,-237.49689033629602,False,False,False,False,5565.272029611537,False,False,False,False
2023-08-18 00:00:00+00:00,19.1891013467,19.1891013467,19.1891013467,19.1891013467,200,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2300,-318.3793652250687,False,False,False,False,5354.8692049208885,False,False,False,False
2023-08-21 00:00:00+00:00,19.1891013467,19.1891013467,19.1891013467,19.1891013467,100,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2300,-396.0899783534974,False,False,False,False,5148.795902767129,False,False,False,False
2023-08-22 00:00:00+00:00,19.64337395,19.64337395,19.64337395,19.64337395,100,,,,,,,,,,,,,,,,#000000,,,,12.801027990261272,-38.2657243422605,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2200,-466.8315478298308,False,False,False,False,4950.803906580182,False,False,False,False
2023-08-23 00:00:00+00:00,18.9541327587,18.9932941901,18.6682543101,18.9932941901,2700,,,,,,,,,,,,,,,,#000000,,,,16.33507964310327,-35.73734521550318,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4900,-640.6812910521904,False,False,False,False,4862.537086714293,False,False,False,False
2023-08-24 00:00:00+00:00,18.9541327587,18.9541327587,18.9541327587,18.9541327587,0,,,,,,,,,,,,,,,,#000000,,,,18.691114078331267,-34.218463324697254,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4900,-807.7133972854378,False,False,False,False,4671.849357823537,False,False,False,False
2023-08-25 00:00:00+00:00,18.9541327587,18.9541327587,18.9541327587,18.9541327587,0,,,,,,,,,,,,,,,,#000000,,,,20.2618037018166,-33.27919884226691,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4900,-968.1952248428717,False,False,False,False,4488.6395790853585,False,False,False,False
