date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_176,aVWAP_peak_159,aVWAP_peak_152,aVWAP_valley_187,aVWAP_valley_170,aVWAP_valley_159,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_120,aVWAP_valley_107,aVWAP_valley_95,aVWAP_valley_86,aVWAP_valley_79,aVWAP_valley_70,aVWAP_OB_bull_170,aVWAP_OB_bull_128,aVWAP_OB_bull_95,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,19.231428014,19.588951319,18.7408727814,19.0318801228,18187068,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,18187068.0,False,False,False,False
2022-01-07 00:00:00+00:00,21.9086955542,21.9918405088,19.4725483825,19.4974918689,45913327,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45913327,3400987.185185185,False,False,False,False,20240864.962962963,False,False,False,False
2022-01-14 00:00:00+00:00,22.4574522549,22.4657667504,21.56780124,22.1581304182,49097387,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,95010714,10186892.875171468,False,False,False,False,22378385.113854595,False,False,False,False
2022-01-21 00:00:00+00:00,20.6116342614,22.5904841824,20.5035458203,22.5738551915,41044369,,,,,,,,,,,,,,,,,,,,,#000000,,,,88.75574875008242,39.37066874031228,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53966345,13429815.254788397,False,False,False,False,23761050.586902402,False,False,False,False
2022-01-28 00:00:00+00:00,20.8943271072,21.443083808,19.8882731558,20.2457964609,51486587,,,,,,,,,,,,,,,,,,,,,#000000,,,,81.40622903626276,32.88426587851454,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,105452932,20246342.421100367,False,False,False,False,25814794.02490963,False,False,False,False
2022-02-04 00:00:00+00:00,21.7590346358,21.9086955542,20.3871428838,20.6365777478,33537019,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.90816011868023,30.215227119031397,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,138989951,29042165.278796636,False,False,False,False,26386810.68973114,False,False,False,False
2022-02-11 00:00:00+00:00,21.8006071131,22.5322827141,21.6343172038,21.754877388,44712415,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.48416527815304,28.522472789259893,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,183702366,40498476.44333022,False,False,False,False,27744262.860862166,False,False,False,False
2022-02-18 00:00:00+00:00,21.318366376,22.2994768411,21.2435359168,21.8837520678,33629132,,,,,,,,,,,,,,,,,,,,,#000000,,,,71.86353038950526,25.612223832271326,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,150073234,48615125.151231684,False,False,False,False,28180179.093390893,False,False,False,False
2022-02-25 00:00:00+00:00,21.0356735302,21.5012852763,19.3519881982,21.334995367,37671398,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.26439990601956,22.6952366909846,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,112401836,53340066.69558489,False,False,False,False,28883232.34573231,False,False,False,False
2022-03-04 00:00:00+00:00,19.4564268179,21.006572796,19.1380184548,20.3111018977,58175859,,,,,,,,,,,,,,,,,,,,,#000000,,,,61.41743589143226,16.675750192551064,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.1254471039782526,-0.1254471039782526,False,False,False,False,54225977,53405689.68109713,False,False,False,False,31053056.54234473,False,False,False,False
2022-03-11 00:00:00+00:00,19.2050517944,19.8628164392,18.5179600635,19.2469476316,53155469,,,,,,,,,,,,,,,,,,,,,#000000,,,,56.0041456222211,12.109875547287636,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.23413767919682327,False,False,False,False,1070508,49529009.55657142,False,False,False,False,32690272.279948827,False,False,False,False
2022-03-18 00:00:00+00:00,20.0513477068,20.7049227679,19.5904934971,19.607251832,62111411,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.26820798322141,11.022272554926552,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.11206008834300224,-0.17309888376991275,False,False,False,False,63181919,50540336.18201057,False,False,False,False,34869615.88884151,False,False,False,False
2022-03-25 00:00:00+00:00,20.017831037,20.6295102608,19.6575268367,20.1267602138,30039854,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.950215377515825,10.167206624745283,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.11302807400602705,-0.14306347888796989,False,False,False,False,33142065,49251575.35371349,False,False,False,False,34511855.748927325,False,False,False,False
