date,Close,High,Low,Open,Volume,aVWAP_peak_170,aVWAP_valley_187,aVWAP_valley_171,aVWAP_valley_164,aVWAP_valley_159,aVWAP_valley_155,aVWAP_valley_149,aVWAP_valley_145,aVWAP_valley_131,aVWAP_valley_126,aVWAP_valley_120,aVWAP_valley_88,aVWAP_valley_74,aVWAP_valley_64,aVWAP_valley_51,aVWAP_valley_39,aVWAP_OB_bull_171,aVWAP_OB_bull_149,aVWAP_OB_bull_120,aVWAP_OB_bull_64,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,56.9867921313,57.7070199404,56.049509366,56.2172336503,2044727,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2044727.0,False,False,False,False
2022-01-07 00:00:00+00:00,59.9663647116,60.0748921896,57.2038470875,57.3222406999,3120546,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3120546,231151.55555555553,False,False,False,False,2124417.296296296,False,False,False,False
2022-01-14 00:00:00+00:00,60.8049861332,61.1009701643,59.2461369024,60.084758324,2913514,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6034060,660996.6255144032,False,False,False,False,2182868.903978052,False,False,False,False
2022-01-21 00:00:00+00:00,57.3715713718,60.8345845363,57.1742486843,60.6767263863,1711089,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.59859627696645,36.386173043069846,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4322971,932253.9865874103,False,False,False,False,2147922.2444241224,False,False,False,False
2022-01-28 00:00:00+00:00,58.1016653153,59.2066723649,56.1481707097,56.7598710407,3646965,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,76.7953580729469,28.655044502910158,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7969936,1453563.7653587132,False,False,False,False,2258962.4485408543,False,False,False,False
2022-02-04 00:00:00+00:00,60.4498052958,61.1207024331,57.2137132218,57.5195633874,3892647,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.89148225194091,26.701750751789973,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11862583,2224602.227183994,False,False,False,False,2379976.1190193095,False,False,False,False
2022-02-11 00:00:00+00:00,60.8148522675,62.3441030952,59.6901129491,60.93324588,4296185,,,,,,,,,,,,,,,,,,,,,,,#000000,,60.94968943726667,,72.21590681144072,25.801687295138308,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16158768,3256762.654799994,False,False,False,False,2521917.5176104717,False,False,False,False
2022-02-18 00:00:00+00:00,60.77538773,61.3081589861,59.660514546,61.0615056268,3659117,,,,,,,,,,,,,,,,,,,,,,,#000000,,60.78026992808577,,70.92539035511737,25.1194695000964,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12499651,3941421.050740735,False,False,False,False,2606154.5163059924,False,False,False,False
2022-02-25 00:00:00+00:00,61.0648009416,61.1635633562,56.8476458385,60.8870285953,3449791,,,,,,,,,,,,,,,,,,,,,,,#000000,,60.45109311668739,,70.34033503526376,24.966605568950584,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15949442,4830904.084019199,False,False,False,False,2668646.107690734,False,False,False,False
2022-03-04 00:00:00+00:00,60.126558003,61.1438108733,58.7438841987,59.2772012375,3706331,,,,,,,,,,,,,,,,,,,,,,,#000000,,60.34162020857325,,67.70884309444774,22.73763439853849,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.1602094495476483,0.1602094495476483,False,False,False,False,12243111,5379956.448165925,False,False,False,False,2745511.6552691977,False,False,False,False
