date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_176,aVWAP_peak_160,aVWAP_peak_152,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_167,aVWAP_valley_162,aVWAP_valley_126,aVWAP_valley_95,aVWAP_valley_86,aVWAP_valley_75,aVWAP_valley_64,aVWAP_valley_51,aVWAP_valley_38,aVWAP_OB_bull_171,aVWAP_OB_bull_126,aVWAP_OB_bull_95,aVWAP_OB_bull_64,aVWAP_OB_bull_38,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,192.2789444888,193.8799073236,188.1111269856,190.6630789656,161038,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,161038.0,False,False,False,False
2022-01-07 00:00:00+00:00,172.3238995551,194.8214266483,171.2180044705,194.1970363262,348942,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-348942,-25847.555555555555,False,False,False,False,174956.81481481483,False,False,False,False
2022-01-14 00:00:00+00:00,161.9108697319,171.9715789971,160.3547872677,170.35677644,402959,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-751901,-79629.29218106995,False,False,False,False,191845.86556927298,False,False,False,False
2022-01-21 00:00:00+00:00,151.7816536915,163.0901649327,151.5076265909,159.3173989583,306879,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1058780,-152158.97424173143,False,False,False,False,200366.83849006757,False,False,False,False
2022-01-28 00:00:00+00:00,151.0476525291,160.1199068958,146.9568193843,150.029837584,756009,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1814789,-275316.7539275291,False,False,False,False,241525.51712043292,False,False,False,False
2022-02-04 00:00:00+00:00,152.7994686366,157.2524090215,150.7149053355,151.4391198157,503547,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.4354136640778967,-48.643085520676365,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1311242,-352051.95734030474,False,False,False,False,260934.51585225272,False,False,False,False
2022-02-11 00:00:00+00:00,149.0315960032,158.5442510673,148.1801546549,153.7389901244,368206,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.311767419380809,-47.873531749932276,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1679448,-450377.5901299118,False,False,False,False,268880.55171504884,False,False,False,False
2022-02-18 00:00:00+00:00,135.1247206473,150.5093850101,133.4316246328,149.2273296465,630054,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.5634388231162393,-47.714497064745956,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2309502,-588090.5093795479,False,False,False,False,295634.14047689707,False,False,False,False
2022-02-25 00:00:00+00:00,141.9068913874,142.0536916198,131.484074882,135.0562138721,508060,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.393222421335556,-44.16073699644558,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1801442,-677968.3975736555,False,False,False,False,311369.3893304602,False,False,False,False
2022-03-04 00:00:00+00:00,138.1194453896,141.3099037753,136.8863234369,140.7814229384,396272,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.794921756804973,-42.093055492576,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.3113344501145951,-0.3113344501145951,False,False,False,False,-2197714,-790542.1459015328,False,False,False,False,317658.47160227795,False,False,False,False
