date,Close,High,Low,Open,Volume,aVWAP_peak_152,aVWAP_peak_143,aVWAP_peak_130,aVWAP_peak_125,aVWAP_peak_111,aVWAP_peak_110,aVWAP_peak_98,aVWAP_peak_91,aVWAP_peak_79,aVWAP_peak_69,aVWAP_peak_52,aVWAP_peak_39,aVWAP_peak_24,aVWAP_peak_19,aVWAP_peak_12,aVWAP_valley_149,aVWAP_valley_141,aVWAP_OB_bear_152,aVWAP_OB_bear_130,aVWAP_OB_bear_91,aVWAP_OB_bear_52,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-08-12 00:00:00+00:00,7.7501,10.0,5.92,7.84,1362847,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1362847.0,False,False,False,False
2022-08-19 00:00:00+00:00,5.19,7.8,4.3,7.8,1565411,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1565411,-115956.37037037036,False,False,False,False,1377851.7407407407,False,False,False,False
2022-08-26 00:00:00+00:00,4.94,8.33,4.71,6.17,5748814,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7314225,-649161.4540466391,False,False,False,False,1701626.7229080931,False,False,False,False
2022-09-02 00:00:00+00:00,4.2,5.0604,4.02,4.79,164405,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7478630,-1155048.0130061475,False,False,False,False,1587758.4471371232,False,False,False,False
2022-09-09 00:00:00+00:00,5.15,5.5,4.02,4.14,450444,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.8892239052968955,-43.48753052702403,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7028186,-1590095.2713019883,False,False,False,False,1503512.9325343734,False,False,False,False
2022-09-16 00:00:00+00:00,5.37,6.5,4.8,5.34,549848,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.03406287366083,-37.96130326398319,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6478338,-1952187.3252796186,False,False,False,False,1432871.0856799753,False,False,False,False
2022-09-23 00:00:00+00:00,2.45,5.4393,2.34,5.34,824803,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.81045679468302,-37.685440376504204,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7303141,-2348554.264147795,False,False,False,False,1387829.0052592363,False,False,False,False
2022-09-30 00:00:00+00:00,2.05,2.5799,1.96,2.3801,127706,,,,,,,,,,,,,,,,,,,,,,,,#000000,,2.196633333333333,,14.08893612312524,-37.685440376504204,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7430847,-2725020.39272944,False,False,False,False,1294486.5604252187,False,False,False,False
2022-10-07 00:00:00+00:00,2.53,2.8525,1.97,2.21,184389,,,,,,,,,,,,,,,,,,,,,,,,#000000,,2.3468173599918827,,16.06783166812284,-36.169294240560724,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7246458,-3059941.6969717033,False,False,False,False,1212257.111504832,False,False,False,False
2022-10-14 00:00:00+00:00,2.92,3.0,2.1926,2.45,122717,,,,,,,,,,,,,,,,,,,,,,,,#000000,,2.447681470075956,,18.831642811581165,-33.80201036853563,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.3009109417252916,-0.3009109417252916,False,False,False,False,-7123741,-3360963.8675663923,False,False,False,False,1131550.436578548,False,False,False,False
2022-10-21 00:00:00+00:00,3.35,3.6799,2.99,3.0,139248,,,,,,,,,,,,,,,,,,,,,,,,#000000,,2.6641203946741925,,22.2064906069092,-30.87416492326634,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.16612524993242012,-0.23351809582885585,False,False,False,False,-6984493,-3629373.4329318446,False,False,False,False,1058046.5523875444,False,False,False,False
2022-10-28 00:00:00+00:00,3.6,3.6,3.0411,3.31,36871,,,,,,,,,,,,,,,,,,,,,,,,#000000,,2.709359136247247,,25.399831169372256,-28.149561104417714,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.16842461672184453,-0.20097135627535018,False,False,False,False,-6947622,-3875169.623085041,False,False,False,False,982403.918877356,False,False,False,False
2022-11-04 00:00:00+00:00,2.82,3.71,2.73,3.49,46264,,,,,,,,,,,,,,,3.0866666666666664,,,,,,,3.0866666666666664,,#000000,,2.911293400842469,,26.568260462030597,-27.348447603753456,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.14550833820856793,-0.17323984724195907,False,False,False,False,-6993886,-4106185.651004668,False,False,False,False,913060.221182737,False,False,False,False
