date,Close,High,Low,Open,Volume,aVWAP_peak_908,aVWAP_peak_907,aVWAP_peak_872,aVWAP_peak_871,aVWAP_peak_870,aVWAP_peak_850,aVWAP_peak_848,aVWAP_valley_897,aVWAP_valley_874,aVWAP_valley_857,aVWAP_valley_817,aVWAP_valley_785,aVWAP_valley_743,aVWAP_valley_720,aVWAP_valley_671,aVWAP_valley_650,aVWAP_valley_630,aVWAP_valley_607,aVWAP_valley_589,aVWAP_valley_538,aVWAP_valley_517,aVWAP_valley_489,aVWAP_valley_476,aVWAP_valley_474,aVWAP_OB_bull_857,aVWAP_OB_bull_751,aVWAP_OB_bull_607,aVWAP_OB_bull_538,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,0.72,0.74,0.7,0.74,167881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,167881.0,False,False,False,False
2022-01-04 00:00:00+00:00,0.7088,0.7399,0.7,0.7399,110576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-110576,-4336.313725490196,False,False,False,False,165633.74509803922,False,False,False,False
2022-01-05 00:00:00+00:00,0.6701,0.7138,0.6651,0.709,171498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-282074,-15227.9876970396,False,False,False,False,165863.71587850826,False,False,False,False
2022-01-06 00:00:00+00:00,0.6691,0.6705,0.653,0.665,276851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-558925,-36549.439159900794,False,False,False,False,170216.15839307656,False,False,False,False
2022-01-07 00:00:00+00:00,0.6741,0.69,0.6657,0.666,59065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.599145507152329,-46.70078328511036,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-499860,-54718.480761473314,False,False,False,False,165857.28943648533,False,False,False,False
2022-01-10 00:00:00+00:00,0.6897,0.69,0.675,0.68,109591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.037971905133162,-37.331811615136395,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-390269,-67877.32465318024,False,False,False,False,163650.76828211336,False,False,False,False
2022-01-11 00:00:00+00:00,0.7218,0.7288,0.69,0.7042,270651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.233544793249244,-24.107441597693935,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-119618,-69906.37074521239,False,False,False,False,167846.85580046187,False,False,False,False
2022-01-12 00:00:00+00:00,0.7614,0.7633,0.7203,0.73,261873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,43.93998596475706,-11.902622895364473,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,142255,-61586.31699049818,False,False,False,False,171534.15557299278,False,False,False,False
2022-01-13 00:00:00+00:00,0.74,0.768,0.732,0.768,142527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.6331947457696,-8.258791314695685,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-272,-59181.83397126295,False,False,False,False,170396.6200603264,False,False,False,False
2022-01-14 00:00:00+00:00,0.7371,0.7497,0.7236,0.74,167272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.931348237871475,-6.439440723272533,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-167544,-63431.33067827225,False,False,False,False,170274.08594031358,False,False,False,False
