date,Close,High,Low,Open,Volume,aVWAP_peak_174,aVWAP_valley_184,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_155,aVWAP_valley_145,aVWAP_valley_132,aVWAP_valley_120,aVWAP_valley_110,aVWAP_valley_92,aVWAP_OB_bull_176,aVWAP_OB_bull_159,aVWAP_OB_bull_132,aVWAP_OB_bull_110,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,26.6945266712,26.7743615996,25.9929739078,26.1261801287,11811193,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11811193.0,False,False,False,False
2022-01-07 00:00:00+00:00,26.8632545511,27.0275422235,26.2993482159,26.7744504038,20107667,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20107667,1489456.8148148148,False,False,False,False,12425746.62962963,False,False,False,False
2022-01-14 00:00:00+00:00,26.6146029387,26.9920205646,26.4547554736,26.8810153805,19181821,,,,,,,,,,,,,,,,,,#000000,,,,82.50728863203479,-28.717201155843462,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,925846,1447707.865569273,False,False,False,False,12926196.5829904,False,False,False,False
2022-01-21 00:00:00+00:00,26.3393100821,26.8321730995,26.2549461422,26.570200865,18035095,,,,,,,,,,,,,,,,,,#000000,,,,65.35153499980049,-28.717201155843462,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17109249,73118.46811969718,False,False,False,False,13304633.50276889,False,False,False,False
2022-01-28 00:00:00+00:00,26.3570709116,26.4547554736,25.6760319061,26.2416255201,27920725,,,,,,,,,,,,,,,,,,#000000,,,,53.72348146667404,-28.717201155843462,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10811476,868552.35937009,False,False,False,False,14387306.94700823,False,False,False,False
2022-02-04 00:00:00+00:00,26.1172997139,26.5257987914,25.9130501752,26.1528213729,23047277,,,,,,,,,,,,,,,,,,#000000,,,,43.37393762439696,-28.717201155843462,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12235801,-102140.48206473142,False,False,False,False,15028786.210192805,False,False,False,False
2022-02-11 00:00:00+00:00,25.4512686094,26.3570709116,25.3802252915,26.0640172256,20832224,,,,,,,,,,,,,,,,,,#000000,,,,33.66444162333778,-28.717201155843462,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33068025,-2544057.85376364,False,False,False,False,15458670.490919264,False,False,False,False
2022-02-18 00:00:00+00:00,23.1778824391,25.6022356597,22.8493070942,25.5223119272,40561001,,,,,,,,,,,,,,,,,,#000000,,,,25.04171419806017,-28.717201155843462,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73629026,-7809611.049781147,False,False,False,False,17318102.3804808,False,False,False,False
2022-02-25 00:00:00+00:00,23.4709361251,23.9504785204,22.6894596291,22.8670679236,45788960,,,,,,,,,,,,,,,,,,#000000,,,,21.08642270976102,27.70052837236146,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27840066,-9293348.453501062,False,False,False,False,19427054.796741482,False,False,False,False
2022-03-04 00:00:00+00:00,23.4886969546,23.5153381987,22.4363678093,23.3288494895,38858263,,,,,,,,,,,,,,,,,,#000000,,23.146800987533332,,18.392202031121386,23.067231457391955,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,11018197,-7788789.531019503,False,False,False,False,20866403.55253841,False,False,False,False
