date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_179,aVWAP_peak_175,aVWAP_peak_168,aVWAP_peak_158,aVWAP_peak_132,aVWAP_peak_126,aVWAP_peak_115,aVWAP_peak_106,aVWAP_peak_101,aVWAP_peak_81,aVWAP_peak_69,aVWAP_peak_57,aVWAP_peak_55,aVWAP_peak_43,aVWAP_peak_26,aVWAP_peak_14,aVWAP_peak_6,aVWAP_valley_181,aVWAP_valley_167,aVWAP_OB_bear_126,aVWAP_OB_bear_69,aVWAP_OB_bear_26,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,35.53,42.55,35.0,42.32,111704,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,111704.0,False,False,False,False
2022-01-07 00:00:00+00:00,37.49,40.1999,35.0,36.05,58937,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,58937,4365.7037037037035,False,False,False,False,107795.33333333334,False,False,False,False
2022-01-14 00:00:00+00:00,35.97,37.86,34.5,37.09,41487,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.03366696997269,-8.348498635122915,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17450,5334.910836762689,False,False,False,False,102883.60493827162,False,False,False,False
2022-01-21 00:00:00+00:00,32.98,36.34,32.41,35.5,43974,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,70.14301153980065,-8.348498635122915,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26524,2974.9915155210083,False,False,False,False,98519.93049839964,False,False,False,False
2022-01-28 00:00:00+00:00,33.0,36.48,29.4101,32.0,56852,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,32.963366666666666,,58.15016483326796,-8.348498635122915,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30328,5001.140292149082,False,False,False,False,95433.41712814782,False,False,False,False
2022-02-04 00:00:00+00:00,35.99,37.0,32.95,33.0,27725,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,33.73370406138785,,56.94491963048904,-8.348498635122915,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,58053,8930.907677915817,False,False,False,False,90417.9788223591,False,False,False,False
2022-02-11 00:00:00+00:00,40.38,43.95,34.87,35.49,49569,,,,,,,,,,,,,,,,,,39.73333333333333,,,,,,39.73333333333333,,#000000,,37.84199611517799,,60.83173320105625,-8.348498635122915,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,107622,16241.358961033164,False,False,False,False,87392.12853922139,False,False,False,False
2022-02-18 00:00:00+00:00,36.54,41.25,35.6,40.0,17775,,,,,,,,,,,,,,,,,,39.222163073176525,,,,,,39.222163073176525,,#000000,,37.69440391598282,,58.51554629830942,-8.348498635122915,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,89847,21693.6286676233,False,False,False,False,82235.30420298278,False,False,False,False
2022-02-25 00:00:00+00:00,35.05,39.68,31.05,35.0,21127,,,,,,,,,,,,,,,,,,38.275992924235055,,,,,,38.275992924235055,,#000000,,37.165973839492594,,55.42926793387429,-8.348498635122915,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,68720,25177.063581132687,False,False,False,False,77708.76315090997,False,False,False,False
2022-03-04 00:00:00+00:00,34.5,39.69,33.01,35.5,30745,,,,,,,,,,,,,,,,,,37.62025821478101,,,,,,37.62025821478101,,#000000,,36.81377052719721,,52.73088433945159,-8.348498635122915,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.017609607424083122,0.017609607424083122,False,False,False,False,37975,26125.058871419154,False,False,False,False,74229.9658804722,False,False,False,False
