date,Close,High,Low,Open,Volume,aVWAP_peak_179,aVWAP_valley_182,aVWAP_valley_165,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_130,aVWAP_valley_121,aVWAP_valley_112,aVWAP_valley_92,aVWAP_valley_79,aVWAP_valley_60,aVWAP_valley_51,aVWAP_valley_35,aVWAP_OB_bull_165,aVWAP_OB_bull_92,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.7275410217,11.7466880275,11.2090321275,11.4761409781,1796483,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1796483.0,False,False,False,False
2022-01-07 00:00:00+00:00,10.7797642371,11.7227542703,10.6074411854,11.5647914729,2397516,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2397516,-177593.77777777778,False,False,False,False,1841003.962962963,False,False,False,False
2022-01-14 00:00:00+00:00,11.1627043521,11.6605265016,10.6265881911,10.7223232199,2718243,,,,,,,,,,,,,,,,,,,#000000,,,,8.63185153231255,-71.57962883078137,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,320727,-140681.12757201647,False,False,False,False,1905984.6323731137,False,False,False,False
2022-01-21 00:00:00+00:00,11.095689832,11.861570062,10.9712342946,11.1435573464,4236910,,,,,,,,,,,,,,,,,,,#000000,,,,14.334708615492694,-65.7165923636643,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3916183,-420347.9329370523,False,False,False,False,2078645.770715846,False,False,False,False
2022-01-28 00:00:00+00:00,10.3776771164,11.1244103406,10.1862070589,11.0095283061,4585994,,,,,,,,,,,,,,,,,,,#000000,,10.562764838633335,,15.29603609304351,-64.215648563916,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8502177,-1019001.937904678,False,False,False,False,2264375.2691813386,False,False,False,False
2022-02-04 00:00:00+00:00,10.5978676825,10.9137932774,10.336415319,10.4255446307,2999747,,,,,,,,,,,,,,,,,,,#000000,,10.583826497352149,,18.59865416170421,-60.21937860143775,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5502430,-1351107.7202821092,False,False,False,False,2318847.2492419803,False,False,False,False
2022-02-11 00:00:00+00:00,11.631805993,11.7466880275,10.6263967211,10.6936027112,3050709,,,,,,,,,,,,,,,,,,,#000000,,10.799264981046859,,28.457110162172263,-49.91869792036713,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2451721,-1432634.629890842,False,False,False,False,2373059.2307796115,False,False,False,False
2022-02-18 00:00:00+00:00,11.8041290447,12.2636571827,11.4882034499,11.7371145246,3515335,,,,,,,,,,,,,,,,,,,#000000,,11.060765856161584,,36.305775764524036,-41.71730594576796,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1063614,-1247727.3239730017,False,False,False,False,2457672.2507218625,False,False,False,False
2022-02-25 00:00:00+00:00,11.8041290447,12.2157896683,11.3828949182,11.8519965591,2999181,,,,,,,,,,,,,,,,,,,#000000,,11.190199373890563,,41.911965480489584,-35.709787949419045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1063614,-1076516.855530557,False,False,False,False,2497784.0099276504,False,False,False,False
2022-03-04 00:00:00+00:00,13.1156989386,13.1348459443,11.6222324901,11.8424230562,4114187,,,,,,,,,,,,,,,,,,,#000000,,11.467648117499174,,50.257719702187416,-27.08158529970948,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282121750146,0.3428282121750146,False,False,False,False,5177801,-613234.0514171824,False,False,False,False,2617517.5647478243,False,False,False,False
