date,Close,High,Low,Open,Volume,aVWAP_peak_905,aVWAP_peak_870,aVWAP_peak_847,aVWAP_peak_828,aVWAP_peak_804,aVWAP_peak_785,aVWAP_peak_753,aVWAP_peak_737,aVWAP_peak_716,aVWAP_peak_690,aVWAP_peak_633,aVWAP_peak_592,aVWAP_peak_581,aVWAP_peak_532,aVWAP_valley_892,aVWAP_valley_876,aVWAP_valley_854,aVWAP_valley_830,aVWAP_valley_793,aVWAP_valley_765,aVWAP_valley_721,aVWAP_valley_701,aVWAP_valley_678,aVWAP_valley_649,aVWAP_valley_619,aVWAP_valley_560,aVWAP_valley_547,aVWAP_valley_520,aVWAP_valley_460,aVWAP_valley_447,aVWAP_valley_431,aVWAP_valley_413,aVWAP_valley_369,aVWAP_valley_353,aVWAP_valley_334,aVWAP_valley_320,aVWAP_valley_299,aVWAP_valley_274,aVWAP_valley_203,aVWAP_valley_157,aVWAP_valley_133,aVWAP_valley_79,aVWAP_valley_49,aVWAP_OB_bull_892,aVWAP_OB_bull_413,aVWAP_OB_bull_203,aVWAP_OB_bull_49,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,3.81,3.95,3.69,3.94,9236388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9236388.0,False,False,False,False
2022-01-04 00:00:00+00:00,3.56,3.79,3.51,3.79,10806885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10806885,-423799.4117647059,False,False,False,False,9297976.11764706,False,False,False,False
2022-01-05 00:00:00+00:00,3.41,3.68,3.39,3.49,9762242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20569127,-1213812.2583621684,False,False,False,False,9316182.622837372,False,False,False,False
2022-01-06 00:00:00+00:00,3.5,3.58,3.33,3.51,11386154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.92880320671883,-43.64859706050774,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9182973,-1526328.3658773773,False,False,False,False,9397357.970961398,False,False,False,False
2022-01-07 00:00:00+00:00,3.42,3.62,3.395,3.54,11994752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.377633560129244,-40.872102748032574,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21177725,-2296971.371137088,False,False,False,False,9499216.560335461,False,False,False,False
2022-01-10 00:00:00+00:00,3.31,3.48,3.17,3.38,13013989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.505050898205608,-40.27082198577422,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-34191714,-3547745.5918768104,False,False,False,False,9637050.773655638,False,False,False,False
2022-01-11 00:00:00+00:00,3.39,3.49,3.26,3.29,15858423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,16.281286969917147,-36.20864840646838,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18333291,-4127570.9019992882,False,False,False,False,9881026.155080907,False,False,False,False
2022-01-12 00:00:00+00:00,3.66,3.7,3.395,3.51,22824832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.920441269802865,-25.966135490844163,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4491541,-3789566.513685591,False,False,False,False,10388626.38429342,False,False,False,False
2022-01-13 00:00:00+00:00,3.28,3.62,3.26,3.5,9680061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.771908085578602,-25.13088696099114,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5188520,-3844427.434717529,False,False,False,False,10360839.506477993,False,False,False,False
2022-01-14 00:00:00+00:00,3.46,3.46,3.27,3.34,11220029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.39486031857926,-21.462699139115482,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6031509,-3457135.8098266455,False,False,False,False,10394533.212106306,False,False,False,False
