date,Close,High,Low,Open,Volume,aVWAP_peak_163,aVWAP_valley_160,aVWAP_valley_113,aVWAP_valley_102,aVWAP_valley_95,aVWAP_valley_77,aVWAP_valley_66,aVWAP_valley_61,aVWAP_valley_50,aVWAP_valley_39,aVWAP_valley_19,aVWAP_OB_bull_113,aVWAP_OB_bull_95,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,34.3388057959,34.7226445537,32.0849833461,33.2758676973,5235829,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,5235829.0,False,False,False,False
2022-01-07 00:00:00+00:00,33.3349198139,34.7275655634,32.0652993072,34.250227621,8521028,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8521028,-631187.2592592592,False,False,False,False,5479177.074074075,False,False,False,False
2022-01-14 00:00:00+00:00,31.6420924717,33.2955517362,31.2090436167,33.0495012504,6289470,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14810498,-1681506.573388203,False,False,False,False,5539198.77229081,False,False,False,False
2022-01-21 00:00:00+00:00,29.230797711,31.8487748798,28.9749052058,31.4255680442,4950153,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19760651,-3020702.4568409286,False,False,False,False,5495565.752121121,False,False,False,False
2022-01-28 00:00:00+00:00,29.7917928186,30.0476853238,27.4592342134,28.5516983703,6761550,,,,,,,,,,,,,,,,#000000,,29.09957078526667,,3.1413674121766997,-47.03042611817671,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12999101,-3759843.0896675265,False,False,False,False,5589342.363075111,False,False,False,False
2022-02-04 00:00:00+00:00,30.7464687035,31.8684589186,29.7819507992,29.8213188769,4145464,,,,,,,,,,,,,,,,#000000,,29.745462926799075,,9.631821200518107,-41.02376416915028,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8853637,-4137161.1570995618,False,False,False,False,5482388.410254733,False,False,False,False
2022-02-11 00:00:00+00:00,30.9334670726,32.9067919686,29.9394231101,30.8350468783,3871714,,,,,,,,,,,,,,,,#000000,,30.14221183397231,,14.98512166608009,-36.32338192837319,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4981923,-4199736.10842552,False,False,False,False,5363079.194680308,False,False,False,False
2022-02-18 00:00:00+00:00,30.303577829,31.8783009381,29.9689491684,30.7464687035,2736298,,,,,,,,,,,,,,,,#000000,,30.231999583599947,,17.92630129448289,-34.02249320808626,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7718221,-4460364.618912519,False,False,False,False,5168502.809889174,False,False,False,False
2022-02-25 00:00:00+00:00,30.5693123537,30.80552082,28.0497553793,29.9689491684,2275192,,,,,,,,,,,,,,,,#000000,,30.183276820486164,,21.02865100939217,-31.549576055634653,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5443029,-4533154.573067147,False,False,False,False,4954183.490638124,False,False,False,False
2022-03-04 00:00:00+00:00,26.6226625617,30.4905761982,26.3864540954,30.1264214793,4171769,,,,,,,,,,,,,,,,#000000,,29.77413510349491,,19.729420904498205,-31.549576055634653,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-9614798,-4909572.604691803,False,False,False,False,4896226.861701967,False,False,False,False
