date,Close,High,Low,Open,Volume,aVWAP_peak_177,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_111,aVWAP_valley_94,aVWAP_valley_86,aVWAP_valley_80,aVWAP_valley_72,aVWAP_valley_64,aVWAP_valley_41,aVWAP_OB_bull_171,aVWAP_OB_bull_94,aVWAP_OB_bull_41,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,51.9103665561,52.7147627321,51.7137363797,52.0176193795,9526779,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,9526779.0,False,False,False,False
2022-01-07 00:00:00+00:00,55.7089040537,55.7625304655,52.1472165412,52.3751287911,20518718,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20518718,1519905.0370370368,False,False,False,False,10340996.703703703,False,False,False,False
2022-01-14 00:00:00+00:00,56.8439964354,57.6752058172,55.3692701128,56.4239228768,25531108,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,46049826,4818417.700960219,False,False,False,False,11466190.133058984,False,False,False,False
2022-01-21 00:00:00+00:00,51.1059703801,56.5043624944,50.8154939832,55.1368889953,25813973,,,,,,,,,,,,,,,,,,,#000000,,,,83.77822947429428,34.66535754991881,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20235853,5960449.945333536,False,False,False,False,12528988.863943502,False,False,False,False
2022-01-28 00:00:00+00:00,52.5717589674,54.2341777311,49.3094855871,50.0960062925,27749109,,,,,,,,,,,,,,,,,,,#000000,,52.0384740952,,74.37300530718876,26.43982763617028,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47984962,9073376.764197718,False,False,False,False,13656405.170318058,False,False,False,False
2022-02-04 00:00:00+00:00,55.5653286898,56.3294530934,51.7357169729,52.2031813139,23345244,,,,,,,,,,,,,,,,,,,#000000,,53.183031719682695,,70.84742177093194,23.9779587633886,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,71330206,13684993.744627517,False,False,False,False,14374096.935479684,False,False,False,False
2022-02-11 00:00:00+00:00,56.0327930308,58.1004237699,55.4035141102,55.7001741728,23569389,,,,,,,,,,,,,,,,,,,#000000,,55.373110207828375,,68.72670001419301,22.738705876437365,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,94899595,19700890.133914366,False,False,False,False,15055229.680999707,False,False,False,False
2022-02-18 00:00:00+00:00,50.6839222056,56.5362161673,50.3513033476,56.0507724285,30955439,,,,,,,,,,,,,,,,,,,#000000,,53.99032058924725,,61.59403792245746,16.608298254677223,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,63944156,22978169.08695775,False,False,False,False,16233022.963888617,False,False,False,False
2022-02-25 00:00:00+00:00,48.8769927336,50.9041698278,45.49686596,50.3423136487,27858203,,,,,,,,,,,,,,,,,,,#000000,,52.45218502557259,,55.23783317382535,11.288701714119924,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,36085953,23949116.043479398,False,False,False,False,17094147.411007978,False,False,False,False
2022-03-04 00:00:00+00:00,45.7755466249,48.0948889323,44.7731952013,47.2768263355,33941353,,,,,,,,,,,,,,,,,,,#000000,,50.917583040917044,,48.93832418442703,6.032805460944502,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,2144600,22333966.706925366,False,False,False,False,18342088.56574813,False,False,False,False
2022-03-11 00:00:00+00:00,44.9484943292,47.9690331481,43.9056892608,45.299092585,38423471,,,,,,,,,,,,,,,,,,,#000000,,48.386155830267825,,44.03281487220162,2.083730920456489,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-36278871,17992275.024930898,False,False,False,False,19829598.375692714,False,False,False,False
2022-03-18 00:00:00+00:00,47.0161250684,47.3847027218,44.9035458349,45.6496908407,45787886,,,,,,,,,,,,,,,,,,,#000000,,48.08664343073921,,42.533923855191304,1.2732853147963894,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.328732648900605,-0.33578045165799947,False,False,False,False,9509015,17363885.393454537,False,False,False,False,21752434.49601177,False,False,False,False
2022-03-25 00:00:00+00:00,47.4116718184,48.0589301368,46.2520006648,47.3217748298,23741117,,,,,,,,,,,,,,,,,,,#000000,,48.05730921872381,,41.82437787555494,0.9930811261800585,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.26146025293515174,-0.2986203522965756,False,False,False,False,33250132,18540644.401346795,False,False,False,False,21899744.311122008,False,False,False,False
2022-04-01 00:00:00+00:00,44.4540608916,48.2117550175,44.1394214313,47.4566203128,21985089,,,,,,,,,,,,,,,,,,,#000000,,47.27911952399393,,39.69347561935421,-0.8358335924259848,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.3265988023492469,-0.3126095773229112,False,False,False,False,11265043,18001710.964209996,False,False,False,False,21906066.139927786,False,False,False,False
