date,Close,High,Low,Open,Volume,aVWAP_peak_578,aVWAP_peak_577,aVWAP_peak_543,aVWAP_valley_621,aVWAP_valley_573,aVWAP_valley_558,aVWAP_valley_524,aVWAP_valley_456,aVWAP_valley_350,aVWAP_valley_329,aVWAP_valley_303,aVWAP_valley_248,aVWAP_valley_234,aVWAP_valley_196,aVWAP_valley_123,aVWAP_OB_bull_558,aVWAP_OB_bull_456,aVWAP_OB_bull_350,aVWAP_OB_bull_196,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,11.5791575747,11.6093312753,11.5565272993,11.5565272993,77463,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,77463.0,False,False,False,False
2022-01-04 00:00:00+00:00,11.594244425,11.6319615506,11.5876816451,11.6168747004,48813,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,48813,1914.235294117647,False,False,False,False,76339.4705882353,False,False,False,False
2022-01-05 00:00:00+00:00,11.6244181255,11.6696786763,11.6017878501,11.6017878501,84355,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,133168,7061.441753171857,False,False,False,False,76653.80507497118,False,False,False,False
2022-01-06 00:00:00+00:00,11.6319615506,11.6621352512,11.594244425,11.6621352512,63025,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,196193,14478.365605988647,False,False,False,False,76119.34213085467,False,False,False,False
2022-01-07 00:00:00+00:00,11.6395049758,11.6771466672,11.6017878501,11.6470484009,79601,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,275794,24726.0375430087,False,False,False,False,76255.87773356626,False,False,False,False
2022-01-10 00:00:00+00:00,11.7752866281,11.7903734784,11.6244181255,11.6319615506,52519,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,328313,36631.408619753456,False,False,False,False,75325.01978323032,False,False,False,False
2022-01-11 00:00:00+00:00,11.8808945799,11.8808945799,11.7601997779,11.7979169035,58056,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,386369,50346.60828172391,False,False,False,False,74647.80332114286,False,False,False,False
2022-01-12 00:00:00+00:00,12.001589382,12.001589382,11.8808945799,11.8808945799,75168,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,461537,66471.72168244062,False,False,False,False,74668.20319090196,False,False,False,False
2022-01-13 00:00:00+00:00,11.9789591066,12.0393065077,11.9751873941,12.001589382,55065,,,,,,,,,,,,,,,,,,,,,,#000000,,,,97.88259029290043,48.0590411018254,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,406472,79805.06593018805,False,False,False,False,73899.45012459208,False,False,False,False
2022-01-14 00:00:00+00:00,11.9487854061,11.9676439689,11.9186117056,11.9563288312,45405,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.81057953538992,44.443998446724066,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,361067,90834.94569763166,False,False,False,False,72782.02070794141,False,False,False,False
