date,Close,High,Low,Open,Volume,aVWAP_peak_772,aVWAP_peak_720,aVWAP_peak_710,aVWAP_peak_686,aVWAP_peak_665,aVWAP_peak_634,aVWAP_peak_594,aVWAP_peak_514,aVWAP_peak_473,aVWAP_peak_446,aVWAP_peak_426,aVWAP_peak_397,aVWAP_peak_360,aVWAP_peak_328,aVWAP_peak_295,aVWAP_peak_278,aVWAP_valley_775,aVWAP_valley_747,aVWAP_valley_695,aVWAP_OB_bull_695,aVWAP_OB_bear_278,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-06-28 00:00:00+00:00,10.8,12.04,10.1,11.75,5212075,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,5212075.0,False,False,False,False
2022-06-29 00:00:00+00:00,9.71,10.69,8.36,10.38,1518037,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1518037,-59530.862745098035,False,False,False,False,5067210.764705882,False,False,False,False
2022-06-30 00:00:00+00:00,8.7,9.37,8.3,9.37,735632,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2253669,-145575.4955786236,False,False,False,False,4897344.930795847,False,False,False,False
2022-07-01 00:00:00+00:00,9.01,9.3409,8.3602,8.5,113354,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.8535900521460125,-45.550875785532824,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2140315,-223800.5741833835,False,False,False,False,4709737.443313657,False,False,False,False
2022-07-05 00:00:00+00:00,8.7,9.5,8.5,9.5,98940,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.419248466116221,-43.468666131179354,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2239255,-302838.0026467802,False,False,False,False,4528921.857301357,False,False,False,False
2022-07-06 00:00:00+00:00,8.87,9.5299,8.7633,9.1,218827,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.370632850875587,-40.15762778940335,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2020428,-370194.4731312202,False,False,False,False,4359898.529564049,False,False,False,False
2022-07-07 00:00:00+00:00,9.12,10.47,8.86,10.47,174984,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,16.98113953750153,-35.41689639428249,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1845444,-428047.3957535253,False,False,False,False,4195784.234287028,False,False,False,False
2022-07-08 00:00:00+00:00,8.97,9.49,8.85,9.27,356478,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.081919786146855,-33.111913009575474,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2201922,-497611.10572397534,False,False,False,False,4045223.2054914585,False,False,False,False
2022-07-11 00:00:00+00:00,8.81,9.66,8.75,9.15,634837,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.50144496743298,-32.274600726805836,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2836759,-589342.3956955841,False,False,False,False,3911482.56998199,False,False,False,False
2022-07-12 00:00:00+00:00,8.05,8.8,8.0,8.74,112734,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.18711951434709,-32.274600726805836,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2949493,-681897.3213545809,False,False,False,False,3762512.0378258335,False,False,False,False
2022-07-13 00:00:00+00:00,8.065,8.2812,7.7386,7.93,109165,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.476139049435822,-32.274600726805836,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2840328,-766541.661693617,False,False,False,False,3619243.5265385457,False,False,False,False
2022-07-14 00:00:00+00:00,7.94,8.11,7.71,8.07,30653,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.687776988361684,-32.274600726805836,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2870981,-849068.6945683771,False,False,False,False,3478514.486282132,False,False,False,False
2022-07-15 00:00:00+00:00,8.01,8.1,7.9594,7.96,15239,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.023578184160186,-32.274600726805836,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2855742,-927761.7653696173,False,False,False,False,3342699.7613298916,False,False,False,False
2022-07-18 00:00:00+00:00,7.655,8.3012,7.635,8.17,64690,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.27482850863295,-32.274600726805836,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2920432,-1005905.6961394362,False,False,False,False,3214150.3589247977,False,False,False,False
2022-07-19 00:00:00+00:00,7.91,8.0999,7.6,7.875,130687,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.68270666986283,-32.274600726805836,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2789745,-1075860.1786437721,False,False,False,False,3093230.2272022567,False,False,False,False
2022-07-20 00:00:00+00:00,8.1,8.32,7.9,8.09,126827,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,24.252205162612096,-30.363603641134418,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2662918,-1138097.740265585,False,False,False,False,2976900.6888805996,False,False,False,False
2022-07-21 00:00:00+00:00,8.15,8.23,7.78,8.15,84607,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.143774343882136,-27.71654011897862,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2578311,-1194576.691627719,False,False,False,False,2863477.4069637135,False,False,False,False
2022-07-22 00:00:00+00:00,8.5,8.65,7.01,7.01,158202,,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.053333333333333,,32.35840397637534,-22.971249817387495,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-2420109,-1242636.7821521221,False,False,False,False,2757388.1753180777,False,False,False,False
2022-07-25 00:00:00+00:00,8.65,8.86,8.6,8.79,140089,,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.358598493864491,,37.07089515380406,-18.829350390266423,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-2280020,-1283318.476969686,False,False,False,False,2654748.991972271,False,False,False,False
2022-07-26 00:00:00+00:00,8.53,8.86,8.451,8.86,102197,,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.423687090915749,,39.3762585328042,-16.948449187672423,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-2382217,-1326412.536696365,False,False,False,False,2554648.9138557115,False,False,False,False
2022-07-27 00:00:00+00:00,8.8,9.57,8.7,8.72,130055,,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.797007546042451,,43.112900119578846,-13.642273474508919,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-2252162,-1362716.4372180763,False,False,False,False,2459566.79958686,False,False,False,False
2022-07-28 00:00:00+00:00,8.53,9.01,8.34,8.69,57989,,,,,,,,,,,,,,,,,,,,,,,,#000000,,8.738603663201111,,43.6694352815557,-13.243407166202097,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-2310151,-1399870.7337977595,False,False,False,False,2365387.278034434,False,False,False,False
