date,Open,High,Low,Close,Volume,aVWAP_peak_869,aVWAP_peak_827,aVWAP_peak_792,aVWAP_peak_736,aVWAP_valley_853,aVWAP_valley_852,aVWAP_valley_815,aVWAP_valley_814,aVWAP_valley_781,aVWAP_valley_774,aVWAP_valley_759,aVWAP_valley_758,aVWAP_valley_726,aVWAP_valley_688,aVWAP_valley_614,aVWAP_valley_613,aVWAP_valley_531,aVWAP_valley_530,aVWAP_valley_479,aVWAP_valley_402,aVWAP_valley_373,aVWAP_valley_354,aVWAP_OB_bull_531,aVWAP_OB_bull_402,aVWAP_OB_bear_827,aVWAP_OB_bear_792,aVWAP_OB_bear_736,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,17.965,18.585,17.965,18.01,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,5.0,False,False,False,False
2025-02-03 16:00:00+00:00,18.01,18.44,18.01,18.43,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6.0,0.09302325581395349,False,False,False,False,5.015503875968992,False,False,False,False
2025-02-03 17:00:00+00:00,18.43,18.43,18.18,18.18,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,86.63101604278071,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4.0,0.029565530917613117,False,False,False,False,5.092782885643892,False,False,False,False
2025-02-03 18:00:00+00:00,18.18,18.27,17.97,18.27,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,79.5864814638281,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17.0,0.2926730420661773,False,False,False,False,5.3394064067967,False,False,False,False
2025-02-03 19:00:00+00:00,18.27,18.27,18.0,18.15,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,71.10693725034854,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6.0,0.3811587313364691,False,False,False,False,5.427167547776596,False,False,False,False
2025-02-03 20:00:00+00:00,18.15,18.34,18.15,18.19,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,66.38648089100137,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19.0,0.6698229370521827,False,False,False,False,5.5445758028498275,False,False,False,False
2025-02-04 15:00:00+00:00,18.19,18.78,18.12,18.78,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.45976837971199,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,234.0,4.287345062059125,False,False,False,False,8.791946720635101,False,False,False,False
2025-02-04 16:00:00+00:00,18.77,18.77,18.59,18.68,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,70.88173406491849,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,157.0,6.654983123112472,False,False,False,False,9.84943591876479,False,False,False,False
2025-02-04 17:00:00+00:00,18.68,18.91,18.68,18.91,257.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,72.90348912151083,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,414.0,12.97040974135879,False,False,False,False,13.681227609946731,False,False,False,False
2025-02-04 18:00:00+00:00,18.91,18.91,18.91,18.91,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,74.25132582590572,3.2085561497325017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,414.0,19.187922768624546,False,False,False,False,14.259813228397169,False,False,False,False
