date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_peak_178,aVWAP_peak_162,aVWAP_peak_150,aVWAP_valley_188,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_155,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_115,aVWAP_valley_99,aVWAP_valley_73,aVWAP_OB_bull_99,aVWAP_OB_bull_73,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,37.2720926739,38.509414971,36.5189399713,37.5410757819,902071,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,902071.0,False,False,False,False
2022-01-07 00:00:00+00:00,34.2774140708,37.9490334958,34.0711936879,37.3527876063,1446406,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1446406,-107141.18518518518,False,False,False,False,942392.1111111111,False,False,False,False
2022-01-14 00:00:00+00:00,33.3180409854,36.381310281,32.7262781476,33.7842783727,1420341,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2866747,-311556.4307270233,False,False,False,False,977795.732510288,False,False,False,False
2022-01-21 00:00:00+00:00,29.4536503329,32.8338713908,29.2832943644,32.7890408728,1589801,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4456548,-618592.8432657623,False,False,False,False,1023129.4560280445,False,False,False,False
2022-01-28 00:00:00+00:00,29.0950061888,29.991616549,27.3466159864,28.6646332159,2811169,,,,,,,,,,,,,,,,,,,#000000,,28.811079574733334,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7267717,-1111120.5585794095,False,False,False,False,1155576.8296555968,False,False,False,False
2022-02-04 00:00:00+00:00,30.6282099047,31.6189643528,28.9963790491,28.9963790491,1614749,,,,,,,,,,,,,,,,,,,#000000,,29.396076906482048,,5.286265565463602,-45.00282708264769,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5652968,-1447553.702388342,False,False,False,False,1189589.5830144414,False,False,False,False
2022-02-11 00:00:00+00:00,30.9868540488,36.931380737,30.1081758958,30.8164980804,2484748,,,,,,,,,,,,,,,,,,,#000000,,31.625330781360383,,10.094070026663097,-40.67476891400351,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3168220,-1575010.4651743907,False,False,False,False,1285527.2435318902,False,False,False,False
2022-02-18 00:00:00+00:00,30.9958201524,32.3497017963,30.1572204825,30.8164980804,1511144,,,,,,,,,,,,,,,,,,,#000000,,31.393355081881694,,13.554600046344223,-37.758779276563445,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1657076,-1581089.3936799914,False,False,False,False,1302239.5958628613,False,False,False,False
2022-02-25 00:00:00+00:00,31.3813626073,31.8586114504,28.2611585538,30.8075319768,1181111,,,,,,,,,,,,,,,,,,,#000000,,31.19914788621086,,17.17762986330012,-34.7302760809552,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-475965,-1499228.3274814736,False,False,False,False,1293267.107280427,False,False,False,False
2022-03-04 00:00:00+00:00,29.1031747337,32.0747241341,28.7790057082,31.066198277,1206553,,,,,,,,,,,,,,,,,,,#000000,,30.995846186292237,,17.91450367271471,-34.459073472083276,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.20152499814037794,-0.20152499814037794,False,False,False,False,-1682518,-1512805.3402606237,False,False,False,False,1286843.8400744693,False,False,False,False
