date,Open,High,Low,Close,Volume,aVWAP_peak_315,aVWAP_peak_278,aVWAP_peak_255,aVWAP_peak_211,aVWAP_peak_193,aVWAP_peak_174,aVWAP_peak_112,aVWAP_peak_88,aVWAP_peak_70,aVWAP_peak_44,aVWAP_valley_326,aVWAP_valley_290,aVWAP_valley_238,aVWAP_OB_bull_238,aVWAP_OB_bear_88,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-09-13 16:00:00+00:00,23.06,25.3,22.37,23.675,141352.0,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,141352.0,False,False,False,False
2024-09-16 16:00:00+00:00,21.775,23.36,21.555,21.575,10533.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10533.0,-163.30232558139534,False,False,False,False,139323.7984496124,False,False,False,False
2024-09-17 16:00:00+00:00,22.0,22.25,21.51,21.71,4199.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,2.2481265611990198,-53.37218984179853,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6334.0,-258.9720569677303,False,False,False,False,137228.84033411453,False,False,False,False
2024-09-18 16:00:00+00:00,20.85,21.55,20.85,21.225,756.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,3.2653331950481554,-52.231891215214404,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7090.0,-364.87946693722284,False,False,False,False,135112.98234443832,False,False,False,False
2024-09-19 16:00:00+00:00,21.3,22.0,21.125,21.4,8055.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,6.468609152978315,-49.050275001316365,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,965.0,-344.2611806281186,False,False,False,False,133143.09114529972,False,False,False,False
2024-09-20 16:00:00+00:00,21.99,23.25,21.05,22.45,13106.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,18.78702051995173,-37.75681164104906,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14071.0,-120.76875922303148,False,False,False,False,131282.0509725044,False,False,False,False
2024-09-23 16:00:00+00:00,22.55,22.815,21.675,22.585,4936.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,27.90957309781988,-29.94072775881961,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19007.0,175.78579518352717,False,False,False,False,129323.1974690547,False,False,False,False
2024-09-24 16:00:00+00:00,22.47,23.16,22.47,22.995,7068.0,,,,,,,,,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,,,36.532226928323965,-22.70246724230912,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,26075.0,577.3239999093639,False,False,False,False,127427.76805092982,False,False,False,False
2024-09-25 16:00:00+00:00,22.98,23.75,22.65,23.375,3535.0,,,,,,,,,,,,,,,,,,#000000,,,,44.262457894227786,-16.261883327126256,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29610.0,1027.443007662707,False,False,False,False,125506.94994161307,False,False,False,False
2024-09-26 16:00:00+00:00,23.65,25.33,23.65,24.77,4292.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,24.583333333333336,,54.07363630312389,-7.836223222727014,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33902.0,1537.1260618074712,False,False,False,False,123627.6483921307,False,False,False,False
2024-09-27 16:00:00+00:00,24.15,24.42,23.3,24.42,1946.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,24.415915357486377,,58.423477054561886,-4.331703880276777,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31956.0,2008.7365104616188,False,False,False,False,121741.11120775658,False,False,False,False
2024-09-30 16:00:00+00:00,24.675,25.09,23.26,25.09,5070.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,24.444648036788116,,63.089139528722264,-0.16340611789105708,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37026.0,2551.639820376942,False,False,False,False,119932.25677042702,False,False,False,False
2024-10-01 16:00:00+00:00,23.73,24.2,23.725,24.11,3972.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,24.33209554973822,,61.14050071733553,-0.16340611789105708,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,33054.0,3024.544629363346,False,False,False,False,118134.42333212582,False,False,False,False
2024-10-02 16:00:00+00:00,23.0,23.825,22.705,23.61,2344.0,,,,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,24.205466409441673,,57.79260369009217,-0.16340611789105708,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30710.0,3453.7764955747666,False,False,False,False,116339.22297038743,False,False,False,False
