date,Close,High,Low,Open,Volume,aVWAP_peak_880,aVWAP_peak_835,aVWAP_peak_786,aVWAP_valley_903,aVWAP_valley_869,aVWAP_valley_843,aVWAP_valley_818,aVWAP_valley_763,aVWAP_valley_725,aVWAP_valley_673,aVWAP_valley_649,aVWAP_valley_638,aVWAP_valley_617,aVWAP_valley_574,aVWAP_valley_549,aVWAP_valley_483,aVWAP_valley_446,aVWAP_valley_427,aVWAP_valley_409,aVWAP_valley_394,aVWAP_valley_371,aVWAP_valley_303,aVWAP_valley_290,aVWAP_valley_250,aVWAP_valley_236,aVWAP_valley_215,aVWAP_OB_bull_394,aVWAP_OB_bull_290,aVWAP_OB_bear_880,aVWAP_OB_bear_786,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,8.9295,9.0,8.7135,9.0,59402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,59402.0,False,False,False,False
2022-01-04 00:00:00+00:00,8.703,9.4695,8.628,9.0675,46808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-46808,-1835.6078431372548,False,False,False,False,58908.117647058825,False,False,False,False
2022-01-05 00:00:00+00:00,8.385,8.85,8.25,8.8305,39568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-86376,-5150.917339484813,False,False,False,False,58149.68166089966,False,False,False,False
2022-01-06 00:00:00+00:00,8.1615,8.526,7.98,8.4,58576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-144952,-10633.312737936389,False,False,False,False,58166.40002713889,False,False,False,False
2022-01-07 00:00:00+00:00,8.2335,8.9445,8.0625,8.25,33837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.3890429009290224,-46.893377340815064,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-111115,-14573.771061938882,False,False,False,False,57212.30590842756,False,False,False,False
2022-01-10 00:00:00+00:00,8.061,8.25,7.854,8.1015,32156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.932222098910403,-45.66707657049486,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-143271,-19620.72121637265,False,False,False,False,56229.70567672452,False,False,False,False
2022-01-11 00:00:00+00:00,8.0475,8.396985,7.79814,8.385,36516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.91325193572621,-44.9712064984727,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-179787,-25901.751756907055,False,False,False,False,55456.61917959807,False,False,False,False
2022-01-12 00:00:00+00:00,13.2,14.7,8.44365,8.601,5295809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,33.66328249386459,-19.707137811447026,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5116022,175742.31693944221,False,False,False,False,260960.63411373147,False,False,False,False
2022-01-13 00:00:00+00:00,11.475,11.85,10.8,11.574,998575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,44.87409226647763,-11.063301810788019,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4117447,330318.97117711115,False,False,False,False,289886.68767789885,False,False,False,False
2022-01-14 00:00:00+00:00,11.4165,13.536,10.503,11.3055,362484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,52.14459600969336,-6.016366441217642,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3754963,464618.73701330286,False,False,False,False,292733.64110229496,False,False,False,False
2022-01-18 00:00:00+00:00,12.363,12.833985,10.77,11.2665,254394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,58.53444759102932,-1.476453794165856,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4009357,603628.08065984,False,False,False,False,291230.12576495006,False,False,False,False
2022-01-19 00:00:00+00:00,10.3515,13.2735,10.2795,12.0,219770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,56.966453444574036,-1.476453794165856,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3789587,728567.6461241602,False,False,False,False,288427.7678918148,False,False,False,False
