date,Close,High,Low,Open,Volume,aVWAP_peak_175,aVWAP_peak_168,aVWAP_peak_163,aVWAP_peak_147,aVWAP_peak_133,aVWAP_valley_182,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_160,aVWAP_valley_159,aVWAP_valley_155,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_128,aVWAP_valley_110,aVWAP_valley_98,aVWAP_valley_97,aVWAP_valley_96,aVWAP_valley_92,aVWAP_valley_74,aVWAP_valley_62,aVWAP_valley_50,aVWAP_valley_39,aVWAP_valley_24,aVWAP_OB_bull_176,aVWAP_OB_bull_98,aVWAP_OB_bull_62,aVWAP_OB_bull_50,aVWAP_OB_bear_147,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,0.6998,0.73,0.6616,0.71,3696325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3696325.0,False,False,False,False
2022-01-07 00:00:00+00:00,0.6709,0.7299,0.6627,0.6823,1478130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1478130,-109491.11111111111,False,False,False,False,3532014.2592592593,False,False,False,False
2022-01-14 00:00:00+00:00,0.661,0.7082,0.6037,0.674,2155347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3633477,-370527.1028806584,False,False,False,False,3430038.9067215365,False,False,False,False
2022-01-21 00:00:00+00:00,0.675,0.8,0.66,0.68,2252113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.261883342207222,-42.18993840306973,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1381364,-445403.9100746837,False,False,False,False,3342785.1358532747,False,False,False,False
2022-01-28 00:00:00+00:00,0.6435,0.7347,0.627501,0.68,4029609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.769591566879322,-40.15823678089211,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5410973,-813223.8426617442,False,False,False,False,3393660.977641921,False,False,False,False
2022-02-04 00:00:00+00:00,0.6606,0.69,0.64,0.6425,1902889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.13171316596787,-34.49398894385462,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3508084,-1012843.113575689,False,False,False,False,3283233.423742519,False,False,False,False
2022-02-11 00:00:00+00:00,0.7148,0.718099,0.65,0.65,2813576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.2472364231781,-23.549941368377436,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-694508,-989262.7347923047,False,False,False,False,3248443.984946777,False,False,False,False
2022-02-18 00:00:00+00:00,0.7539,0.785,0.703,0.7298,2442548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.60910533001085,-13.662629833220919,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1748040,-786499.5692521341,False,False,False,False,3188747.9860618305,False,False,False,False
2022-02-25 00:00:00+00:00,0.6092,0.79,0.5998,0.7401,4766543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.6663333333333333,,39.229907742394744,-13.662629833220919,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3018503,-951833.1567149389,False,False,False,False,3305621.690797991,False,False,False,False
2022-03-04 00:00:00+00:00,0.597101,0.6371,0.564899,0.6371,4960675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,0.6323517457063949,,37.82198440676353,-13.662629833220919,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,-7979178,-1472377.219180499,False,False,False,False,3428218.232220362,False,False,False,False
