date,Close,High,Low,Open,Volume,aVWAP_peak_445,aVWAP_peak_395,aVWAP_peak_370,aVWAP_peak_352,aVWAP_peak_337,aVWAP_peak_301,aVWAP_peak_268,aVWAP_peak_217,aVWAP_peak_173,aVWAP_peak_154,aVWAP_peak_153,aVWAP_peak_104,aVWAP_peak_84,aVWAP_peak_60,aVWAP_peak_20,aVWAP_valley_460,aVWAP_valley_459,aVWAP_valley_434,aVWAP_OB_bear_395,aVWAP_OB_bear_154,aVWAP_OB_bear_104,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,2.76,2.8,2.57,2.66,392220,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,392220.0,False,False,False,False
2022-01-04 00:00:00+00:00,3.02,3.0678,2.6675,2.73,800172,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,800172,31379.29411764706,False,False,False,False,408218.1176470588,False,False,False,False
2022-01-05 00:00:00+00:00,2.82,3.0,2.78,2.99,373003,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.72222222222223,-11.111111111111086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,427169,46900.45905420992,False,False,False,False,406837.13264129177,False,False,False,False
2022-01-06 00:00:00+00:00,2.79,2.86,2.67,2.81,242590,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.26758775044658,-11.111111111111086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,184579,52299.61752267227,False,False,False,False,400396.0686161431,False,False,False,False
2022-01-07 00:00:00+00:00,2.76,2.77,2.687,2.77,159016,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,64.42614306363782,-11.111111111111086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25563,51251.122717861595,False,False,False,False,390930.18357237277,False,False,False,False
2022-01-10 00:00:00+00:00,2.65,2.7164,2.56,2.69,163561,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.03342792464804,-11.111111111111086,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-137998,43829.58849363173,False,False,False,False,382013.7450009072,False,False,False,False
2022-01-11 00:00:00+00:00,2.8,2.84,2.56,2.59,303807,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.125554016982505,-11.111111111111086,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,165809,48613.0948272148,False,False,False,False,378946.81382440106,False,False,False,False
2022-01-12 00:00:00+00:00,2.83,2.92,2.73,2.84,273889,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.355143934239365,-11.111111111111086,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,439698,63949.75777516716,False,False,False,False,374826.8995567775,False,False,False,False
2022-01-13 00:00:00+00:00,2.79,2.88,2.74,2.81,176649,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.201510120342384,-11.111111111111086,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,263049,71757.57119574884,False,False,False,False,367055.21722121764,False,False,False,False
2022-01-14 00:00:00+00:00,2.86,2.87,2.7,2.75,265530,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.413161104952906,-11.111111111111086,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,528579,89672.13703120968,False,False,False,False,363073.83615371893,False,False,False,False
