date,Open,High,Low,Close,Volume,aVWAP_peak_332,aVWAP_peak_299,aVWAP_valley_341,aVWAP_valley_322,aVWAP_valley_292,aVWAP_valley_191,aVWAP_valley_169,aVWAP_valley_126,aVWAP_valley_91,aVWAP_valley_24,aVWAP_OB_bull_341,aVWAP_OB_bull_191,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,28.8,29.05,28.32,29.035,51216.0,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,51216.0,False,False,False,False
2023-12-15 17:00:00+00:00,29.03,29.49,28.89,29.49,30797.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,30797.0,477.47286821705427,False,False,False,False,50899.426356589145,False,False,False,False
2023-12-18 17:00:00+00:00,29.58,29.815,29.35,29.38,12332.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,92.87257019438445,25.05399568034558,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18465.0,756.3492578570999,False,False,False,False,50301.48176191334,False,False,False,False
2023-12-19 17:00:00+00:00,29.49,29.69,29.28,29.37,22720.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,87.56013706486056,25.05399568034558,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4255.0,678.653920525982,False,False,False,False,49873.86188963561,False,False,False,False
2023-12-20 17:00:00+00:00,29.53,29.68,28.675,28.705,9380.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,68.23310123159462,36.98123688022386,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13635.0,456.73680547906747,False,False,False,False,49246.0500773932,False,False,False,False
2023-12-21 17:00:00+00:00,29.495,29.765,29.3,29.68,6363.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,67.17424747686948,35.989421988433776,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7272.0,336.91142864993463,False,False,False,False,48581.19658782121,False,False,False,False
2023-12-22 17:00:00+00:00,29.9,29.97,29.575,29.795,9031.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,67.19820310563276,35.30607107188925,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1759.0,358.95931347706744,False,False,False,False,47968.015245374365,False,False,False,False
2023-12-25 17:00:00+00:00,29.795,29.795,29.795,29.795,0.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,67.21417352480827,34.14664762533505,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1759.0,380.6653706324617,False,False,False,False,47224.32508653135,False,False,False,False
2023-12-26 17:00:00+00:00,29.97,30.145,29.87,29.935,23652.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,29.98333333333333,,68.18608788565403,33.7862023841773,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,25411.0,768.7325741885476,False,False,False,False,46858.862682089006,False,False,False,False
2023-12-27 17:00:00+00:00,29.975,30.0,29.44,29.445,48403.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,29.74486181851826,,62.81616765798942,27.476559454055973,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22992.0,400.3491234259344,False,False,False,False,46882.80279554499,False,False,False,False
2023-12-28 17:00:00+00:00,29.58,29.735,29.48,29.59,21004.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,29.71254177457312,,60.49718684979993,24.201638525270482,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1988.0,363.3204548456874,False,False,False,False,46481.581046776846,False,False,False,False
2023-12-29 17:00:00+00:00,29.25,29.49,29.21,29.29,6887.0,,,,,,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,29.686181888219636,,56.06117679204252,19.049249729088544,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8875.0,220.0906803519558,False,False,False,False,45867.711573183406,False,False,False,False
2024-01-01 17:00:00+00:00,29.29,29.29,29.29,29.29,0.0,,,,,,,,,,,,,,,#000000,,29.686181888219636,,53.103836753537564,15.409638384360548,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8875.0,79.08152251704175,False,False,False,False,45156.58426197126,False,False,False,False
