date,Close,High,Low,Open,Volume,aVWAP_peak_896,aVWAP_peak_862,aVWAP_peak_831,aVWAP_peak_731,aVWAP_peak_720,aVWAP_peak_687,aVWAP_peak_659,aVWAP_peak_647,aVWAP_peak_635,aVWAP_peak_596,aVWAP_peak_564,aVWAP_peak_526,aVWAP_peak_500,aVWAP_peak_445,aVWAP_peak_418,aVWAP_peak_398,aVWAP_peak_386,aVWAP_peak_362,aVWAP_peak_344,aVWAP_peak_306,aVWAP_peak_272,aVWAP_peak_231,aVWAP_peak_209,aVWAP_peak_189,aVWAP_peak_152,aVWAP_peak_120,aVWAP_peak_106,aVWAP_peak_63,aVWAP_peak_21,aVWAP_valley_911,aVWAP_valley_897,aVWAP_valley_883,aVWAP_valley_869,aVWAP_valley_850,aVWAP_valley_817,aVWAP_OB_bear_731,aVWAP_OB_bear_152,aVWAP_OB_bear_63,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,41.05,41.5,39.54,40.77,778139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,778139.0,False,False,False,False
2022-01-04 00:00:00+00:00,39.54,41.49,38.22,41.19,1079091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1079091,-42317.294117647056,False,False,False,False,789941.0392156864,False,False,False,False
2022-01-05 00:00:00+00:00,36.94,39.23,36.77,39.22,975027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2054118,-121211.43944636677,False,False,False,False,797199.3121876203,False,False,False,False
2022-01-06 00:00:00+00:00,36.61,37.99,35.41,36.81,871711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2925829,-231196.44182101905,False,False,False,False,800121.3391606549,False,False,False,False
2022-01-07 00:00:00+00:00,36.44,37.44,35.15,36.21,1201134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4126963,-383971.6009652928,False,False,False,False,815847.3258602371,False,False,False,False
2022-01-10 00:00:00+00:00,36.07,36.12,33.82,35.82,1651452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5778415,-595518.4009274382,False,False,False,False,848616.1366108161,False,False,False,False
2022-01-11 00:00:00+00:00,38.33,38.81,35.65,36.07,1063888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.220503774078368,-37.8812048737615,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4714527,-757048.149910676,False,False,False,False,857058.1704692155,False,False,False,False
2022-01-12 00:00:00+00:00,39.37,40.53,39.1,39.25,1900900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.396981878628033,-27.453905709817548,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2813627,-837698.3008945711,False,False,False,False,897993.144176305,False,False,False,False
2022-01-13 00:00:00+00:00,37.57,40.15,37.49,39.89,1315502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.51046811061127,-24.818726272907835,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4129129,-966774.0145849801,False,False,False,False,914366.0404831166,False,False,False,False
2022-01-14 00:00:00+00:00,36.56,38.01,35.88,37.0,1293086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.621239882845085,-24.706865356507926,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5422215,-1141497.1904836083,False,False,False,False,929217.8036014258,False,False,False,False
2022-01-18 00:00:00+00:00,33.63,35.89,33.53,35.85,1187093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.15702973152009,-24.706865356507926,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6609308,-1355921.1437979764,False,False,False,False,939330.5564013699,False,False,False,False
2022-01-19 00:00:00+00:00,32.51,34.62,32.5,34.02,1112505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.665622342844365,-24.706865356507926,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7721813,-1605563.961688252,False,False,False,False,946121.7110522966,False,False,False,False
2022-01-20 00:00:00+00:00,31.98,34.26,31.96,33.37,1409041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.632596800368233,-19.35386645460253,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9130854,-1900673.3749553794,False,False,False,False,964275.4086580889,False,False,False,False
