date,Close,High,Low,Open,Volume,aVWAP_peak_179,aVWAP_valley_182,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_145,aVWAP_valley_127,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_85,aVWAP_valley_78,aVWAP_valley_60,aVWAP_valley_39,aVWAP_OB_bull_150,aVWAP_OB_bull_111,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,48.296219768,48.3780161507,46.1240713817,46.5421417824,7999269,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7999269.0,False,False,False,False
2022-01-07 00:00:00+00:00,45.5605851895,48.9278696125,44.8880371536,47.2873977141,12239886,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12239886,-906658.2222222221,False,False,False,False,8313388.777777778,False,False,False,False
2022-01-14 00:00:00+00:00,46.7239115218,47.8508839063,45.2061341976,45.3151960412,9627258,,,,,,,,,,,,,,,,,,,#000000,,,,8.943127299376714,-72.35781824844179,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2612628,-1033026.3539094649,False,False,False,False,8410712.423868313,False,False,False,False
2022-01-21 00:00:00+00:00,46.2513101993,49.9139704489,45.6696470331,46.4603453997,11448199,,,,,,,,,,,,,,,,,,,#000000,,,,14.258735969291445,-66.84382965347835,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14060827,-1998048.6239902452,False,False,False,False,8635711.429507699,False,False,False,False
2022-01-28 00:00:00+00:00,42.0433407314,46.3058411211,41.2764542007,45.9150361814,13794738,,,,,,,,,,,,,,,,,,,#000000,,43.20854535106667,,13.856078652625246,-66.63064507417855,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27855565,-3913420.207398375,False,False,False,False,9017861.545840463,False,False,False,False
2022-02-04 00:00:00+00:00,43.8065072039,44.8153292578,42.3341723145,42.3796147493,10814186,,,,,,,,,,,,,,,,,,,#000000,,43.40341907622221,,18.380287896779443,-61.40599451323374,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17041379,-4885861.59944294,False,False,False,False,9150922.616518946,False,False,False,False
2022-02-11 00:00:00+00:00,45.2061341976,45.8241513116,42.5795614627,44.1791351698,18105874,,,,,,,,,,,,,,,,,,,#000000,,43.883756464548966,,24.44748092625906,-54.66891505672953,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1064495,-4445094.443928649,False,False,False,False,9814252.348628655,False,False,False,False
2022-02-18 00:00:00+00:00,49.9139704489,51.5408096169,45.696912494,45.8423282856,22587748,,,,,,,,,,,,,,,,,,,#000000,,45.67092339660308,,34.59854635195667,-44.105160538574864,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23652243,-2363810.188822823,False,False,False,False,10760437.2116932,False,False,False,False
2022-02-25 00:00:00+00:00,47.0783625137,51.0227658595,45.8786822335,50.1593595972,20420504,,,,,,,,,,,,,,,,,,,#000000,,46.224140906173254,,38.786900689445304,-39.38139632234065,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3231739,-1949325.0637248363,False,False,False,False,11475997.71453074,False,False,False,False
2022-03-04 00:00:00+00:00,51.7044023824,51.878214845,45.7605319028,47.7145566018,22809516,,,,,,,,,,,,,,,,,,,#000000,,46.971671083179736,,45.22939382868682,-32.44117419742766,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282824029316517,0.34282824029316517,False,False,False,False,26041255,124051.23729181802,False,False,False,False,12315517.587528463,False,False,False,False
2022-03-11 00:00:00+00:00,56.198447624,58.0198631088,51.265065984,52.0247518395,37347762,,,,,,,,,,,,,,,,,,,#000000,,49.06830605351138,,52.02462096389351,-25.204134666114822,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282477233378,0.3428282440082515,False,False,False,False,63389017,4810344.997492424,False,False,False,False,14169757.914378205,False,False,False,False
2022-03-18 00:00:00+00:00,55.2465520942,56.820840855,52.4823939211,54.5967003383,20229631,,,,,,,,,,,,,,,,,,,#000000,,49.77241854994516,,56.02815975153712,-20.655827483432827,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282824772886755,0.34282824586855953,False,False,False,False,43159386,7651014.701381873,False,False,False,False,14618637.402202042,False,False,False,False
2022-03-25 00:00:00+00:00,56.7933823301,58.3310597244,55.4479146101,55.5577487097,14978655,,,,,,,,,,,,,,,,,,,#000000,,50.35845360033271,,59.565432503547996,-16.477973732049875,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282824885270313,0.34282824736063133,False,False,False,False,58138041,11390794.427205438,False,False,False,False,14645305.372409297,False,False,False,False
2022-04-01 00:00:00+00:00,57.9191818509,58.0290159505,53.3610667179,55.8414868003,13032893,,,,,,,,,,,,,,,,,,,#000000,,50.76651505937363,,62.55816983597278,-12.751528672416612,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.27771866969135767,0.3102734585259945,False,False,False,False,71170934,15818952.914079107,False,False,False,False,14525867.418897497,False,False,False,False
