date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_164,aVWAP_peak_160,aVWAP_peak_154,aVWAP_peak_149,aVWAP_peak_144,aVWAP_peak_133,aVWAP_peak_125,aVWAP_peak_119,aVWAP_peak_112,aVWAP_peak_105,aVWAP_peak_83,aVWAP_peak_57,aVWAP_peak_34,aVWAP_peak_16,aVWAP_valley_188,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_156,aVWAP_OB_bull_171,aVWAP_OB_bull_156,aVWAP_OB_bear_57,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,66.0957085867,67.5689355941,65.3925627507,65.9528718469,6821613,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6821613.0,False,False,False,False
2022-01-07 00:00:00+00:00,60.7605895559,67.4316856752,60.1541262723,66.5527533802,17316279,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17316279,-1282687.3333333333,False,False,False,False,7598995.666666666,False,False,False,False
2022-01-14 00:00:00+00:00,63.2655465967,64.1620575377,59.0906181953,60.5232778362,16227265,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.562581785187067,-73.90645446296767,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1089014,-1268341.160493827,False,False,False,False,8238126.728395062,False,False,False,False
2022-01-21 00:00:00+00:00,62.2459851345,65.8408182212,61.7537830493,63.543289202,14663843,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.175054008629264,-68.07796062286755,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15752857,-2341268.259716506,False,False,False,False,8714105.711476909,False,False,False,False
2022-01-28 00:00:00+00:00,60.2771767936,63.0633921689,59.2488260084,60.74301091,13919815,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,17.443629835578612,-65.24847763258363,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-29672672,-4365816.6849226905,False,False,False,False,9099713.806923063,False,False,False,False
2022-02-04 00:00:00+00:00,63.6434874836,65.0849364475,59.6355562182,60.1453369493,10521040,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,25.136758608026508,-57.03580811376091,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19151632,-5461062.263817306,False,False,False,False,9204997.228632467,False,False,False,False
2022-02-11 00:00:00+00:00,67.0449554654,68.4864044292,62.7645551886,63.7050127442,15688959,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.29306439531221,-47.47976806024625,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3462673,-5313033.429460469,False,False,False,False,9685290.69317821,False,False,False,False
2022-02-18 00:00:00+00:00,66.6054893179,69.2247075571,62.0086734148,66.8340117146,16095823,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.328416451253304,-40.97197726516478,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19558496,-6368252.879130064,False,False,False,False,10160144.938127972,False,False,False,False
2022-02-25 00:00:00+00:00,71.3868810029,71.4396169406,65.4804559802,67.0976914031,15805612,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.01271056978479,-32.85713841976711,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3752884,-6174521.851046355,False,False,False,False,10578327.683451828,False,False,False,False
2022-03-04 00:00:00+00:00,83.4897787055,83.5600932891,71.2462518357,71.6417713684,33155007,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,57.415951002069534,-23.15616050165426,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.342828249856677,0.342828249856677,False,False,False,False,29402123,-3539214.8250429216,False,False,False,False,12250674.299492432,False,False,False,False
